,序号,名称,10日涨跌幅,10日主力净流入-净额,10日主力净流入-净占比,10日超大单净流入-净额,10日超大单净流入-净占比,10日大单净流入-净额,10日大单净流入-净占比,10日中单净流入-净额,10日中单净流入-净占比,10日小单净流入-净额,10日小单净流入-净占比,10日主力净流入最大股
0,1,银行,3.68,4582763360.0,3.57,3495402896.0,2.73,1087360464.0,0.85,-2042273152.0,-1.59,-2540730960.0,-1.98,工商银行
1,2,保险,5.73,1057047104.0,2.81,-187132160.0,-0.5,1244179264.0,3.3,-410091424.0,-1.09,-646917357.0,-1.72,中国平安
2,3,证券,2.76,1009256688.0,0.54,585662880.0,0.31,423593808.0,0.23,-1473705264.0,-0.79,464984448.0,0.25,华泰证券
3,4,石油行业,3.93,974052059.0,1.44,208250619.0,0.31,765801440.0,1.13,-69368240.0,-0.1,-904606248.0,-1.34,中国海油
4,5,工程建设,3.02,703402192.0,0.34,1068425664.0,0.52,-365023472.0,-0.18,-815390576.0,-0.4,113922576.0,0.06,中国建筑
5,6,物流行业,-0.08,452046015.0,0.75,-51766059.0,-0.09,503812074.0,0.84,-211627248.0,-0.35,-241677255.0,-0.4,顺丰控股
6,7,有色金属,2.51,301518245.0,0.27,-44947019.0,-0.04,346465264.0,0.31,33074560.0,0.03,-332317952.0,-0.3,云铝股份
7,8,航运港口,3.17,182905050.0,0.39,327309658.0,0.69,-144404608.0,-0.3,-158910548.0,-0.33,-35682321.0,-0.08,中远海控
8,9,公用事业,1.06,69748817.0,0.61,-30246952.0,-0.26,99995769.0,0.87,173811041.0,1.52,-243577736.0,-2.13,首创环保
9,10,医疗服务,3.62,63238064.0,0.06,-531125072.0,-0.48,594363136.0,0.53,274363792.0,0.25,-337584304.0,-0.3,药明康德
10,11,贵金属,11.13,-48590373.0,-0.06,-153582606.0,-0.18,104992233.0,0.12,80001282.0,0.09,-31437518.0,-0.04,紫金矿业
11,12,汽车服务,-0.92,-59988446.0,-0.62,-116905933.0,-1.2,56917487.0,0.59,55608565.0,0.57,3569952.0,0.04,中国汽研
12,13,交运设备,-1.02,-111904601.0,-0.27,126169429.0,0.31,-238074030.0,-0.58,-85130880.0,-0.21,184501056.0,0.45,爱玛科技
13,14,房地产服务,-0.94,-123469318.0,-1.0,-2667269.0,-0.02,-120802049.0,-0.98,-13595003.0,-0.11,137064347.0,1.11,我爱我家
14,15,工程咨询服务,2.59,-168483398.0,-0.48,259129528.0,0.73,-427612926.0,-1.21,-113075216.0,-0.32,277816987.0,0.78,中钢国际
15,16,燃气,0.06,-173852239.0,-1.69,-67534141.0,-0.65,-106318098.0,-1.03,110902757.0,1.08,60840508.0,0.59,深圳燃气
16,17,装修装饰,-2.0,-323536405.0,-1.62,-88237928.0,-0.44,-235298477.0,-1.17,177384454.0,0.89,144065001.0,0.72,江河集团
17,18,珠宝首饰,-0.18,-352115356.0,-2.6,-226630655.0,-1.67,-125484701.0,-0.93,-6721491.0,-0.05,358854040.0,2.65,老凤祥
18,19,家用轻工,-3.25,-366256606.0,-2.68,-103359406.0,-0.76,-262897200.0,-1.93,-86372489.0,-0.63,452640893.0,3.31,瑞贝卡
19,20,商业百货,-1.53,-371534317.0,-0.61,323457868.0,0.53,-694992185.0,-1.14,-201638411.0,-0.33,573110862.0,0.94,小商品城
20,21,水泥建材,1.93,-381233009.0,-1.1,-58431207.0,-0.17,-322801802.0,-0.93,21300557.0,0.06,359709418.0,1.04,西藏天路
21,22,采掘行业,3.05,-388321746.0,-1.41,-96465514.0,-0.35,-291856232.0,-1.06,192141334.0,0.7,196177061.0,0.71,海油工程
22,23,装修建材,-3.02,-445062861.0,-1.07,-256079124.0,-0.62,-188983737.0,-0.45,211531701.0,0.51,233519215.0,0.56,C森泰
23,24,铁路公路,0.16,-451032599.0,-3.53,-234986622.0,-1.84,-216045977.0,-1.69,105252224.0,0.82,345798730.0,2.71,现代投资
24,25,橡胶制品,-1.18,-491959175.0,-2.31,-117839087.0,-0.55,-374120088.0,-1.76,-29464087.0,-0.14,517999427.0,2.43,赛轮轮胎
25,26,包装材料,-3.78,-543093447.0,-3.93,-328452178.0,-2.37,-214641269.0,-1.55,189829455.0,1.37,351904180.0,2.54,新通联
26,27,医药商业,0.42,-658027832.0,-2.21,-311427799.0,-1.05,-346600033.0,-1.16,64111281.0,0.22,593868661.0,1.99,国药一致
27,28,专业服务,0.65,-793991428.0,-3.38,-395099769.0,-1.68,-398891659.0,-1.7,235608906.0,1.0,555209217.0,2.36,泰坦科技
28,29,小金属,3.58,-795531344.0,-0.77,-262466656.0,-0.25,-533064688.0,-0.51,260240080.0,0.25,535447664.0,0.52,中国稀土
29,30,工程机械,-0.51,-804034928.0,-2.31,-424025933.0,-1.22,-380008995.0,-1.09,-95134107.0,-0.27,891077201.0,2.56,浙江鼎力
30,31,多元金融,-1.34,-815049456.0,-1.95,-240000255.0,-0.57,-575049201.0,-1.38,-84977623.0,-0.2,900028647.0,2.15,越秀资本
31,32,电机,-1.31,-825239623.0,-4.2,-342669538.0,-1.74,-482570085.0,-2.45,53917521.0,0.27,788610181.0,4.01,鼎智科技
32,33,电源设备,2.64,-867131103.0,-1.14,-161006661.0,-0.21,-706124442.0,-0.93,-653653376.0,-0.86,1520754079.0,2.0,欧陆通
33,34,造纸印刷,-2.11,-921505356.0,-2.84,-438688502.0,-1.35,-482816854.0,-1.49,373365776.0,1.15,546158144.0,1.68,松炀资源
34,35,钢铁行业,2.32,-955526461.0,-1.74,-12692417.0,-0.02,-942834044.0,-1.72,-186408384.0,-0.34,1138439645.0,2.08,新兴铸管
35,36,美容护理,-3.61,-977873619.0,-3.15,-386113221.0,-1.24,-591760398.0,-1.91,140870188.0,0.45,836952497.0,2.69,爱美客
