,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-104424619.0,-4.27,-26857883.0,-1.1,-77566736.0,-3.17,27619504.0,1.13,75941136.0,3.11
1,2022-11-18,15612540.0,0.63,-26823092.0,-1.08,42435632.0,1.7,-69016448.0,-2.77,50161088.0,2.01
2,2022-11-21,-44823279.0,-1.9,-17764831.0,-0.75,-27058448.0,-1.15,7429728.0,0.31,36357088.0,1.54
3,2022-11-22,-65721608.0,-2.65,-8058504.0,-0.32,-57663104.0,-2.32,-42564096.0,-1.71,103649664.0,4.18
4,2022-11-23,-3516729.0,-0.13,27391831.0,1.01,-30908560.0,-1.14,-33172512.0,-1.23,52662800.0,1.95
5,2022-11-24,2391761.0,0.11,44574689.0,2.04,-42182928.0,-1.93,-7440048.0,-0.34,-4042272.0,-0.18
6,2022-11-25,-173309089.0,-6.77,-45642225.0,-1.78,-127666864.0,-4.99,4071648.0,0.16,173578448.0,6.78
7,2022-11-28,-51359209.0,-2.15,-32835689.0,-1.38,-18523520.0,-0.78,10643616.0,0.45,37558144.0,1.57
8,2022-11-29,136084562.0,3.83,51067538.0,1.44,85017024.0,2.39,-75081696.0,-2.11,-69363904.0,-1.95
9,2022-11-30,-103862089.0,-3.1,-63958361.0,-1.91,-39903728.0,-1.19,-20109360.0,-0.6,121395664.0,3.62
10,2022-12-01,16154876.0,0.51,-40424404.0,-1.27,56579280.0,1.78,-27751408.0,-0.87,8202944.0,0.26
11,2022-12-02,-37856122.0,-1.22,1580150.0,0.05,-39436272.0,-1.27,26821008.0,0.86,6196768.0,0.2
12,2022-12-05,71347202.0,2.01,64318690.0,1.81,7028512.0,0.2,-28744384.0,-0.81,-36871200.0,-1.04
13,2022-12-06,-49736965.0,-2.04,-39103301.0,-1.6,-10633664.0,-0.44,-80725760.0,-3.3,127409328.0,5.21
14,2022-12-07,-55219735.0,-2.13,-62026759.0,-2.4,6807024.0,0.26,-8694704.0,-0.34,56707616.0,2.19
15,2022-12-08,-45324649.0,-1.69,-15523513.0,-0.58,-29801136.0,-1.11,-71724656.0,-2.67,121876672.0,4.55
16,2022-12-09,95851374.0,2.94,110172798.0,3.38,-14321424.0,-0.44,-99132704.0,-3.04,-5643888.0,-0.17
17,2022-12-12,-109023893.0,-3.32,-69678853.0,-2.12,-39345040.0,-1.2,2456592.0,0.07,101719936.0,3.1
18,2022-12-13,-122722364.0,-4.15,-52961596.0,-1.79,-69760768.0,-2.36,20684688.0,0.7,100660416.0,3.4
19,2022-12-14,-129716678.0,-5.29,-51156054.0,-2.08,-78560624.0,-3.2,42748640.0,1.74,82757472.0,3.37
20,2022-12-15,-48381090.0,-2.71,-18331090.0,-1.03,-30050000.0,-1.68,24011392.0,1.34,21997712.0,1.23
21,2022-12-16,-107333053.0,-5.74,-14353101.0,-0.77,-92979952.0,-4.97,20083312.0,1.07,85131280.0,4.55
