,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-849188096.0,-3.91,-346395600.0,-1.6,-502792496.0,-2.32,267041024.0,1.23,585659136.0,2.7
1,2022-11-18,-726151184.0,-2.83,-437552400.0,-1.71,-288598784.0,-1.13,234034176.0,0.91,486125056.0,1.9
2,2022-11-21,-261400752.0,-1.04,23875664.0,0.1,-285276416.0,-1.14,91911424.0,0.37,173214976.0,0.69
3,2022-11-22,-1184972448.0,-4.75,-529734816.0,-2.12,-655237632.0,-2.62,453287168.0,1.82,701061632.0,2.81
4,2022-11-23,-510465056.0,-2.07,-212408864.0,-0.86,-298056192.0,-1.21,252180224.0,1.02,269758464.0,1.09
5,2022-11-24,-279545920.0,-1.21,-97330752.0,-0.42,-182215168.0,-0.79,-117003264.0,-0.51,407489280.0,1.77
6,2022-11-25,-1001965232.0,-4.93,-529169296.0,-2.6,-472795936.0,-2.33,110413056.0,0.54,878138624.0,4.32
7,2022-11-28,-964680064.0,-5.12,-324064800.0,-1.72,-640615264.0,-3.4,93217024.0,0.49,862029312.0,4.57
8,2022-11-29,38452464.0,0.18,116273648.0,0.54,-77821184.0,-0.36,-349537024.0,-1.63,305823232.0,1.43
9,2022-11-30,-701902672.0,-3.42,-337730544.0,-1.64,-364172128.0,-1.77,164396032.0,0.8,530580992.0,2.58
10,2022-12-01,-95565216.0,-0.4,-30914720.0,-0.13,-64650496.0,-0.27,-4499456.0,-0.02,88349952.0,0.37
11,2022-12-02,-147822992.0,-0.66,-47504.0,-0.0,-147775488.0,-0.66,-55738112.0,-0.25,202595072.0,0.9
12,2022-12-05,-981028784.0,-3.98,-462425776.0,-1.88,-518603008.0,-2.11,266126592.0,1.08,675175168.0,2.74
13,2022-12-06,259846784.0,1.12,332778112.0,1.43,-72931328.0,-0.31,-287208192.0,-1.23,16434688.0,0.07
14,2022-12-07,-782347472.0,-3.57,-242234576.0,-1.11,-540112896.0,-2.47,58806016.0,0.27,710905856.0,3.25
15,2022-12-08,-760544368.0,-3.75,-418096912.0,-2.06,-342447456.0,-1.69,148674048.0,0.73,603303680.0,2.98
16,2022-12-09,-271210128.0,-1.2,2274928.0,0.01,-273485056.0,-1.21,223344896.0,0.99,40084224.0,0.18
17,2022-12-12,-803847328.0,-3.91,-443029984.0,-2.16,-360817344.0,-1.76,245190656.0,1.19,575927808.0,2.8
18,2022-12-13,-1346225072.0,-7.14,-676813056.0,-3.59,-669412016.0,-3.55,35787520.0,0.19,1324670464.0,7.03
19,2022-12-14,124399600.0,0.66,351526544.0,1.86,-227126944.0,-1.2,-191521024.0,-1.01,50125824.0,0.26
20,2022-12-15,-551346256.0,-2.97,-401298272.0,-2.16,-150047984.0,-0.81,157462016.0,0.85,384690432.0,2.07
