,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,1082078976.0,2.55,1830562816.0,4.31,-748483840.0,-1.76,-532420864.0,-1.25,-544781568.0,-1.28
1,2022-11-18,-659472384.0,-1.37,-706531072.0,-1.46,47058688.0,0.1,-5941760.0,-0.01,670889472.0,1.39
2,2022-11-21,-1872837376.0,-4.24,-792028928.0,-1.79,-1080808448.0,-2.45,194919168.0,0.44,1683892736.0,3.81
3,2022-11-22,-3717833472.0,-8.04,-2106044160.0,-4.55,-1611789312.0,-3.48,445927424.0,0.96,3259906816.0,7.05
4,2022-11-23,-1735886656.0,-5.59,-992548416.0,-3.2,-743338240.0,-2.4,-510768128.0,-1.65,2242732544.0,7.23
5,2022-11-24,510191616.0,1.41,1287011840.0,3.57,-776820224.0,-2.15,-523448576.0,-1.45,13521408.0,0.04
6,2022-11-25,-1651413920.0,-5.44,-1286014880.0,-4.23,-365399040.0,-1.2,81232128.0,0.27,1566812672.0,5.16
7,2022-11-28,-253664528.0,-0.77,427597040.0,1.3,-681261568.0,-2.07,-377755648.0,-1.15,630046208.0,1.91
8,2022-11-29,542675200.0,1.4,848214016.0,2.19,-305538816.0,-0.79,-450071552.0,-1.16,-92578816.0,-0.24
9,2022-11-30,-2016413648.0,-6.37,-1197994704.0,-3.79,-818418944.0,-2.59,358067456.0,1.13,1654182912.0,5.23
10,2022-12-01,-3877081088.0,-9.39,-2809000960.0,-6.81,-1068080128.0,-2.59,626311680.0,1.52,3248503808.0,7.87
11,2022-12-02,-820068944.0,-2.88,-689814352.0,-2.42,-130254592.0,-0.46,-379915520.0,-1.33,1198038016.0,4.2
12,2022-12-05,520919312.0,1.39,678974480.0,1.81,-158055168.0,-0.42,-421218560.0,-1.12,-101787904.0,-0.27
13,2022-12-06,-3229507072.0,-7.83,-2030975232.0,-4.93,-1198531840.0,-2.91,269755648.0,0.65,2957270528.0,7.17
14,2022-12-07,1275462144.0,2.92,1261683968.0,2.89,13778176.0,0.03,-821541888.0,-1.88,-452948736.0,-1.04
15,2022-12-08,-3277656576.0,-6.57,-2619235328.0,-5.25,-658421248.0,-1.32,1295468800.0,2.6,1981055232.0,3.97
16,2022-12-09,-1254779392.0,-2.97,-758974208.0,-1.8,-495805184.0,-1.17,101747456.0,0.24,1153061888.0,2.73
17,2022-12-12,113353472.0,0.23,491931904.0,1.0,-378578432.0,-0.77,41788672.0,0.08,-151123200.0,-0.31
18,2022-12-13,-2094240512.0,-4.34,-1083755008.0,-2.25,-1010485504.0,-2.1,440952064.0,0.91,1650749184.0,3.42
19,2022-12-14,-4117655008.0,-9.41,-3003036384.0,-6.87,-1114618624.0,-2.55,476290304.0,1.09,3637805824.0,8.32
20,2022-12-15,-608673504.0,-1.97,-13386720.0,-0.04,-595286784.0,-1.93,-401419520.0,-1.3,1009033472.0,3.26
21,2022-12-16,-342183440.0,-1.01,-75578128.0,-0.22,-266605312.0,-0.79,133937152.0,0.4,207588864.0,0.61
22,2022-12-19,-4845437824.0,-14.17,-3063864192.0,-8.96,-1781573632.0,-5.21,379214592.0,1.11,4464712448.0,13.05
23,2022-12-20,-1024889600.0,-4.32,-456193024.0,-1.93,-568696576.0,-2.4,-497152000.0,-2.1,1520197376.0,6.41
24,2022-12-21,-254323616.0,-1.14,197115744.0,0.88,-451439360.0,-2.02,-502871808.0,-2.25,756161024.0,3.38
25,2022-12-22,-1038933040.0,-4.43,-222073392.0,-0.95,-816859648.0,-3.48,-299520256.0,-1.28,1337611008.0,5.71
26,2022-12-23,-872668192.0,-4.49,-365561904.0,-1.88,-507106288.0,-2.61,-171318528.0,-0.88,1043659520.0,5.37
27,2022-12-26,-1482485600.0,-7.19,-672691936.0,-3.26,-809793664.0,-3.93,-47537664.0,-0.23,1530053632.0,7.43
28,2022-12-27,-2393902576.0,-10.71,-1262358256.0,-5.65,-1131544320.0,-5.06,-13974784.0,-0.06,2406872064.0,10.77
29,2022-12-28,-600092464.0,-3.33,-106665792.0,-0.59,-493426672.0,-2.74,-60296192.0,-0.33,660205312.0,3.66
30,2022-12-29,-55977568.0,-0.29,-148656224.0,-0.76,92678656.0,0.47,159571968.0,0.81,-104308224.0,-0.53
