,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,77103760.0,0.2,420726160.0,1.08,-343622400.0,-0.88,-183569408.0,-0.47,106439680.0,0.27
1,2022-11-18,-2602114880.0,-6.0,-1336110656.0,-3.08,-1266004224.0,-2.92,318175232.0,0.73,2283798016.0,5.27
2,2022-11-21,-1179628592.0,-3.48,-411059248.0,-1.21,-768569344.0,-2.27,-194852352.0,-0.57,1374580224.0,4.05
3,2022-11-22,-1757365584.0,-5.84,-760561744.0,-2.53,-996803840.0,-3.31,-171403264.0,-0.57,1928572672.0,6.41
4,2022-11-23,-1483760160.0,-5.76,-440281632.0,-1.71,-1043478528.0,-4.05,-173002752.0,-0.67,1656754176.0,6.43
5,2022-11-24,-1077141392.0,-4.98,-374645136.0,-1.73,-702496256.0,-3.25,-209100800.0,-0.97,1286205440.0,5.94
6,2022-11-25,-420072848.0,-1.93,137136240.0,0.63,-557209088.0,-2.56,-532129792.0,-2.45,952148224.0,4.38
7,2022-11-28,-931531232.0,-4.09,-494340576.0,-2.17,-437190656.0,-1.92,-183398400.0,-0.81,1114736128.0,4.9
8,2022-11-29,1965209744.0,6.85,1651826576.0,5.76,313383168.0,1.09,-861349632.0,-3.0,-1104050432.0,-3.85
9,2022-11-30,-1173357072.0,-4.96,-596115984.0,-2.52,-577241088.0,-2.44,-123135232.0,-0.52,1296552192.0,5.48
10,2022-12-01,2054871264.0,6.02,1993820384.0,5.84,61050880.0,0.18,-752478976.0,-2.2,-1302499328.0,-3.82
11,2022-12-02,-1221319504.0,-3.47,-521237072.0,-1.48,-700082432.0,-1.99,86701312.0,0.25,1134581504.0,3.23
12,2022-12-05,465956608.0,1.39,362561792.0,1.08,103394816.0,0.31,-638372608.0,-1.9,172342528.0,0.51
13,2022-12-06,-748016160.0,-2.82,-265140000.0,-1.0,-482876160.0,-1.82,-368741376.0,-1.39,1116688384.0,4.21
14,2022-12-07,-847576640.0,-3.54,-458718528.0,-1.92,-388858112.0,-1.62,-49448960.0,-0.21,897009920.0,3.75
15,2022-12-08,-1175199040.0,-4.98,-594125632.0,-2.52,-581073408.0,-2.46,-64851456.0,-0.27,1239492352.0,5.25
16,2022-12-09,-304841808.0,-1.22,57653424.0,0.23,-362495232.0,-1.44,-119667200.0,-0.48,424583424.0,1.69
17,2022-12-12,-541143200.0,-2.09,-400900768.0,-1.55,-140242432.0,-0.54,151426048.0,0.58,389612288.0,1.5
18,2022-12-13,-1656187936.0,-7.17,-688543520.0,-2.98,-967644416.0,-4.19,216164864.0,0.94,1440018176.0,6.23
19,2022-12-14,-55388064.0,-0.26,247851872.0,1.16,-303239936.0,-1.42,14744320.0,0.07,40566784.0,0.19
20,2022-12-15,144770368.0,0.59,178650944.0,0.73,-33880576.0,-0.14,-113570560.0,-0.47,-31219456.0,-0.13
21,2022-12-16,-1630218656.0,-7.38,-747759264.0,-3.39,-882459392.0,-4.0,190659072.0,0.86,1439290880.0,6.52
22,2022-12-19,-1393630224.0,-6.77,-761063952.0,-3.7,-632566272.0,-3.07,169261312.0,0.82,1224161792.0,5.94
