,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-139862072.0,-4.28,-17933496.0,-0.55,-121928576.0,-3.73,-30501680.0,-0.93,170363744.0,5.21
1,2022-11-18,-188852885.0,-5.59,-127385445.0,-3.77,-61467440.0,-1.82,63075888.0,1.87,125777008.0,3.72
2,2022-11-21,-87421108.0,-3.02,-27144324.0,-0.94,-60276784.0,-2.08,-52600304.0,-1.81,140021424.0,4.83
3,2022-11-22,162191088.0,3.52,61450864.0,1.34,100740224.0,2.19,54682544.0,1.19,-216873616.0,-4.71
4,2022-11-23,26606848.0,0.58,-2844576.0,-0.06,29451424.0,0.64,87957376.0,1.91,-114564208.0,-2.48
5,2022-11-24,-251632303.0,-7.69,-110320223.0,-3.37,-141312080.0,-4.32,44805264.0,1.37,206827040.0,6.32
6,2022-11-25,-55398523.0,-1.81,14383205.0,0.47,-69781728.0,-2.28,-30119584.0,-0.98,85518096.0,2.8
7,2022-11-28,-210120583.0,-6.32,-27645543.0,-0.83,-182475040.0,-5.49,76422368.0,2.3,133698192.0,4.02
8,2022-11-29,54270948.0,1.7,45385876.0,1.42,8885072.0,0.28,10841744.0,0.34,-65112688.0,-2.04
9,2022-11-30,-98241205.0,-2.69,-32676997.0,-0.89,-65564208.0,-1.79,75887360.0,2.08,22353856.0,0.61
10,2022-12-01,-90109761.0,-2.5,-56166561.0,-1.56,-33943200.0,-0.94,1801984.0,0.05,88307776.0,2.45
11,2022-12-02,-108980875.0,-3.57,-70823211.0,-2.32,-38157664.0,-1.25,-3883008.0,-0.13,112863888.0,3.7
12,2022-12-05,-13666784.0,-0.24,59268368.0,1.05,-72935152.0,-1.29,9687520.0,0.17,3979264.0,0.07
13,2022-12-06,-371280409.0,-9.71,-146725449.0,-3.84,-224554960.0,-5.87,61398240.0,1.61,309882160.0,8.1
14,2022-12-07,-228752243.0,-7.03,-135030035.0,-4.15,-93722208.0,-2.88,26550880.0,0.82,202201376.0,6.21
15,2022-12-08,31885951.0,0.92,60349151.0,1.75,-28463200.0,-0.82,-118224672.0,-3.42,86338720.0,2.5
16,2022-12-09,-118552520.0,-2.74,-48131848.0,-1.11,-70420672.0,-1.63,6696112.0,0.16,111856416.0,2.59
17,2022-12-12,-191533074.0,-5.73,-90594994.0,-2.71,-100938080.0,-3.02,1932144.0,0.06,189600928.0,5.67
18,2022-12-13,-196174258.0,-7.58,-72210770.0,-2.79,-123963488.0,-4.79,57979664.0,2.24,138194592.0,5.34
19,2022-12-14,-180633126.0,-7.67,-103021798.0,-4.37,-77611328.0,-3.29,9139344.0,0.39,171493776.0,7.28
20,2022-12-15,2238849.0,0.1,8614369.0,0.4,-6375520.0,-0.29,-40623568.0,-1.87,38384704.0,1.76
21,2022-12-16,-108806461.0,-4.39,-41847789.0,-1.69,-66958672.0,-2.7,9583264.0,0.39,99223184.0,4.0
22,2022-12-19,-202121717.0,-7.83,-106704869.0,-4.14,-95416848.0,-3.7,44236384.0,1.71,157885344.0,6.12
23,2022-12-20,-35224152.0,-1.84,-20226968.0,-1.06,-14997184.0,-0.78,-25879456.0,-1.35,61103600.0,3.19
24,2022-12-21,-71015315.0,-4.12,-28526755.0,-1.65,-42488560.0,-2.46,11759632.0,0.68,59255680.0,3.44
25,2022-12-22,-118241510.0,-6.52,-33294342.0,-1.83,-84947168.0,-4.68,31688496.0,1.75,86553024.0,4.77
26,2022-12-23,-112379208.0,-6.39,-32034520.0,-1.82,-80344688.0,-4.57,-26634480.0,-1.51,139013696.0,7.91
27,2022-12-26,95382.0,0.0,38751414.0,1.82,-38656032.0,-1.82,-28414304.0,-1.33,28318912.0,1.33
28,2022-12-27,-36436397.0,-1.63,-18328685.0,-0.82,-18107712.0,-0.81,47032496.0,2.1,-10596112.0,-0.47
29,2022-12-28,-64474720.0,-3.13,-31656192.0,-1.53,-32818528.0,-1.59,-16566640.0,-0.8,81041344.0,3.93
30,2022-12-29,5704779.0,0.28,-25064789.0,-1.22,30769568.0,1.5,582304.0,0.03,-6287072.0,-0.31
31,2022-12-30,-16016369.0,-0.84,-26518417.0,-1.39,10502048.0,0.55,35169392.0,1.84,-19153024.0,-1.0
32,2023-01-03,104361044.0,3.49,96939076.0,3.24,7421968.0,0.25,-39312704.0,-1.31,-65048336.0,-2.17
33,2023-01-04,-35907295.0,-1.06,-31513071.0,-0.93,-4394224.0,-0.13,60138640.0,1.77,-24231360.0,-0.71
34,2023-01-05,-50275485.0,-1.65,-53061277.0,-1.74,2785792.0,0.09,-4426672.0,-0.14,54702160.0,1.79
35,2023-01-06,80326787.0,2.31,-6094317.0,-0.18,86421104.0,2.49,67564048.0,1.95,-147890848.0,-4.26
36,2023-01-09,-85034611.0,-2.41,-41178931.0,-1.17,-43855680.0,-1.24,68807616.0,1.95,16226992.0,0.46
37,2023-01-10,-101230073.0,-2.79,-33336889.0,-0.92,-67893184.0,-1.87,8458496.0,0.23,92771584.0,2.55
38,2023-01-11,-16070757.0,-0.48,29092635.0,0.87,-45163392.0,-1.35,28750864.0,0.86,-12680112.0,-0.38
39,2023-01-12,-103306039.0,-3.79,-62301591.0,-2.29,-41004448.0,-1.5,33057488.0,1.21,70248560.0,2.58
40,2023-01-13,-43489001.0,-1.87,-30145865.0,-1.29,-13343136.0,-0.57,43873216.0,1.88,-384224.0,-0.02
41,2023-01-16,-21785989.0,-0.71,-32773877.0,-1.07,10987888.0,0.36,-14401904.0,-0.47,36187888.0,1.18
42,2023-01-17,-2159291.0,-0.1,54118229.0,2.45,-56277520.0,-2.55,-1078720.0,-0.05,3238016.0,0.15
43,2023-01-18,17654604.0,0.67,86742748.0,3.31,-69088144.0,-2.64,-56445968.0,-2.16,38791376.0,1.48
44,2023-01-19,-141999258.0,-5.49,-86270410.0,-3.34,-55728848.0,-2.16,34283616.0,1.33,107715632.0,4.17
45,2023-01-20,-9879982.0,-0.36,-6351886.0,-0.23,-3528096.0,-0.13,-7422992.0,-0.27,17302976.0,0.64
46,2023-01-30,-33580897.0,-0.77,-16190929.0,-0.37,-17389968.0,-0.4,115161952.0,2.65,-81581056.0,-1.87
47,2023-01-31,-40655208.0,-1.24,1013352.0,0.03,-41668560.0,-1.27,-48689520.0,-1.49,89344720.0,2.73
48,2023-02-01,45263791.0,1.31,13427471.0,0.39,31836320.0,0.92,19551872.0,0.57,-64815648.0,-1.88
49,2023-02-02,-1259527.0,-0.03,-48446279.0,-1.29,47186752.0,1.25,-24532144.0,-0.65,25791664.0,0.69
50,2023-02-03,-132809682.0,-4.31,-40806338.0,-1.32,-92003344.0,-2.99,5567488.0,0.18,127242208.0,4.13
51,2023-02-06,-158782367.0,-5.79,-51355215.0,-1.87,-107427152.0,-3.92,-6319216.0,-0.23,165101568.0,6.02
52,2023-02-07,2255081.0,0.09,17668489.0,0.69,-15413408.0,-0.6,-36311200.0,-1.42,34056112.0,1.33
53,2023-02-08,-49832894.0,-1.9,-685070.0,-0.03,-49147824.0,-1.88,5028208.0,0.19,44804688.0,1.71
54,2023-02-09,-14179338.0,-0.46,-17550458.0,-0.57,3371120.0,0.11,-57192752.0,-1.84,71372112.0,2.3
55,2023-02-10,-65210804.0,-1.91,-47758820.0,-1.4,-17451984.0,-0.51,52786288.0,1.54,12424512.0,0.36
56,2023-02-13,222523952.0,4.96,260254848.0,5.8,-37730896.0,-0.84,3922960.0,0.09,-226446912.0,-5.05
57,2023-02-14,-293486400.0,-6.26,-84153504.0,-1.8,-209332896.0,-4.47,13236528.0,0.28,280249888.0,5.98
58,2023-02-15,-142703343.0,-3.36,-43944719.0,-1.04,-98758624.0,-2.33,-51088896.0,-1.2,193792224.0,4.57
59,2023-02-16,-404736137.0,-8.82,-137935929.0,-3.01,-266800208.0,-5.81,7550432.0,0.16,397185696.0,8.66
60,2023-02-17,-112885700.0,-3.93,-41838756.0,-1.46,-71046944.0,-2.47,-33745552.0,-1.18,146631232.0,5.11
61,2023-02-20,168163026.0,5.09,78024610.0,2.36,90138416.0,2.73,38809072.0,1.17,-206972096.0,-6.26
62,2023-02-21,-67417817.0,-2.09,-84303657.0,-2.61,16885840.0,0.52,94548096.0,2.93,-27130288.0,-0.84
63,2023-02-22,132229.0,0.0,11576853.0,0.4,-11444624.0,-0.39,1554944.0,0.05,-1687184.0,-0.06
64,2023-02-23,-49548348.0,-1.77,-8540588.0,-0.31,-41007760.0,-1.47,36507968.0,1.31,13040368.0,0.47
65,2023-02-24,-96891150.0,-3.69,-55513486.0,-2.12,-41377664.0,-1.58,77494112.0,2.95,19397024.0,0.74
66,2023-02-27,17030748.0,0.56,55987452.0,1.84,-38956704.0,-1.28,-48305136.0,-1.59,31274400.0,1.03
67,2023-02-28,67879584.0,2.39,30810416.0,1.09,37069168.0,1.31,-54957696.0,-1.94,-12921888.0,-0.46
68,2023-03-01,-306686656.0,-4.73,-251604688.0,-3.88,-55081968.0,-0.85,79426656.0,1.22,227260016.0,3.5
69,2023-03-02,-414203584.0,-6.62,-256796496.0,-4.11,-157407088.0,-2.52,83719392.0,1.34,330484160.0,5.28
70,2023-03-03,-14430672.0,-0.22,-65001696.0,-1.01,50571024.0,0.79,62538016.0,0.97,-48107360.0,-0.75
71,2023-03-06,-132699600.0,-2.25,-225425408.0,-3.83,92725808.0,1.57,-364496.0,-0.01,133064112.0,2.26
72,2023-03-07,-383205344.0,-6.95,-154112416.0,-2.79,-229092928.0,-4.15,78911072.0,1.43,304294256.0,5.52
73,2023-03-08,-173983440.0,-4.86,-12006944.0,-0.34,-161976496.0,-4.53,1466288.0,0.04,172517136.0,4.82
74,2023-03-09,-94407840.0,-2.52,-51930960.0,-1.39,-42476880.0,-1.13,-1135120.0,-0.03,95542960.0,2.55
75,2023-03-10,-404253470.0,-10.77,-194830718.0,-5.19,-209422752.0,-5.58,7622832.0,0.2,396630608.0,10.57
76,2023-03-13,-137244064.0,-2.87,16285024.0,0.34,-153529088.0,-3.21,24452960.0,0.51,99937680.0,2.09
77,2023-03-14,-290807632.0,-5.72,-80303824.0,-1.58,-210503808.0,-4.14,39923360.0,0.79,245606544.0,4.83
78,2023-03-15,15770272.0,0.32,628592.0,0.01,15141680.0,0.31,59639552.0,1.21,-81065872.0,-1.64
79,2023-03-16,-272809156.0,-5.65,-114941188.0,-2.38,-157867968.0,-3.27,70198560.0,1.45,195721648.0,4.06
80,2023-03-17,330374576.0,6.38,220151552.0,4.25,110223024.0,2.13,-127850000.0,-2.47,-204057808.0,-3.94
81,2023-03-20,-305710640.0,-4.91,-215093280.0,-3.45,-90617360.0,-1.45,40793680.0,0.65,262755840.0,4.22
82,2023-03-21,-298079072.0,-6.28,-97504816.0,-2.06,-200574256.0,-4.23,28612272.0,0.6,270867056.0,5.71
83,2023-03-22,-444285721.0,-10.59,-295702105.0,-7.05,-148583616.0,-3.54,99949248.0,2.38,344220720.0,8.2
84,2023-03-23,-200163344.0,-4.43,-68958976.0,-1.53,-131204368.0,-2.9,38474224.0,0.85,157383776.0,3.48
85,2023-03-24,-338406162.0,-8.38,-185911538.0,-4.61,-152494624.0,-3.78,96104560.0,2.38,244289568.0,6.05
86,2023-03-27,-51045826.0,-1.31,-6706994.0,-0.17,-44338832.0,-1.14,80537280.0,2.07,-32234672.0,-0.83
87,2023-03-28,-38359772.0,-1.05,-15080108.0,-0.41,-23279664.0,-0.64,83109104.0,2.27,-45983904.0,-1.26
88,2023-03-29,-156449709.0,-4.31,-55191309.0,-1.52,-101258400.0,-2.79,34718080.0,0.96,120445312.0,3.32
89,2023-03-30,-74346564.0,-1.95,-3614324.0,-0.09,-70732240.0,-1.86,75260912.0,1.97,-1827472.0,-0.05
90,2023-03-31,-51149770.0,-1.27,-10312314.0,-0.26,-40837456.0,-1.01,14141152.0,0.35,35543952.0,0.88
91,2023-04-03,23292352.0,0.42,8925168.0,0.16,14367184.0,0.26,52762624.0,0.95,-77298832.0,-1.4
92,2023-04-04,339728896.0,4.97,238473088.0,3.49,101255808.0,1.48,-104402784.0,-1.53,-236318624.0,-3.46
93,2023-04-06,38067712.0,0.83,42655728.0,0.93,-4588016.0,-0.1,-144843264.0,-3.16,104599376.0,2.28
94,2023-04-07,-44051680.0,-1.2,-28808512.0,-0.79,-15243168.0,-0.42,-61168560.0,-1.67,106784704.0,2.91
95,2023-04-10,-152951872.0,-3.32,-37164896.0,-0.81,-115786976.0,-2.52,-16094880.0,-0.35,168185856.0,3.65
96,2023-04-11,-208561620.0,-6.01,-88651396.0,-2.56,-119910224.0,-3.46,47588896.0,1.37,160881664.0,4.64
97,2023-04-12,132016624.0,3.48,159368992.0,4.2,-27352368.0,-0.72,-78326000.0,-2.07,-59242992.0,-1.56
98,2023-04-13,-235605564.0,-5.79,-106836636.0,-2.62,-128768928.0,-3.16,176010544.0,4.32,57038960.0,1.4
99,2023-04-14,-17210240.0,-0.43,-61624608.0,-1.53,44414368.0,1.1,59946416.0,1.49,-44121328.0,-1.1
100,2023-04-17,46928048.0,0.9,14827744.0,0.29,32100304.0,0.62,37725040.0,0.73,-84847648.0,-1.63
