,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,107899934.0,2.68,188974702.0,4.69,-81074768.0,-2.01,-83655232.0,-2.07,-9704256.0,-0.24
1,2022-11-18,118977584.0,1.93,233988240.0,3.8,-115010656.0,-1.87,-82599200.0,-1.34,-35272880.0,-0.57
2,2022-11-21,-45772885.0,-0.93,24491371.0,0.5,-70264256.0,-1.43,48384384.0,0.99,-4766336.0,-0.1
3,2022-11-22,-91142096.0,-1.81,8493776.0,0.17,-99635872.0,-1.98,-37994064.0,-0.75,121752000.0,2.42
4,2022-11-23,120266272.0,2.33,165608112.0,3.2,-45341840.0,-0.88,-152591696.0,-2.95,32335984.0,0.63
5,2022-11-24,-20580896.0,-0.42,62401568.0,1.27,-82982464.0,-1.69,-95670784.0,-1.95,110653152.0,2.25
6,2022-11-25,-233062286.0,-5.2,-76415694.0,-1.7,-156646592.0,-3.49,-95030704.0,-2.12,327905184.0,7.32
7,2022-11-28,-273271753.0,-7.03,-100886185.0,-2.6,-172385568.0,-4.44,63149312.0,1.63,203099024.0,5.23
8,2022-11-29,39894560.0,0.85,-105588160.0,-2.24,145482720.0,3.08,-37414592.0,-0.79,-5309968.0,-0.11
9,2022-11-30,-145459417.0,-4.04,-70937417.0,-1.97,-74522000.0,-2.07,58966832.0,1.64,77908832.0,2.16
10,2022-12-01,-68257917.0,-1.79,31167395.0,0.82,-99425312.0,-2.61,-33225760.0,-0.87,98369728.0,2.59
11,2022-12-02,83801905.0,2.06,41047905.0,1.01,42754000.0,1.05,-18767360.0,-0.46,-61833888.0,-1.52
12,2022-12-05,-499392256.0,-9.76,-424064928.0,-8.29,-75327328.0,-1.47,205695552.0,4.02,291101808.0,5.69
13,2022-12-06,-78837398.0,-2.09,-38254182.0,-1.01,-40583216.0,-1.07,-49599648.0,-1.31,127263392.0,3.37
14,2022-12-07,-42717292.0,-1.17,-23606284.0,-0.65,-19111008.0,-0.52,-34660720.0,-0.95,77371872.0,2.12
15,2022-12-08,-126142209.0,-3.62,-59965617.0,-1.72,-66176592.0,-1.9,16654624.0,0.48,106302192.0,3.05
16,2022-12-09,163002879.0,4.54,208485375.0,5.81,-45482496.0,-1.27,-81663456.0,-2.27,-84679264.0,-2.36
17,2022-12-12,-218102944.0,-4.71,-50312352.0,-1.09,-167790592.0,-3.62,23298560.0,0.5,194882304.0,4.21
18,2022-12-13,-194294004.0,-5.06,-70269172.0,-1.83,-124024832.0,-3.23,15949744.0,0.42,178476688.0,4.65
19,2022-12-14,-216321120.0,-6.71,-80396048.0,-2.5,-135925072.0,-4.22,7472688.0,0.23,208352592.0,6.47
20,2022-12-15,-44728303.0,-1.88,-29357567.0,-1.24,-15370736.0,-0.65,-18169376.0,-0.76,60653120.0,2.55
21,2022-12-16,-154283138.0,-5.75,-53696226.0,-2.0,-100586912.0,-3.75,37399456.0,1.39,116145776.0,4.33
22,2022-12-19,-179921718.0,-7.46,-67005462.0,-2.78,-112916256.0,-4.68,6423632.0,0.27,168793232.0,7.0
23,2022-12-20,10194954.0,0.5,12096186.0,0.6,-1901232.0,-0.09,-2996992.0,-0.15,-6531600.0,-0.32
24,2022-12-21,353701.0,0.02,21680853.0,1.04,-21327152.0,-1.02,-26537984.0,-1.27,19036448.0,0.91
