,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-263102624.0,-7.9,-104088896.0,-3.12,-159013728.0,-4.77,99180640.0,2.98,163921984.0,4.92
1,2022-11-18,28144560.0,1.04,-44387328.0,-1.64,72531888.0,2.68,-30276304.0,-1.12,2131744.0,0.08
2,2022-11-21,-336078160.0,-9.53,-99784336.0,-2.83,-236293824.0,-6.7,36782880.0,1.04,299295280.0,8.49
3,2022-11-22,130019680.0,3.2,81097792.0,2.0,48921888.0,1.2,38305472.0,0.94,-168325152.0,-4.14
4,2022-11-23,-198468624.0,-4.45,-290465616.0,-6.51,91996992.0,2.06,69999104.0,1.57,128469520.0,2.88
5,2022-11-24,-277052735.0,-11.22,-217715215.0,-8.82,-59337520.0,-2.4,9664848.0,0.39,267387888.0,10.83
6,2022-11-25,105855664.0,2.27,131845264.0,2.83,-25989600.0,-0.56,-116771376.0,-2.5,10915712.0,0.23
7,2022-11-28,-225632224.0,-5.75,-226858144.0,-5.78,1225920.0,0.03,98639040.0,2.51,126993184.0,3.23
8,2022-11-29,2128454528.0,17.95,1525412768.0,12.86,603041760.0,5.08,-956462160.0,-8.06,-1171992352.0,-9.88
9,2022-11-30,-280597376.0,-3.48,-215628208.0,-2.67,-64969168.0,-0.81,140891056.0,1.75,139706336.0,1.73
10,2022-12-01,-104934128.0,-1.66,-199184512.0,-3.16,94250384.0,1.49,7973136.0,0.13,96960992.0,1.54
11,2022-12-02,-254320784.0,-5.59,-141944400.0,-3.12,-112376384.0,-2.47,48602560.0,1.07,205718208.0,4.52
12,2022-12-05,1339525344.0,13.08,1069238208.0,10.44,270287136.0,2.64,-548608176.0,-5.36,-790917168.0,-7.72
13,2022-12-06,258674304.0,3.95,-73154608.0,-1.12,331828912.0,5.07,59032624.0,0.9,-317706928.0,-4.85
14,2022-12-07,-180594896.0,-2.85,-490105600.0,-7.74,309510704.0,4.89,9327984.0,0.15,171266896.0,2.71
15,2022-12-08,-99698688.0,-2.61,-87675328.0,-2.29,-12023360.0,-0.31,160384864.0,4.2,-60686192.0,-1.59
16,2022-12-09,-106808320.0,-1.88,104552880.0,1.84,-211361200.0,-3.71,74761792.0,1.31,32046528.0,0.56
17,2022-12-12,-618629232.0,-11.71,-730648048.0,-13.84,112018816.0,2.12,208291552.0,3.94,410337712.0,7.77
18,2022-12-13,-187936880.0,-5.57,-202946880.0,-6.02,15010000.0,0.45,-66984240.0,-1.99,254921120.0,7.56
19,2022-12-14,-149408416.0,-5.42,-96818032.0,-3.51,-52590384.0,-1.91,19911440.0,0.72,129496976.0,4.7
20,2022-12-15,-432314896.0,-14.97,-250055216.0,-8.66,-182259680.0,-6.31,186635424.0,6.46,245679472.0,8.51
21,2022-12-16,-278207536.0,-8.16,-201750688.0,-5.91,-76456848.0,-2.24,256059072.0,7.51,22148464.0,0.65
22,2022-12-19,-326304128.0,-8.32,-363108944.0,-9.25,36804816.0,0.94,207697856.0,5.29,118606272.0,3.02
23,2022-12-20,-439390512.0,-12.3,-259828384.0,-7.27,-179562128.0,-5.03,192598256.0,5.39,246792256.0,6.91
24,2022-12-21,-188296365.0,-8.41,-98706653.0,-4.41,-89589712.0,-4.0,141284384.0,6.31,47012000.0,2.1
25,2022-12-22,-62685856.0,-2.34,-165206016.0,-6.17,102520160.0,3.83,46203936.0,1.73,16481920.0,0.62
26,2022-12-23,-29766544.0,-1.25,-74401024.0,-3.11,44634480.0,1.87,21200192.0,0.89,8566368.0,0.36
27,2022-12-26,-265473536.0,-8.36,-241316400.0,-7.6,-24157136.0,-0.76,32596288.0,1.03,232877248.0,7.34
28,2022-12-27,67509168.0,2.4,-10661184.0,-0.38,78170352.0,2.78,-65929968.0,-2.35,-1579216.0,-0.06
29,2022-12-28,34866112.0,0.99,-99592592.0,-2.82,134458704.0,3.81,62073552.0,1.76,-96939664.0,-2.75
30,2022-12-29,-70687840.0,-1.97,-95489664.0,-2.66,24801824.0,0.69,76367264.0,2.13,-5679424.0,-0.16
31,2022-12-30,260058272.0,6.09,114828544.0,2.69,145229728.0,3.4,-46219760.0,-1.08,-213838480.0,-5.0
32,2023-01-03,249474544.0,5.08,87282720.0,1.78,162191824.0,3.3,8305104.0,0.17,-257779664.0,-5.25
33,2023-01-04,379191600.0,5.87,518621392.0,8.03,-139429792.0,-2.16,-97727104.0,-1.51,-281464496.0,-4.36
34,2023-01-05,-121776976.0,-2.01,-326260528.0,-5.37,204483552.0,3.37,185030048.0,3.05,-63253088.0,-1.04
35,2023-01-06,-463779616.0,-8.3,-436159072.0,-7.81,-27620544.0,-0.49,179379536.0,3.21,284400096.0,5.09
36,2023-01-09,310824512.0,5.02,121715504.0,1.97,189109008.0,3.06,-311252240.0,-5.03,427744.0,0.01
37,2023-01-10,-691646544.0,-11.35,-674501296.0,-11.07,-17145248.0,-0.28,135711616.0,2.23,555934928.0,9.12
38,2023-01-11,-298341472.0,-4.3,-188493504.0,-2.72,-109847968.0,-1.58,132176256.0,1.91,166165216.0,2.4
39,2023-01-12,-150653104.0,-3.36,-210646656.0,-4.7,59993552.0,1.34,-28565408.0,-0.64,179218512.0,4.0
40,2023-01-13,-331097680.0,-4.88,-364992240.0,-5.38,33894560.0,0.5,395373888.0,5.82,-64276208.0,-0.95
41,2023-01-16,-417482912.0,-4.31,-658465872.0,-6.8,240982960.0,2.49,163716080.0,1.69,253766832.0,2.62
42,2023-01-17,-269007472.0,-4.63,-423627152.0,-7.29,154619680.0,2.66,91356944.0,1.57,177650544.0,3.06
43,2023-01-18,-171349200.0,-4.67,-204047872.0,-5.56,32698672.0,0.89,26061040.0,0.71,145288160.0,3.96
44,2023-01-19,-132575248.0,-3.28,16301152.0,0.4,-148876400.0,-3.68,-180145776.0,-4.45,312721056.0,7.73
45,2023-01-20,-26921344.0,-0.62,-141897664.0,-3.27,114976320.0,2.65,34498016.0,0.79,-7576672.0,-0.17
46,2023-01-30,-694070704.0,-9.17,-608779424.0,-8.04,-85291280.0,-1.13,222597888.0,2.94,471472832.0,6.23
47,2023-01-31,-525273872.0,-9.49,-603338000.0,-10.9,78064128.0,1.41,297889088.0,5.38,227384784.0,4.11
48,2023-02-01,-54976192.0,-1.12,-91273456.0,-1.85,36297264.0,0.74,-5464224.0,-0.11,60440432.0,1.23
49,2023-02-02,82125792.0,1.61,-90952928.0,-1.78,173078720.0,3.39,-86408944.0,-1.69,4283168.0,0.08
50,2023-02-03,-673864880.0,-10.52,-853536816.0,-13.32,179671936.0,2.8,93089792.0,1.45,580775088.0,9.06
51,2023-02-06,-244943232.0,-3.95,-497376416.0,-8.02,252433184.0,4.07,150985456.0,2.44,93957792.0,1.52
52,2023-02-07,-141878768.0,-3.6,-131868240.0,-3.34,-10010528.0,-0.25,30871024.0,0.78,111007760.0,2.81
53,2023-02-08,-212927696.0,-7.14,-305001088.0,-10.23,92073392.0,3.09,148202800.0,4.97,64724880.0,2.17
54,2023-02-09,-171399712.0,-3.51,17643072.0,0.36,-189042784.0,-3.87,179534848.0,3.68,-8135120.0,-0.17
55,2023-02-10,-204620384.0,-6.97,-131687840.0,-4.49,-72932544.0,-2.48,118310272.0,4.03,86310128.0,2.94
56,2023-02-13,-113715456.0,-2.47,-249760784.0,-5.42,136045328.0,2.95,145575088.0,3.16,-31859648.0,-0.69
57,2023-02-14,109218400.0,2.92,-75569920.0,-2.02,184788320.0,4.95,40385200.0,1.08,-149603600.0,-4.01
58,2023-02-15,-398819392.0,-11.25,-363711664.0,-10.26,-35107728.0,-0.99,267759920.0,7.55,131059472.0,3.7
59,2023-02-16,290174128.0,5.97,223046848.0,4.59,67127280.0,1.38,-110798096.0,-2.28,-179376032.0,-3.69
60,2023-02-17,-224267840.0,-6.14,-119477488.0,-3.27,-104790352.0,-2.87,5569568.0,0.15,218698272.0,5.98
61,2023-02-20,287257680.0,4.72,133340288.0,2.19,153917392.0,2.53,-60217424.0,-0.99,-227040256.0,-3.73
62,2023-02-21,-44786224.0,-1.27,-197184384.0,-5.58,152398160.0,4.31,169489840.0,4.8,-124703616.0,-3.53
63,2023-02-22,-267631680.0,-7.88,-166909872.0,-4.91,-100721808.0,-2.96,124975216.0,3.68,142656464.0,4.2
64,2023-02-23,-247596864.0,-7.93,-198567040.0,-6.36,-49029824.0,-1.57,67614016.0,2.17,179982848.0,5.77
65,2023-02-24,-255468839.0,-7.42,-289692311.0,-8.41,34223472.0,0.99,-62679280.0,-1.82,318148128.0,9.24
66,2023-02-27,115612176.0,3.39,-150534016.0,-4.42,266146192.0,7.81,-289303056.0,-8.49,173690864.0,5.1
67,2023-02-28,-95736880.0,-3.05,-22289872.0,-0.71,-73447008.0,-2.34,45145376.0,1.44,50591488.0,1.61
68,2023-03-01,499848448.0,8.32,351080688.0,5.84,148767760.0,2.48,-151401536.0,-2.52,-348446896.0,-5.8
69,2023-03-02,-89715952.0,-2.78,-100041168.0,-3.1,10325216.0,0.32,-11749984.0,-0.36,101465952.0,3.15
70,2023-03-03,32281520.0,1.14,20757104.0,0.74,11524416.0,0.41,-73485728.0,-2.6,41204192.0,1.46
71,2023-03-06,-475827024.0,-8.29,-268062880.0,-4.67,-207764144.0,-3.62,-35260224.0,-0.61,511087248.0,8.9
72,2023-03-07,-11319552.0,-0.23,50606448.0,1.03,-61926000.0,-1.26,-153170736.0,-3.13,164490288.0,3.36
73,2023-03-08,-376414000.0,-9.6,-430696368.0,-10.98,54282368.0,1.38,131073600.0,3.34,245340400.0,6.25
74,2023-03-09,-5318960.0,-0.15,4533424.0,0.12,-9852384.0,-0.27,-123435616.0,-3.38,128754592.0,3.53
75,2023-03-10,-90769824.0,-2.43,-73503024.0,-1.97,-17266800.0,-0.46,-48270288.0,-1.29,139040112.0,3.72
