,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-1861752000.0,-6.69,-1273114304.0,-4.58,-588637696.0,-2.12,149447680.0,0.54,1708242944.0,6.14
1,2022-11-18,1057979824.0,3.35,1200335792.0,3.8,-142355968.0,-0.45,-567341568.0,-1.79,-492841984.0,-1.56
2,2022-11-21,-258433728.0,-0.97,-184164032.0,-0.69,-74269696.0,-0.28,328697856.0,1.24,-70342400.0,-0.26
3,2022-11-22,-2430802976.0,-9.07,-1656117280.0,-6.18,-774685696.0,-2.89,716560128.0,2.67,1710302208.0,6.38
4,2022-11-23,1754446576.0,5.48,1314346480.0,4.1,440100096.0,1.37,-230352640.0,-0.72,-1522235392.0,-4.75
5,2022-11-24,-977640160.0,-4.03,-843987680.0,-3.48,-133652480.0,-0.55,518087168.0,2.14,456052992.0,1.88
6,2022-11-25,-2306377280.0,-10.49,-1437360192.0,-6.54,-869017088.0,-3.95,290199552.0,1.32,2012926976.0,9.15
7,2022-11-28,-1112951648.0,-5.22,-249014368.0,-1.17,-863937280.0,-4.05,46325504.0,0.22,1065626624.0,5.0
8,2022-11-29,-710539808.0,-3.26,-306388000.0,-1.4,-404151808.0,-1.85,-11706112.0,-0.05,720669696.0,3.3
9,2022-11-30,-538475408.0,-2.5,-131728016.0,-0.61,-406747392.0,-1.89,-131542784.0,-0.61,665538560.0,3.1
10,2022-12-01,762885968.0,2.84,968908624.0,3.6,-206022656.0,-0.77,-354986240.0,-1.32,-409026304.0,-1.52
11,2022-12-02,946656592.0,3.06,1254859600.0,4.06,-308203008.0,-1.0,-422846208.0,-1.37,-526763520.0,-1.7
12,2022-12-05,-3307542240.0,-9.23,-2059547360.0,-5.75,-1247994880.0,-3.48,779732480.0,2.18,2519034624.0,7.03
13,2022-12-06,-1279010656.0,-4.16,-629175648.0,-2.05,-649835008.0,-2.12,222828800.0,0.73,1053388032.0,3.43
