,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-768131664.0,-6.3,-412220528.0,-3.38,-355911136.0,-2.92,104080320.0,0.85,664051472.0,5.44
1,2022-11-18,-801618816.0,-6.44,-454156416.0,-3.65,-347462400.0,-2.79,92582368.0,0.74,709036464.0,5.7
2,2022-11-21,-498840736.0,-4.7,-250490000.0,-2.36,-248350736.0,-2.34,-15338016.0,-0.14,514178736.0,4.84
3,2022-11-22,-542497040.0,-4.27,-351938320.0,-2.77,-190558720.0,-1.5,143086192.0,1.13,399410816.0,3.15
4,2022-11-23,-573141760.0,-4.82,-215608112.0,-1.81,-357533648.0,-3.01,-128807184.0,-1.08,701949056.0,5.9
5,2022-11-24,-1059944080.0,-9.29,-390192496.0,-3.42,-669751584.0,-5.87,53810768.0,0.47,1006133328.0,8.82
6,2022-11-25,-825187184.0,-9.15,-346374576.0,-3.84,-478812608.0,-5.31,183533344.0,2.03,641653856.0,7.11
7,2022-11-28,-599574512.0,-6.69,-302112000.0,-3.37,-297462512.0,-3.32,74826432.0,0.84,524748080.0,5.86
8,2022-11-29,-52977216.0,-0.55,-25544096.0,-0.27,-27433120.0,-0.28,78920336.0,0.82,-25943104.0,-0.27
9,2022-11-30,-560128496.0,-5.77,-377997504.0,-3.89,-182130992.0,-1.88,162983408.0,1.68,397145072.0,4.09
10,2022-12-01,-150378336.0,-1.5,-72838928.0,-0.73,-77539408.0,-0.77,62466496.0,0.62,87911840.0,0.88
11,2022-12-02,-630865216.0,-6.64,-292045888.0,-3.08,-338819328.0,-3.57,128717872.0,1.36,502147344.0,5.29
12,2022-12-05,228641216.0,1.95,329055776.0,2.81,-100414560.0,-0.86,-34051680.0,-0.29,-194589536.0,-1.66
13,2022-12-06,-399970752.0,-3.92,-102530016.0,-1.01,-297440736.0,-2.92,97726144.0,0.96,302244624.0,2.96
14,2022-12-07,-517184528.0,-5.45,-298678656.0,-3.15,-218505872.0,-2.3,50270784.0,0.53,466913728.0,4.92
15,2022-12-08,-458739440.0,-5.49,-110454736.0,-1.32,-348284704.0,-4.17,-33553200.0,-0.4,492292624.0,5.9
16,2022-12-09,-227370592.0,-2.41,-56417008.0,-0.6,-170953584.0,-1.81,122807488.0,1.3,104563120.0,1.11
17,2022-12-12,-542676560.0,-5.54,-277887168.0,-2.84,-264789392.0,-2.7,231588512.0,2.36,311088032.0,3.17
18,2022-12-13,-508207040.0,-5.95,-304257776.0,-3.56,-203949264.0,-2.39,28723568.0,0.34,479483472.0,5.62
19,2022-12-14,-182337120.0,-1.76,982320.0,0.01,-183319440.0,-1.77,-63241552.0,-0.61,245578672.0,2.37
20,2022-12-15,-167001856.0,-1.57,104336352.0,0.98,-271338208.0,-2.55,12511840.0,0.12,154490032.0,1.45
21,2022-12-16,-537949104.0,-5.9,-109286704.0,-1.2,-428662400.0,-4.7,-7942048.0,-0.09,545891168.0,5.99
22,2022-12-19,-962791968.0,-11.59,-366895728.0,-4.42,-595896240.0,-7.17,35986816.0,0.43,926805136.0,11.16
23,2022-12-20,-248606496.0,-4.03,-181135600.0,-2.94,-67470896.0,-1.09,-63932048.0,-1.04,312538528.0,5.07
24,2022-12-21,-671706544.0,-11.11,-268116048.0,-4.44,-403590496.0,-6.68,59950000.0,0.99,611756544.0,10.12
25,2022-12-22,-408462800.0,-6.8,-215585232.0,-3.59,-192877568.0,-3.21,-12193792.0,-0.2,420656576.0,7.0
26,2022-12-23,-289402348.0,-5.56,-151929516.0,-2.92,-137472832.0,-2.64,8154816.0,0.16,281247536.0,5.4
27,2022-12-26,-77615162.0,-1.42,-101230954.0,-1.86,23615792.0,0.43,-7233952.0,-0.13,84849120.0,1.56
28,2022-12-27,-199343104.0,-3.77,-56204720.0,-1.06,-143138384.0,-2.71,35224112.0,0.67,164119008.0,3.11
29,2022-12-28,-328131938.0,-6.52,-145456402.0,-2.89,-182675536.0,-3.63,40939920.0,0.81,283650480.0,5.64
30,2022-12-29,-249833312.0,-5.24,-100153408.0,-2.1,-149679904.0,-3.14,23066560.0,0.48,224552368.0,4.71
31,2022-12-30,-119507808.0,-2.71,-77978304.0,-1.77,-41529504.0,-0.94,85223200.0,1.93,33955648.0,0.77
32,2023-01-03,371118976.0,5.29,200414064.0,2.86,170704912.0,2.43,-109960096.0,-1.57,-261088800.0,-3.72
33,2023-01-04,3764432.0,0.04,134082752.0,1.58,-130318320.0,-1.53,-25438864.0,-0.3,20839328.0,0.24
34,2023-01-05,198083824.0,2.26,121407872.0,1.39,76675952.0,0.88,54388160.0,0.62,-253442880.0,-2.9
35,2023-01-06,653662672.0,5.72,430714016.0,3.77,222948656.0,1.95,-165372320.0,-1.45,-489124752.0,-4.28
36,2023-01-09,-196566752.0,-2.19,-36440800.0,-0.41,-160125952.0,-1.78,77850960.0,0.87,118267168.0,1.32
37,2023-01-10,-32204464.0,-0.39,48516336.0,0.59,-80720800.0,-0.99,-88681472.0,-1.09,120788512.0,1.48
38,2023-01-11,-345906528.0,-3.97,-108129760.0,-1.24,-237776768.0,-2.73,4078384.0,0.05,342213168.0,3.92
39,2023-01-12,261496304.0,2.76,276538656.0,2.92,-15042352.0,-0.16,-81086928.0,-0.86,-180611872.0,-1.91
40,2023-01-13,-336828384.0,-3.94,-149485536.0,-1.75,-187342848.0,-2.19,32423680.0,0.38,304109136.0,3.56
41,2023-01-16,522105856.0,4.52,337088880.0,2.92,185016976.0,1.6,-179485776.0,-1.55,-342663168.0,-2.97
42,2023-01-17,135309520.0,1.3,32917824.0,0.32,102391696.0,0.98,7848384.0,0.08,-143669328.0,-1.38
43,2023-01-18,-190781856.0,-2.23,-72876288.0,-0.85,-117905568.0,-1.38,-333888.0,-0.0,191078720.0,2.23
44,2023-01-19,783055264.0,6.62,713267472.0,6.03,69787792.0,0.59,-346911376.0,-2.93,-436259104.0,-3.69
45,2023-01-20,-156417936.0,-1.4,-39537536.0,-0.35,-116880400.0,-1.04,-157239840.0,-1.4,313482512.0,2.8
46,2023-01-30,455635248.0,3.09,289148896.0,1.96,166486352.0,1.13,-201888256.0,-1.37,-254110400.0,-1.72
47,2023-01-31,-284037392.0,-2.23,-160923152.0,-1.26,-123114240.0,-0.96,-146797168.0,-1.15,436689760.0,3.42
48,2023-02-01,314730080.0,2.14,459404384.0,3.12,-144674304.0,-0.98,-235273216.0,-1.6,-82271232.0,-0.56
49,2023-02-02,-434609184.0,-2.95,-70141952.0,-0.48,-364467232.0,-2.47,-43333120.0,-0.29,474853888.0,3.22
50,2023-02-03,-344435376.0,-2.21,16025872.0,0.1,-360461248.0,-2.31,-230853376.0,-1.48,574947840.0,3.68
51,2023-02-06,-356187568.0,-2.68,-105951936.0,-0.8,-250235632.0,-1.88,-51956224.0,-0.39,406348672.0,3.05
52,2023-02-07,-7914816.0,-0.06,39675280.0,0.29,-47590096.0,-0.35,-94678272.0,-0.69,102839536.0,0.75
53,2023-02-08,-548152912.0,-4.35,-276699024.0,-2.19,-271453888.0,-2.15,-47072112.0,-0.37,593558816.0,4.71
54,2023-02-09,403228160.0,2.68,656970224.0,4.36,-253742064.0,-1.68,-601677824.0,-3.99,197779456.0,1.31
