,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-43342567.0,-5.82,-12118976.0,-1.63,-31223591.0,-4.19,-9043113.0,-1.21,52385686.0,7.03
1,2022-11-18,-76070353.0,-8.09,-44892272.0,-4.77,-31178081.0,-3.32,-4145888.0,-0.44,80216224.0,8.53
2,2022-11-21,-25126204.0,-3.74,-3074553.0,-0.46,-22051651.0,-3.28,-9604762.0,-1.43,34730976.0,5.16
3,2022-11-22,-18951416.0,-2.08,-5601431.0,-0.62,-13349985.0,-1.47,-5102320.0,-0.56,24053744.0,2.64
4,2022-11-23,-18888989.0,-1.9,-23901739.0,-2.41,5012750.0,0.51,-15729248.0,-1.59,34618224.0,3.49
5,2022-11-24,59244757.0,4.89,99098571.0,8.17,-39853814.0,-3.29,-39460512.0,-3.26,-19784256.0,-1.63
6,2022-11-25,4045996.0,0.23,48143900.0,2.72,-44097904.0,-2.49,-19172880.0,-1.08,15126880.0,0.85
7,2022-11-28,-5399403.0,-0.25,57061349.0,2.64,-62460752.0,-2.89,-14468528.0,-0.67,19867936.0,0.92
8,2022-11-29,-28345561.0,-1.42,-19406425.0,-0.97,-8939136.0,-0.45,-23778064.0,-1.19,52123616.0,2.62
9,2022-11-30,-33939080.0,-2.17,1650216.0,0.11,-35589296.0,-2.28,-33456736.0,-2.14,67395808.0,4.31
10,2022-12-01,-40688923.0,-2.91,-5498851.0,-0.39,-35190072.0,-2.52,-49445808.0,-3.54,90134720.0,6.45
11,2022-12-02,-18462110.0,-1.87,-12030338.0,-1.22,-6431772.0,-0.65,-33685600.0,-3.41,52147712.0,5.28
12,2022-12-05,-11244371.0,-0.79,-14006387.0,-0.98,2762016.0,0.19,1081760.0,0.08,10162624.0,0.71
13,2022-12-06,-65346399.0,-6.3,-44974107.0,-4.34,-20372292.0,-1.97,-16087584.0,-1.55,81433984.0,7.86
14,2022-12-07,917802.0,0.1,3433889.0,0.37,-2516087.0,-0.27,-33503152.0,-3.58,32585344.0,3.48
15,2022-12-08,-31814699.0,-3.82,-22089164.0,-2.65,-9725535.0,-1.17,18040944.0,2.17,13773760.0,1.65
16,2022-12-09,9584874.0,0.83,-5570250.0,-0.49,15155124.0,1.32,-3802464.0,-0.33,-5782416.0,-0.5
17,2022-12-12,-54745748.0,-4.75,-12639086.0,-1.1,-42106662.0,-3.66,30194400.0,2.62,24551344.0,2.13
18,2022-12-13,-8135310.0,-1.02,-8117673.0,-1.02,-17637.0,-0.0,13175024.0,1.66,-5039712.0,-0.63
19,2022-12-14,-31465149.0,-4.29,-7020420.0,-0.96,-24444729.0,-3.34,9561326.0,1.3,21903824.0,2.99
