,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-148502064.0,-1.05,-162894304.0,-1.15,14392240.0,0.1,-98551296.0,-0.7,247373312.0,1.75
1,2022-11-18,-1414731216.0,-10.28,-759714816.0,-5.52,-655016400.0,-4.76,74381312.0,0.54,1340660928.0,9.74
2,2022-11-21,-560476480.0,-5.31,-372607600.0,-3.53,-187868880.0,-1.78,-143774512.0,-1.36,705950160.0,6.69
3,2022-11-22,-613269456.0,-6.77,-245129264.0,-2.71,-368140192.0,-4.06,-92328784.0,-1.02,704989520.0,7.78
4,2022-11-23,-670880016.0,-7.03,-355202864.0,-3.72,-315677152.0,-3.31,-98535840.0,-1.03,768774192.0,8.05
5,2022-11-24,-322506016.0,-4.1,-138029088.0,-1.75,-184476928.0,-2.34,19368224.0,0.25,302358624.0,3.84
6,2022-11-25,227140816.0,2.82,158102928.0,1.96,69037888.0,0.86,-21210560.0,-0.26,-207366576.0,-2.57
7,2022-11-28,-338991904.0,-3.38,-152512192.0,-1.52,-186479712.0,-1.86,140539984.0,1.4,198276896.0,1.98
8,2022-11-29,-12657984.0,-0.12,48146576.0,0.47,-60804560.0,-0.6,-9019296.0,-0.09,22586768.0,0.22
9,2022-11-30,552362560.0,3.52,418532928.0,2.67,133829632.0,0.85,-165104128.0,-1.05,-386830080.0,-2.47
10,2022-12-01,-75595280.0,-0.5,101976704.0,0.67,-177571984.0,-1.17,-15162368.0,-0.1,90255104.0,0.6
11,2022-12-02,72476112.0,0.44,148838016.0,0.89,-76361904.0,-0.46,-217272576.0,-1.31,144994048.0,0.87
12,2022-12-05,133174240.0,0.78,-46492704.0,-0.27,179666944.0,1.05,-89247488.0,-0.52,-43581440.0,-0.26
13,2022-12-06,-176218048.0,-1.05,123883856.0,0.73,-300101904.0,-1.78,-65489152.0,-0.39,241553664.0,1.43
14,2022-12-07,-322942496.0,-1.72,-112171408.0,-0.6,-210771088.0,-1.12,-65637120.0,-0.35,388478464.0,2.06
15,2022-12-08,-2121443936.0,-12.63,-1133698672.0,-6.75,-987745264.0,-5.88,74934528.0,0.45,2037474048.0,12.13
16,2022-12-09,-615978656.0,-4.57,-336107712.0,-2.49,-279870944.0,-2.07,-320047360.0,-2.37,934852432.0,6.93
17,2022-12-12,-724710000.0,-5.72,-303718272.0,-2.4,-420991728.0,-3.33,-134847392.0,-1.07,861978080.0,6.81
18,2022-12-13,867099520.0,4.42,653864832.0,3.33,213234688.0,1.09,-179507456.0,-0.91,-690700800.0,-3.52
19,2022-12-14,-616910592.0,-4.49,-263609776.0,-1.92,-353300816.0,-2.57,143271680.0,1.04,472945664.0,3.44
20,2022-12-15,-219776992.0,-1.62,-11346064.0,-0.08,-208430928.0,-1.54,-33070336.0,-0.24,252875008.0,1.87
21,2022-12-16,-664605856.0,-5.83,-372696112.0,-3.27,-291909744.0,-2.56,223269232.0,1.96,438891312.0,3.85
22,2022-12-19,-1165451712.0,-7.86,-617647952.0,-4.16,-547803760.0,-3.69,141479936.0,0.95,1018975232.0,6.87
23,2022-12-20,-891152128.0,-7.57,-616416016.0,-5.23,-274736112.0,-2.33,-49727328.0,-0.42,941226944.0,7.99
24,2022-12-21,5599136.0,0.05,-22203712.0,-0.19,27802848.0,0.24,46446112.0,0.39,-50914432.0,-0.43
25,2022-12-22,340679744.0,2.48,471345024.0,3.44,-130665280.0,-0.95,-126174464.0,-0.92,-216129792.0,-1.58
26,2022-12-23,-557153184.0,-4.85,-245225200.0,-2.13,-311927984.0,-2.71,70469152.0,0.61,485380032.0,4.22
27,2022-12-26,-765162784.0,-5.22,-534390528.0,-3.64,-230772256.0,-1.57,129208320.0,0.88,636132864.0,4.34
28,2022-12-27,811071472.0,4.31,746754880.0,3.97,64316592.0,0.34,9957120.0,0.05,-818954240.0,-4.35
29,2022-12-28,-1008328832.0,-6.49,-628883888.0,-4.05,-379444944.0,-2.44,149490944.0,0.96,855549440.0,5.51
30,2022-12-29,-422822224.0,-3.86,-105403840.0,-0.96,-317418384.0,-2.9,62182512.0,0.57,358783968.0,3.27
31,2022-12-30,200489632.0,1.71,89392448.0,0.76,111097184.0,0.95,-99614816.0,-0.85,-102154528.0,-0.87
32,2023-01-03,-440148736.0,-3.38,-246382592.0,-1.89,-193766144.0,-1.49,102359552.0,0.79,336330592.0,2.58
33,2023-01-04,-142080432.0,-1.2,-74989776.0,-0.63,-67090656.0,-0.56,-66565632.0,-0.56,206423776.0,1.74
34,2023-01-05,-731079600.0,-5.15,-413267344.0,-2.91,-317812256.0,-2.24,98546432.0,0.69,631842416.0,4.45
35,2023-01-06,-641642272.0,-5.49,-512904560.0,-4.39,-128737712.0,-1.1,154286992.0,1.32,485535056.0,4.16
36,2023-01-09,265366288.0,1.97,82835664.0,0.62,182530624.0,1.36,-153901312.0,-1.14,-112213024.0,-0.83
37,2023-01-10,-608565072.0,-5.28,-243833968.0,-2.12,-364731104.0,-3.17,56341744.0,0.49,551723104.0,4.79
38,2023-01-11,-457348688.0,-4.12,-232541552.0,-2.09,-224807136.0,-2.02,-32824528.0,-0.3,489291360.0,4.4
