,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-18447672.0,-0.46,43377736.0,1.09,-61825408.0,-1.55,17819088.0,0.45,1171552.0,0.03
1,2022-11-18,-268690816.0,-5.27,-109644208.0,-2.15,-159046608.0,-3.12,114503744.0,2.25,153830192.0,3.02
2,2022-11-21,-241836135.0,-4.87,-159331127.0,-3.21,-82505008.0,-1.66,38654576.0,0.78,205891584.0,4.15
3,2022-11-22,-130804912.0,-2.44,28220816.0,0.53,-159025728.0,-2.97,10552256.0,0.2,115390752.0,2.15
4,2022-11-23,-212410552.0,-4.96,-112717272.0,-2.63,-99693280.0,-2.33,61167888.0,1.43,148647712.0,3.47
5,2022-11-24,-62190313.0,-1.73,59976359.0,1.67,-122166672.0,-3.4,-7234352.0,-0.2,68786960.0,1.91
6,2022-11-25,-248770464.0,-6.88,-82985280.0,-2.29,-165785184.0,-4.58,-12174704.0,-0.34,259205776.0,7.16
7,2022-11-28,-262440000.0,-7.23,-110732208.0,-3.05,-151707792.0,-4.18,32277664.0,0.89,229961520.0,6.34
8,2022-11-29,35798862.0,0.89,27102558.0,0.68,8696304.0,0.22,-19658368.0,-0.49,-15962784.0,-0.4
9,2022-11-30,-6308142.0,-0.16,41075186.0,1.03,-47383328.0,-1.19,4402656.0,0.11,418448.0,0.01
10,2022-12-01,-198816601.0,-4.74,-136547369.0,-3.25,-62269232.0,-1.48,50170512.0,1.2,145058768.0,3.46
11,2022-12-02,-44463269.0,-1.26,4642459.0,0.13,-49105728.0,-1.39,-31555632.0,-0.9,74011824.0,2.1
12,2022-12-05,-3382192.0,-0.08,19555264.0,0.46,-22937456.0,-0.54,82018304.0,1.92,-79938816.0,-1.87
13,2022-12-06,1474928.0,0.03,-5357888.0,-0.1,6832816.0,0.13,36203856.0,0.7,-41083456.0,-0.8
14,2022-12-07,-83972208.0,-1.66,-10787488.0,-0.21,-73184720.0,-1.45,-14305056.0,-0.28,97693216.0,1.93
15,2022-12-08,-75380208.0,-1.63,-5496448.0,-0.12,-69883760.0,-1.51,18009664.0,0.39,55046240.0,1.19
16,2022-12-09,-128068301.0,-2.77,-87756013.0,-1.9,-40312288.0,-0.87,30854960.0,0.67,96548480.0,2.09
17,2022-12-12,-153580544.0,-3.11,-68037776.0,-1.38,-85542768.0,-1.73,57714608.0,1.17,88760880.0,1.8
18,2022-12-13,-145333227.0,-3.47,-110044443.0,-2.63,-35288784.0,-0.84,-22140816.0,-0.53,165416736.0,3.95
19,2022-12-14,-107327086.0,-3.0,-23092046.0,-0.65,-84235040.0,-2.36,-23873712.0,-0.67,128170912.0,3.58
20,2022-12-15,10424324.0,0.29,-6046604.0,-0.17,16470928.0,0.45,-18630416.0,-0.51,6026608.0,0.17
21,2022-12-16,19509936.0,0.38,-16006624.0,-0.31,35516560.0,0.69,-4407712.0,-0.09,-14419024.0,-0.28
22,2022-12-19,-363173392.0,-8.07,-185825744.0,-4.13,-177347648.0,-3.94,66794800.0,1.48,293199904.0,6.51
23,2022-12-20,-261774907.0,-6.78,-138680203.0,-3.59,-123094704.0,-3.19,67245920.0,1.74,192954704.0,5.0
24,2022-12-21,-81242681.0,-2.16,-63078857.0,-1.68,-18163824.0,-0.48,85071264.0,2.26,-4958192.0,-0.13
25,2022-12-22,54875248.0,1.28,128143648.0,2.99,-73268400.0,-1.71,-17087760.0,-0.4,-40284288.0,-0.94
26,2022-12-23,-201548944.0,-4.88,-54161296.0,-1.31,-147387648.0,-3.57,-24661792.0,-0.6,225167904.0,5.46
27,2022-12-26,-73489340.0,-2.05,-13730364.0,-0.38,-59758976.0,-1.67,-10232272.0,-0.29,81873392.0,2.28
28,2022-12-27,-212531464.0,-5.84,-83250760.0,-2.29,-129280704.0,-3.56,46512464.0,1.28,166916656.0,4.59
29,2022-12-28,-137994768.0,-4.14,-68645504.0,-2.06,-69349264.0,-2.08,4051520.0,0.12,133067296.0,3.99
30,2022-12-29,-29623093.0,-1.01,16097723.0,0.55,-45720816.0,-1.56,37527808.0,1.28,-9439888.0,-0.32
31,2022-12-30,27125448.0,0.88,15629576.0,0.51,11495872.0,0.37,-23865376.0,-0.77,-4114720.0,-0.13
32,2023-01-03,32604271.0,0.99,2170799.0,0.07,30433472.0,0.93,-20213872.0,-0.62,-13292288.0,-0.41
33,2023-01-04,41868470.0,1.28,4093414.0,0.13,37775056.0,1.16,6113088.0,0.19,-46385552.0,-1.42
34,2023-01-05,85850336.0,2.51,-6825344.0,-0.2,92675680.0,2.71,-16393824.0,-0.48,-69539376.0,-2.03
35,2023-01-06,-43718890.0,-1.03,-22218858.0,-0.52,-21500032.0,-0.5,-45968816.0,-1.08,89512368.0,2.1
36,2023-01-09,-113478599.0,-3.03,-70458407.0,-1.88,-43020192.0,-1.15,66512960.0,1.78,49376960.0,1.32
37,2023-01-10,-191494679.0,-5.28,-103993959.0,-2.86,-87500720.0,-2.41,46394256.0,1.28,146118912.0,4.03
38,2023-01-11,-166411629.0,-4.15,-55103581.0,-1.38,-111308048.0,-2.78,87796976.0,2.19,79005184.0,1.97
39,2023-01-12,-119037848.0,-3.95,-59648632.0,-1.98,-59389216.0,-1.97,-3386496.0,-0.11,122277520.0,4.06
40,2023-01-13,-51350210.0,-1.79,5946798.0,0.21,-57297008.0,-2.0,-3059392.0,-0.11,53478752.0,1.86
41,2023-01-16,-84282028.0,-2.32,-27384156.0,-0.75,-56897872.0,-1.57,-7614736.0,-0.21,92155200.0,2.54
