,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-286195884.0,-11.96,-126342780.0,-5.28,-159853104.0,-6.68,13607904.0,0.57,272557696.0,11.39
1,2022-11-18,-55542693.0,-1.84,-47496917.0,-1.57,-8045776.0,-0.27,11405104.0,0.38,44585696.0,1.48
2,2022-11-21,-44118622.0,-1.93,-37276414.0,-1.63,-6842208.0,-0.3,-82543168.0,-3.61,126296560.0,5.52
3,2022-11-22,-116128631.0,-5.12,-9514727.0,-0.42,-106613904.0,-4.7,364912.0,0.02,115506928.0,5.09
4,2022-11-23,-115759164.0,-5.39,-14233804.0,-0.66,-101525360.0,-4.73,-74571376.0,-3.47,190116608.0,8.85
5,2022-11-24,-35805064.0,-1.66,28678440.0,1.33,-64483504.0,-2.99,-33865472.0,-1.57,69593920.0,3.23
6,2022-11-25,-155477848.0,-7.18,-85035880.0,-3.93,-70441968.0,-3.25,-6000688.0,-0.28,161371808.0,7.45
7,2022-11-28,-136482716.0,-7.01,-64600892.0,-3.32,-71881824.0,-3.69,3833632.0,0.2,132267232.0,6.79
8,2022-11-29,-52496451.0,-2.32,-33996323.0,-1.5,-18500128.0,-0.82,4537216.0,0.2,47955952.0,2.12
9,2022-11-30,-88693608.0,-4.93,-41473752.0,-2.31,-47219856.0,-2.62,29350208.0,1.63,59224384.0,3.29
10,2022-12-01,87518099.0,3.69,73786995.0,3.11,13731104.0,0.58,-21464992.0,-0.91,-66213472.0,-2.79
11,2022-12-02,118924360.0,3.9,231953160.0,7.6,-113028800.0,-3.7,-69626624.0,-2.28,-49450256.0,-1.62
12,2022-12-05,-140504527.0,-3.83,-84249887.0,-2.3,-56254640.0,-1.53,20702544.0,0.56,119665312.0,3.26
13,2022-12-06,-231040096.0,-5.83,-115624496.0,-2.92,-115415600.0,-2.91,1176128.0,0.03,229783872.0,5.8
14,2022-12-07,-143300394.0,-4.31,-74679178.0,-2.24,-68621216.0,-2.06,45024992.0,1.35,98270576.0,2.95
15,2022-12-08,-165649376.0,-6.83,-71197184.0,-2.93,-94452192.0,-3.89,39895360.0,1.64,125858720.0,5.19
16,2022-12-09,-55378861.0,-1.79,26780211.0,0.86,-82159072.0,-2.65,-28631520.0,-0.92,84034144.0,2.71
17,2022-12-12,-136403413.0,-4.33,-28780821.0,-0.91,-107622592.0,-3.42,25020272.0,0.8,111443488.0,3.54
18,2022-12-13,-269459614.0,-9.5,-144022814.0,-5.08,-125436800.0,-4.42,44940336.0,1.59,224630080.0,7.92
19,2022-12-14,100236841.0,3.45,134854153.0,4.64,-34617312.0,-1.19,-62346928.0,-2.14,-37957136.0,-1.31
20,2022-12-15,-220012531.0,-7.68,-47083907.0,-1.64,-172928624.0,-6.04,43462048.0,1.52,176548496.0,6.17
21,2022-12-16,-20751231.0,-0.76,53518273.0,1.97,-74269504.0,-2.74,-40976976.0,-1.51,61878432.0,2.28
22,2022-12-19,-190552663.0,-7.73,-100473255.0,-4.08,-90079408.0,-3.65,-38868528.0,-1.58,229286544.0,9.3
23,2022-12-20,-131470166.0,-7.48,-54672021.0,-3.11,-76798145.0,-4.37,-27419408.0,-1.56,158875392.0,9.04
24,2022-12-21,702255.0,0.03,83937967.0,4.12,-83235712.0,-4.09,-50646912.0,-2.49,49952816.0,2.45
25,2022-12-22,170584348.0,6.4,229907132.0,8.62,-59322784.0,-2.22,-102168048.0,-3.83,-68502336.0,-2.57
26,2022-12-23,265586544.0,7.1,380782672.0,10.18,-115196128.0,-3.08,-162788256.0,-4.35,-102842912.0,-2.75
27,2022-12-26,-477821180.0,-11.07,-346728188.0,-8.04,-131092992.0,-3.04,149529792.0,3.47,328304032.0,7.61
28,2022-12-27,265410976.0,5.91,457745776.0,10.19,-192334800.0,-4.28,-173405664.0,-3.86,-91962976.0,-2.05
