,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-1034401440.0,-6.16,-393871232.0,-2.35,-640530208.0,-3.81,-147117824.0,-0.88,1181600000.0,7.04
1,2022-11-18,-826381040.0,-4.84,-416506768.0,-2.44,-409874272.0,-2.4,381440.0,0.0,825115136.0,4.83
2,2022-11-21,-426584288.0,-2.73,-152747760.0,-0.98,-273836528.0,-1.75,179361792.0,1.15,245034496.0,1.57
3,2022-11-22,-1017348960.0,-6.62,-564209664.0,-3.67,-453139296.0,-2.95,231245824.0,1.5,780696064.0,5.08
4,2022-11-23,11862208.0,0.08,286506112.0,1.85,-274643904.0,-1.77,59874048.0,0.39,-72311040.0,-0.47
5,2022-11-24,126030896.0,0.65,522016976.0,2.69,-395986080.0,-2.04,26490112.0,0.14,-152386560.0,-0.78
6,2022-11-25,-1075563040.0,-6.54,-659413968.0,-4.01,-416149072.0,-2.53,257523968.0,1.57,817701120.0,4.98
7,2022-11-28,-597707952.0,-3.79,-185247632.0,-1.18,-412460320.0,-2.62,109591552.0,0.7,487548416.0,3.09
8,2022-11-29,137540608.0,0.84,95519504.0,0.58,42021104.0,0.26,-63656704.0,-0.39,-74474752.0,-0.45
9,2022-11-30,-786597648.0,-4.52,-277605264.0,-1.59,-508992384.0,-2.92,59237888.0,0.34,726809856.0,4.17
10,2022-12-01,142082000.0,0.73,35834320.0,0.18,106247680.0,0.55,-247277056.0,-1.27,105173248.0,0.54
11,2022-12-02,151152352.0,0.84,257047936.0,1.43,-105895584.0,-0.59,183647232.0,1.02,-336123904.0,-1.87
12,2022-12-05,-863803872.0,-4.63,-620205680.0,-3.33,-243598192.0,-1.31,301093888.0,1.62,561795328.0,3.01
13,2022-12-06,-121534928.0,-0.6,-89882320.0,-0.44,-31652608.0,-0.16,24006912.0,0.12,96062720.0,0.48
14,2022-12-07,-139692720.0,-0.71,-98113200.0,-0.5,-41579520.0,-0.21,-24894720.0,-0.13,162771456.0,0.83
15,2022-12-08,-30191504.0,-0.16,134558544.0,0.71,-164750048.0,-0.87,-91708416.0,-0.49,120222464.0,0.64
16,2022-12-09,-793336096.0,-3.71,-335404320.0,-1.57,-457931776.0,-2.14,503199488.0,2.35,289497856.0,1.35
17,2022-12-12,-966874944.0,-5.45,-494553680.0,-2.79,-472321264.0,-2.66,214336000.0,1.21,751531520.0,4.23
18,2022-12-13,-1085129200.0,-7.13,-470346464.0,-3.09,-614782736.0,-4.04,152126720.0,1.0,933808128.0,6.14
19,2022-12-14,-778831296.0,-5.79,-241648880.0,-1.8,-537182416.0,-3.99,-47887616.0,-0.36,826623488.0,6.14
20,2022-12-15,67620016.0,0.51,63963888.0,0.48,3656128.0,0.03,-130995968.0,-0.99,63525888.0,0.48
21,2022-12-16,-1335713440.0,-9.02,-646197136.0,-4.36,-689516304.0,-4.65,79890944.0,0.54,1255858688.0,8.48
