,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-302809040.0,-0.94,-330421968.0,-1.03,27612928.0,0.09,221937408.0,0.69,75199744.0,0.23
1,2022-11-18,698095376.0,1.62,610093840.0,1.42,88001536.0,0.2,-427553024.0,-0.99,-267437824.0,-0.62
2,2022-11-21,-976051568.0,-2.48,-389574768.0,-0.99,-586476800.0,-1.49,143151616.0,0.36,851782656.0,2.16
3,2022-11-22,-3176449968.0,-8.17,-1395115696.0,-3.59,-1781334272.0,-4.58,352716288.0,0.91,2805045248.0,7.22
4,2022-11-23,-2479768416.0,-8.54,-1294825824.0,-4.46,-1184942592.0,-4.08,-323619072.0,-1.12,2792931328.0,9.62
5,2022-11-24,-490444576.0,-2.16,-99185952.0,-0.44,-391258624.0,-1.72,-27361280.0,-0.12,523205120.0,2.3
6,2022-11-25,-1144988432.0,-5.22,-431199248.0,-1.96,-713789184.0,-3.25,-134920704.0,-0.61,1264904448.0,5.76
7,2022-11-28,-765217280.0,-3.37,-200814336.0,-0.88,-564402944.0,-2.48,278215680.0,1.22,480863488.0,2.12
8,2022-11-29,287194320.0,0.99,458267088.0,1.58,-171072768.0,-0.59,-50480384.0,-0.17,-234562816.0,-0.81
9,2022-11-30,-1129535008.0,-4.12,-618710816.0,-2.25,-510824192.0,-1.86,444695040.0,1.62,670903808.0,2.44
10,2022-12-01,-966634016.0,-3.14,-689065760.0,-2.24,-277568256.0,-0.9,-92614400.0,-0.3,1038919424.0,3.38
11,2022-12-02,-369020752.0,-1.7,-105659472.0,-0.49,-263361280.0,-1.21,-149702400.0,-0.69,512285696.0,2.36
12,2022-12-05,-709854432.0,-2.29,-140767200.0,-0.45,-569087232.0,-1.83,547071232.0,1.76,158311424.0,0.51
13,2022-12-06,-2355795232.0,-7.81,-1341907232.0,-4.45,-1013888000.0,-3.36,-78840064.0,-0.26,2424658432.0,8.04
14,2022-12-07,1767702208.0,4.68,1500109248.0,3.97,267592960.0,0.71,-524406528.0,-1.39,-1234734336.0,-3.27
15,2022-12-08,-1323777536.0,-2.9,-556602880.0,-1.22,-767174656.0,-1.68,125730560.0,0.28,1193211648.0,2.61
16,2022-12-09,-1117671936.0,-2.67,-694587648.0,-1.66,-423084288.0,-1.01,293743104.0,0.7,829086208.0,1.98
17,2022-12-12,548543088.0,1.14,586951536.0,1.22,-38408448.0,-0.08,-38480128.0,-0.08,-485244416.0,-1.01
18,2022-12-13,-1403524608.0,-2.87,-362734080.0,-0.74,-1040790528.0,-2.12,444058112.0,0.91,950057984.0,1.94
19,2022-12-14,-2336852480.0,-4.79,-1056688896.0,-2.17,-1280163584.0,-2.63,-11833088.0,-0.02,2347318784.0,4.82
20,2022-12-15,-1835481968.0,-5.13,-1135221104.0,-3.17,-700260864.0,-1.96,130739712.0,0.37,1703469056.0,4.76
21,2022-12-16,1451063552.0,2.76,1596307712.0,3.04,-145244160.0,-0.28,-353314048.0,-0.67,-1067498496.0,-2.03
22,2022-12-19,-5153414016.0,-11.02,-3332076160.0,-7.13,-1821337856.0,-3.9,1048413952.0,2.24,4070495744.0,8.71
23,2022-12-20,-2244526384.0,-6.98,-1198742064.0,-3.73,-1045784320.0,-3.25,-184597760.0,-0.57,2415942144.0,7.52
24,2022-12-21,-1212433520.0,-4.14,-668696688.0,-2.28,-543736832.0,-1.85,532234240.0,1.82,679135232.0,2.32
25,2022-12-22,-1916712112.0,-6.23,-756410288.0,-2.46,-1160301824.0,-3.77,5969664.0,0.02,1900691200.0,6.18
26,2022-12-23,-1350857408.0,-5.36,-561679808.0,-2.23,-789177600.0,-3.13,109092608.0,0.43,1240069376.0,4.92
27,2022-12-26,-1096942064.0,-4.2,-332799216.0,-1.27,-764142848.0,-2.92,12302592.0,0.05,1078241024.0,4.13
28,2022-12-27,-2674403792.0,-9.83,-1073949648.0,-3.95,-1600454144.0,-5.88,30933248.0,0.11,2638259968.0,9.7
29,2022-12-28,99940544.0,0.43,376602304.0,1.62,-276661760.0,-1.19,-275343360.0,-1.18,177492992.0,0.76
30,2022-12-29,516646512.0,1.84,229138288.0,0.81,287508224.0,1.02,-79694592.0,-0.28,-438533376.0,-1.56
31,2022-12-30,-1076471824.0,-4.87,-505483280.0,-2.29,-570988544.0,-2.58,-475785984.0,-2.15,1548573184.0,7.01
32,2023-01-03,-327053184.0,-1.2,-87678848.0,-0.32,-239374336.0,-0.88,194211328.0,0.71,132824320.0,0.49
33,2023-01-04,-531302896.0,-2.06,-180366832.0,-0.7,-350936064.0,-1.36,-149121536.0,-0.58,681642752.0,2.64
34,2023-01-05,204359744.0,0.8,108240448.0,0.42,96119296.0,0.38,-112044544.0,-0.44,-94067200.0,-0.37
35,2023-01-06,-820991360.0,-4.0,-323817376.0,-1.58,-497173984.0,-2.42,151901184.0,0.74,666517760.0,3.25
36,2023-01-09,-256557728.0,-1.13,-170296224.0,-0.75,-86261504.0,-0.38,-150446592.0,-0.66,408549120.0,1.8
37,2023-01-10,-161368880.0,-0.72,100976080.0,0.45,-262344960.0,-1.16,351141632.0,1.56,-191457024.0,-0.85
38,2023-01-11,-692046512.0,-2.91,-368652464.0,-1.55,-323394048.0,-1.36,161038848.0,0.68,533194240.0,2.24
39,2023-01-12,-1118614336.0,-5.36,-549401664.0,-2.63,-569212672.0,-2.73,-175731456.0,-0.84,1291205888.0,6.19
40,2023-01-13,303336960.0,1.47,318883072.0,1.55,-15546112.0,-0.08,29845248.0,0.14,-333018624.0,-1.62
41,2023-01-16,597162848.0,1.84,875781472.0,2.69,-278618624.0,-0.86,-398312704.0,-1.22,-197675520.0,-0.61
42,2023-01-17,-1776054224.0,-8.29,-929526992.0,-4.34,-846527232.0,-3.95,-4259584.0,-0.02,1776526080.0,8.3
43,2023-01-18,-527239328.0,-3.4,-243633856.0,-1.57,-283605472.0,-1.83,-259398656.0,-1.67,787106560.0,5.08
44,2023-01-19,415491728.0,1.84,419498128.0,1.85,-4006400.0,-0.02,-206169856.0,-0.91,-210765056.0,-0.93
45,2023-01-20,-260174512.0,-1.51,-172523728.0,-1.0,-87650784.0,-0.51,-78962176.0,-0.46,341034240.0,1.98
46,2023-01-30,-1559230688.0,-6.29,-779319008.0,-3.14,-779911680.0,-3.15,146431744.0,0.59,1401937152.0,5.66
47,2023-01-31,-1448127392.0,-7.56,-794039520.0,-4.14,-654087872.0,-3.41,149155584.0,0.78,1308601856.0,6.83
48,2023-02-01,-299633360.0,-1.5,-139727056.0,-0.7,-159906304.0,-0.8,134589184.0,0.68,162644992.0,0.82
49,2023-02-02,-48861488.0,-0.2,-34398768.0,-0.14,-14462720.0,-0.06,308521728.0,1.29,-265044224.0,-1.11
50,2023-02-03,-655188512.0,-3.33,-422810144.0,-2.15,-232378368.0,-1.18,-4277760.0,-0.02,655874048.0,3.33
51,2023-02-06,-899803184.0,-5.14,-418826672.0,-2.39,-480976512.0,-2.75,-113402880.0,-0.65,1008536576.0,5.76
52,2023-02-07,-1035151872.0,-6.73,-515241648.0,-3.35,-519910224.0,-3.38,221191168.0,1.44,811010304.0,5.27
53,2023-02-08,3199984.0,0.02,-115051472.0,-0.75,118251456.0,0.77,155136768.0,1.01,-156052736.0,-1.01
54,2023-02-09,-362015456.0,-2.15,126181120.0,0.75,-488196576.0,-2.91,-345803264.0,-2.06,702244608.0,4.18
