,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-649881097.0,-9.65,-406627513.0,-6.04,-243253584.0,-3.61,70093888.0,1.04,563226000.0,8.37
1,2022-11-18,-489089808.0,-6.83,-249269280.0,-3.48,-239820528.0,-3.35,43792496.0,0.61,428372912.0,5.98
2,2022-11-21,-184683492.0,-2.86,-52266516.0,-0.81,-132416976.0,-2.05,76954176.0,1.19,107768096.0,1.67
3,2022-11-22,-391407901.0,-6.2,-183149197.0,-2.9,-208258704.0,-3.3,118961104.0,1.88,257495360.0,4.08
4,2022-11-23,18437360.0,0.25,116644912.0,1.57,-98207552.0,-1.33,-28164240.0,-0.38,21208544.0,0.29
5,2022-11-24,235405040.0,2.42,306383760.0,3.15,-70978720.0,-0.73,-26532704.0,-0.27,-211187264.0,-2.17
6,2022-11-25,-254854464.0,-2.71,-151568096.0,-1.61,-103286368.0,-1.1,27270816.0,0.29,221541696.0,2.36
7,2022-11-28,-399165136.0,-4.92,-78757744.0,-0.97,-320407392.0,-3.95,194001504.0,2.39,201386096.0,2.48
8,2022-11-29,130255536.0,1.34,132697056.0,1.37,-2441520.0,-0.03,-116962608.0,-1.21,-9311360.0,-0.1
9,2022-11-30,-144653936.0,-1.71,-84380176.0,-1.0,-60273760.0,-0.71,-11067696.0,-0.13,156023536.0,1.84
10,2022-12-01,70632032.0,0.79,73367232.0,0.82,-2735200.0,-0.03,-155753040.0,-1.73,76185904.0,0.85
11,2022-12-02,-390174048.0,-5.46,-175097456.0,-2.45,-215076592.0,-3.01,-14274848.0,-0.2,400599952.0,5.61
12,2022-12-05,52388032.0,0.53,28304912.0,0.29,24083120.0,0.25,28987408.0,0.3,-90215280.0,-0.92
13,2022-12-06,-123579424.0,-1.32,-45488000.0,-0.49,-78091424.0,-0.84,-159082448.0,-1.7,280804384.0,3.01
14,2022-12-07,-647077088.0,-6.74,-360411968.0,-3.75,-286665120.0,-2.99,-19297008.0,-0.2,637790592.0,6.64
15,2022-12-08,23599648.0,0.25,124036096.0,1.29,-100436448.0,-1.05,-104704240.0,-1.09,54733040.0,0.57
16,2022-12-09,507351120.0,3.74,546368368.0,4.02,-39017248.0,-0.29,-38647296.0,-0.28,-471602672.0,-3.47
17,2022-12-12,-1049296944.0,-9.4,-475576864.0,-4.26,-573720080.0,-5.14,265555888.0,2.38,793743232.0,7.11
18,2022-12-13,-407816752.0,-5.29,-199648864.0,-2.59,-208167888.0,-2.7,2006624.0,0.03,395742048.0,5.14
19,2022-12-14,-376418875.0,-5.85,-145331179.0,-2.26,-231087696.0,-3.59,62167040.0,0.97,316542480.0,4.92
20,2022-12-15,-232512565.0,-3.94,-75474773.0,-1.28,-157037792.0,-2.66,40687968.0,0.69,183184688.0,3.1
21,2022-12-16,-195831920.0,-2.44,-99103200.0,-1.24,-96728720.0,-1.21,37305056.0,0.47,153093696.0,1.91
22,2022-12-19,-663467056.0,-8.91,-249392448.0,-3.35,-414074608.0,-5.56,88030288.0,1.18,558786864.0,7.5
23,2022-12-20,-284989554.0,-5.51,-152018930.0,-2.94,-132970624.0,-2.57,-47304288.0,-0.91,335837792.0,6.49
24,2022-12-21,-198161024.0,-3.34,-21533680.0,-0.36,-176627344.0,-2.98,76148608.0,1.28,113734880.0,1.92
