,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-77902173.0,-2.39,-81279709.0,-2.49,3377536.0,0.1,-14301040.0,-0.44,91317920.0,2.8
1,2022-11-18,-158903932.0,-4.49,15418500.0,0.44,-174322432.0,-4.93,118867584.0,3.36,43897536.0,1.24
2,2022-11-21,-131200786.0,-4.05,-44216034.0,-1.37,-86984752.0,-2.69,1420608.0,0.04,129631904.0,4.01
3,2022-11-22,-237746557.0,-7.87,-118039213.0,-3.91,-119707344.0,-3.96,105713088.0,3.5,128383488.0,4.25
4,2022-11-23,-232368022.0,-7.32,-177899718.0,-5.61,-54468304.0,-1.72,136239168.0,4.29,108958592.0,3.43
5,2022-11-24,-70680222.0,-2.42,16292082.0,0.56,-86972304.0,-2.98,29520608.0,1.01,49876864.0,1.71
6,2022-11-25,-116251579.0,-4.12,-21904747.0,-0.78,-94346832.0,-3.34,63096528.0,2.23,47948480.0,1.7
7,2022-11-28,-165265258.0,-4.92,-63811050.0,-1.9,-101454208.0,-3.02,6833856.0,0.2,154177808.0,4.59
8,2022-11-29,-54085088.0,-1.42,-29486368.0,-0.77,-24598720.0,-0.65,3685840.0,0.1,61826176.0,1.62
9,2022-11-30,-76812747.0,-2.16,-81695691.0,-2.3,4882944.0,0.14,28471392.0,0.8,49840688.0,1.4
10,2022-12-01,-54244000.0,-1.21,-24669328.0,-0.55,-29574672.0,-0.66,-1832752.0,-0.04,50761024.0,1.14
11,2022-12-02,-20451520.0,-0.52,39752256.0,1.01,-60203776.0,-1.53,-72365184.0,-1.84,91426176.0,2.32
12,2022-12-05,-47379680.0,-1.04,-72809776.0,-1.59,25430096.0,0.56,20519312.0,0.45,19029968.0,0.42
13,2022-12-06,-63612173.0,-1.87,-80929069.0,-2.38,17316896.0,0.51,-67084384.0,-1.98,126706896.0,3.73
14,2022-12-07,-240044608.0,-6.28,-181652624.0,-4.75,-58391984.0,-1.53,101612000.0,2.66,126390112.0,3.3
