,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-503790336.0,-8.27,-252466736.0,-4.15,-251323600.0,-4.13,4220304.0,0.07,499570016.0,8.2
1,2022-11-18,-492065216.0,-8.77,-360695856.0,-6.43,-131369360.0,-2.34,84646336.0,1.51,407418880.0,7.27
2,2022-11-21,84031616.0,1.58,59781824.0,1.13,24249792.0,0.46,57194208.0,1.08,-141225808.0,-2.66
3,2022-11-22,-203820656.0,-3.9,-92678624.0,-1.77,-111142032.0,-2.13,76929456.0,1.47,126891200.0,2.43
4,2022-11-23,93470464.0,2.17,29392000.0,0.68,64078464.0,1.49,2825088.0,0.07,-96295568.0,-2.24
5,2022-11-24,197443296.0,3.51,186076608.0,3.31,11366688.0,0.2,-62179280.0,-1.11,-135264048.0,-2.4
6,2022-11-25,-408216043.0,-8.98,-313943339.0,-6.91,-94272704.0,-2.07,78660688.0,1.73,329555360.0,7.25
7,2022-11-28,-170459803.0,-4.77,-110343163.0,-3.09,-60116640.0,-1.68,-3070064.0,-0.09,173529856.0,4.85
8,2022-11-29,18834212.0,0.5,68635300.0,1.81,-49801088.0,-1.31,-65900768.0,-1.73,47066544.0,1.24
9,2022-11-30,-41846864.0,-0.77,58520080.0,1.08,-100366944.0,-1.86,33030992.0,0.61,8815872.0,0.16
10,2022-12-01,-7450048.0,-0.15,84202128.0,1.68,-91652176.0,-1.83,-67270160.0,-1.34,74720208.0,1.49
11,2022-12-02,-79128176.0,-1.81,-57324512.0,-1.31,-21803664.0,-0.5,-139744320.0,-3.19,218872496.0,4.99
12,2022-12-05,50439904.0,1.01,77873680.0,1.56,-27433776.0,-0.55,-107147152.0,-2.15,56707264.0,1.14
13,2022-12-06,647383344.0,6.85,512297376.0,5.42,135085968.0,1.43,-166911248.0,-1.76,-480472096.0,-5.08
14,2022-12-07,-179435168.0,-2.25,-112228112.0,-1.41,-67207056.0,-0.84,19768912.0,0.25,159666256.0,2.0
15,2022-12-08,292481200.0,3.01,369753744.0,3.81,-77272544.0,-0.8,-136403424.0,-1.4,-156077776.0,-1.61
16,2022-12-09,-55690880.0,-0.75,-72729120.0,-0.98,17038240.0,0.23,13113936.0,0.18,42576944.0,0.58
17,2022-12-12,-471198032.0,-7.56,-210110768.0,-3.37,-261087264.0,-4.19,-4405712.0,-0.07,475603744.0,7.63
