,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-366479216.0,-1.61,-147639920.0,-0.65,-218839296.0,-0.96,62254848.0,0.27,303601920.0,1.33
1,2022-11-18,141899296.0,0.41,256870944.0,0.73,-114971648.0,-0.33,136291840.0,0.39,-275044608.0,-0.79
2,2022-11-21,615291792.0,1.88,1348749456.0,4.11,-733457664.0,-2.24,-439261184.0,-1.34,-174379776.0,-0.53
3,2022-11-22,-4032242288.0,-11.98,-2294623600.0,-6.82,-1737618688.0,-5.16,933022464.0,2.77,3093936640.0,9.2
4,2022-11-23,-853945392.0,-3.46,-540876080.0,-2.19,-313069312.0,-1.27,-222678272.0,-0.9,1074492672.0,4.35
5,2022-11-24,817996592.0,3.7,908319536.0,4.11,-90322944.0,-0.41,-333318912.0,-1.51,-484558080.0,-2.19
6,2022-11-25,-2142874832.0,-10.09,-1303812304.0,-6.14,-839062528.0,-3.95,743102464.0,3.5,1399285248.0,6.59
7,2022-11-28,-419807616.0,-1.95,-130043776.0,-0.61,-289763840.0,-1.35,-47076608.0,-0.22,466462720.0,2.17
8,2022-11-29,223026816.0,0.61,265721728.0,0.72,-42694912.0,-0.12,168368128.0,0.46,-391726848.0,-1.07
9,2022-11-30,-1520780368.0,-5.07,-604809296.0,-2.02,-915971072.0,-3.06,295186176.0,0.98,1225068800.0,4.09
10,2022-12-01,-1558196704.0,-4.85,-1135837664.0,-3.54,-422359040.0,-1.32,470807808.0,1.47,1086491392.0,3.38
11,2022-12-02,373350224.0,1.5,233512784.0,0.94,139837440.0,0.56,-47031808.0,-0.19,-333102336.0,-1.33
12,2022-12-05,-1813938656.0,-6.46,-974814944.0,-3.47,-839123712.0,-2.99,740866816.0,2.64,1059052288.0,3.77
