,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-249701664.0,-1.94,-17038768.0,-0.13,-232662896.0,-1.81,-38070784.0,-0.3,287772256.0,2.24
1,2022-11-18,231980720.0,1.65,218357728.0,1.55,13622992.0,0.1,-223384832.0,-1.59,-8595712.0,-0.06
2,2022-11-21,-970872000.0,-8.16,-427061408.0,-3.59,-543810592.0,-4.57,83827552.0,0.7,887044448.0,7.46
3,2022-11-22,-1005564816.0,-9.14,-470288288.0,-4.27,-535276528.0,-4.86,85844816.0,0.78,919720000.0,8.36
4,2022-11-23,-1042078496.0,-9.66,-437571744.0,-4.05,-604506752.0,-5.6,8561184.0,0.08,1033517312.0,9.58
5,2022-11-24,-171733936.0,-2.45,-101114240.0,-1.44,-70619696.0,-1.01,127302544.0,1.82,44431392.0,0.63
6,2022-11-25,-272766528.0,-4.21,-97398736.0,-1.5,-175367792.0,-2.71,63694656.0,0.98,209071872.0,3.23
7,2022-11-28,-758494480.0,-6.66,-447334624.0,-3.93,-311159856.0,-2.73,42522240.0,0.37,715972224.0,6.28
8,2022-11-29,545287488.0,4.35,375160368.0,3.0,170127120.0,1.36,-89501440.0,-0.71,-455785952.0,-3.64
9,2022-11-30,-350710048.0,-4.31,-172484672.0,-2.12,-178225376.0,-2.19,43502432.0,0.53,307207600.0,3.78
10,2022-12-01,469490896.0,3.85,286782288.0,2.35,182708608.0,1.5,-255694032.0,-2.09,-213796784.0,-1.75
11,2022-12-02,-398224720.0,-4.81,-275183344.0,-3.32,-123041376.0,-1.49,-24806336.0,-0.3,423031088.0,5.11
12,2022-12-05,87754624.0,0.86,34906128.0,0.34,52848496.0,0.52,-85234896.0,-0.84,-2519712.0,-0.02
13,2022-12-06,-451493408.0,-4.36,-104918464.0,-1.01,-346574944.0,-3.34,117653952.0,1.14,333839456.0,3.22
14,2022-12-07,39326688.0,0.42,24953360.0,0.26,14373328.0,0.15,-142588768.0,-1.51,103262080.0,1.09
15,2022-12-08,-126627312.0,-1.49,-129491472.0,-1.53,2864160.0,0.03,-135006048.0,-1.59,261633344.0,3.09
16,2022-12-09,-20441936.0,-0.2,80314816.0,0.77,-100756752.0,-0.97,-119223424.0,-1.15,139665360.0,1.34
17,2022-12-12,-376362992.0,-4.01,-124384720.0,-1.33,-251978272.0,-2.69,174567696.0,1.86,201795312.0,2.15
18,2022-12-13,-519750704.0,-6.51,-285716192.0,-3.58,-234034512.0,-2.93,38493840.0,0.48,481256848.0,6.03
19,2022-12-14,-9904176.0,-0.12,-1545824.0,-0.02,-8358352.0,-0.1,-185093728.0,-2.16,194997888.0,2.27
20,2022-12-15,-259919680.0,-3.41,-150824816.0,-1.98,-109094864.0,-1.43,116961056.0,1.53,142958624.0,1.88
21,2022-12-16,-146844480.0,-2.03,-80249632.0,-1.11,-66594848.0,-0.92,-30057872.0,-0.42,176902352.0,2.45
22,2022-12-19,-595268496.0,-7.81,-129267248.0,-1.7,-466001248.0,-6.11,153548960.0,2.01,441719520.0,5.79
23,2022-12-20,-300883280.0,-4.71,-130505696.0,-2.04,-170377584.0,-2.67,-55193056.0,-0.86,356076320.0,5.58
24,2022-12-21,-57049968.0,-1.13,-6133424.0,-0.12,-50916544.0,-1.01,146582352.0,2.92,-89532400.0,-1.78
25,2022-12-22,443661008.0,4.89,225808560.0,2.49,217852448.0,2.4,56060672.0,0.62,-499721696.0,-5.51
26,2022-12-23,76175520.0,0.99,43004064.0,0.56,33171456.0,0.43,121819328.0,1.59,-197994848.0,-2.58
27,2022-12-26,140896896.0,2.41,7048624.0,0.12,133848272.0,2.29,-51910208.0,-0.89,-88986704.0,-1.52
28,2022-12-27,843404912.0,8.46,540890512.0,5.42,302514400.0,3.03,-177280784.0,-1.78,-666124112.0,-6.68
29,2022-12-28,215745360.0,2.16,88235760.0,0.88,127509600.0,1.28,46740544.0,0.47,-262485904.0,-2.63
30,2022-12-29,277732544.0,2.46,28547296.0,0.25,249185248.0,2.2,17362720.0,0.15,-295095264.0,-2.61
31,2022-12-30,246676128.0,2.89,28526832.0,0.33,218149296.0,2.56,-155940688.0,-1.83,-90735440.0,-1.06
32,2023-01-03,-231330176.0,-2.27,-67515456.0,-0.66,-163814720.0,-1.61,-73611248.0,-0.72,304941392.0,2.99
33,2023-01-04,-117435824.0,-1.25,-102650880.0,-1.09,-14784944.0,-0.16,210746288.0,2.24,-93310448.0,-0.99
34,2023-01-05,1041201344.0,7.05,560452208.0,3.8,480749136.0,3.26,-352832256.0,-2.39,-688369184.0,-4.66
35,2023-01-06,-67723776.0,-0.71,-30630160.0,-0.32,-37093616.0,-0.39,-284082768.0,-2.96,351806560.0,3.66
36,2023-01-09,165177744.0,1.75,209681088.0,2.23,-44503344.0,-0.47,-52337680.0,-0.56,-112840064.0,-1.2
37,2023-01-10,319999536.0,3.75,290408384.0,3.4,29591152.0,0.35,-80682800.0,-0.94,-239316720.0,-2.8
38,2023-01-11,114149984.0,1.27,113788592.0,1.26,361392.0,0.0,-28712720.0,-0.32,-85437264.0,-0.95
39,2023-01-12,-285746928.0,-3.05,20028336.0,0.21,-305775264.0,-3.27,133300080.0,1.42,152446848.0,1.63
40,2023-01-13,566942768.0,4.42,388802512.0,3.03,178140256.0,1.39,-126552320.0,-0.99,-440390400.0,-3.43
41,2023-01-16,1156334224.0,6.02,481043600.0,2.51,675290624.0,3.52,-922039552.0,-4.8,-234294784.0,-1.22
42,2023-01-17,-284396480.0,-2.2,-217425504.0,-1.68,-66970976.0,-0.52,120761344.0,0.93,163635312.0,1.26
43,2023-01-18,-153589776.0,-1.87,-285600.0,-0.0,-153304176.0,-1.87,-196978624.0,-2.4,350568384.0,4.28
44,2023-01-19,539787488.0,4.19,295635024.0,2.3,244152464.0,1.9,-139372544.0,-1.08,-400414976.0,-3.11
45,2023-01-20,-18357648.0,-0.2,-211680032.0,-2.28,193322384.0,2.08,67864176.0,0.73,-49506528.0,-0.53
46,2023-01-30,-545294640.0,-4.87,-197712832.0,-1.77,-347581808.0,-3.11,58160384.0,0.52,487134256.0,4.35
47,2023-01-31,-989518848.0,-7.12,-518833328.0,-3.74,-470685520.0,-3.39,-173681152.0,-1.25,1163200080.0,8.37
48,2023-02-01,119427392.0,0.99,111384768.0,0.93,8042624.0,0.07,-100538704.0,-0.84,-18888672.0,-0.16
49,2023-02-02,220736416.0,1.9,75972976.0,0.65,144763440.0,1.25,32810016.0,0.28,-253546432.0,-2.18
50,2023-02-03,-381382784.0,-4.46,-266132640.0,-3.11,-115250144.0,-1.35,196732288.0,2.3,184650480.0,2.16
51,2023-02-06,-788131120.0,-6.91,-571655696.0,-5.01,-216475424.0,-1.9,18100272.0,0.16,770030848.0,6.75
52,2023-02-07,-308676656.0,-3.75,-115028720.0,-1.4,-193647936.0,-2.35,154211616.0,1.87,154465040.0,1.88
53,2023-02-08,-163982304.0,-2.06,-148811392.0,-1.87,-15170912.0,-0.19,206840608.0,2.6,-42858304.0,-0.54
54,2023-02-09,-150938432.0,-1.93,-110062272.0,-1.41,-40876160.0,-0.52,72321424.0,0.92,78616992.0,1.0
55,2023-02-10,-349499840.0,-3.68,-162036720.0,-1.71,-187463120.0,-1.97,-84473104.0,-0.89,433972928.0,4.57
56,2023-02-13,-77669616.0,-0.67,-120879552.0,-1.04,43209936.0,0.37,-61486464.0,-0.53,139156080.0,1.2
57,2023-02-14,-133482288.0,-1.44,-184072928.0,-1.99,50590640.0,0.55,28373408.0,0.31,105108880.0,1.14
58,2023-02-15,-796493024.0,-7.41,-532239920.0,-4.95,-264253104.0,-2.46,-15728816.0,-0.15,812221856.0,7.55
59,2023-02-16,-393224192.0,-3.72,-255932672.0,-2.42,-137291520.0,-1.3,90965792.0,0.86,302258384.0,2.86
60,2023-02-17,-147531232.0,-1.85,-137241056.0,-1.72,-10290176.0,-0.13,54514272.0,0.68,93016960.0,1.17
61,2023-02-20,83995712.0,0.96,-34660192.0,-0.4,118655904.0,1.36,88917712.0,1.02,-172913408.0,-1.98
62,2023-02-21,-515111312.0,-6.43,-309559984.0,-3.86,-205551328.0,-2.56,63296560.0,0.79,451814768.0,5.64
63,2023-02-22,-361760064.0,-4.8,-294863888.0,-3.91,-66896176.0,-0.89,18835088.0,0.25,342924960.0,4.55
64,2023-02-23,-271386560.0,-3.22,-236597840.0,-2.81,-34788720.0,-0.41,184571360.0,2.19,86815168.0,1.03
65,2023-02-24,-613488240.0,-8.58,-182584112.0,-2.55,-430904128.0,-6.03,-79407728.0,-1.11,692895968.0,9.69
66,2023-02-27,-357800768.0,-4.21,-263741120.0,-3.1,-94059648.0,-1.11,-11362400.0,-0.13,369163184.0,4.35
67,2023-02-28,-144946304.0,-1.81,-18783920.0,-0.23,-126162384.0,-1.58,100110976.0,1.25,44835312.0,0.56
68,2023-03-01,-160747808.0,-1.61,-103458656.0,-1.04,-57289152.0,-0.57,-65001504.0,-0.65,225749312.0,2.26
69,2023-03-02,-187326112.0,-2.68,-258855536.0,-3.7,71529424.0,1.02,15321984.0,0.22,172004112.0,2.46
70,2023-03-03,-93139696.0,-1.16,-215628256.0,-2.69,122488560.0,1.53,191859568.0,2.39,-98719872.0,-1.23
71,2023-03-06,-500630320.0,-4.86,-324729488.0,-3.15,-175900832.0,-1.71,248792240.0,2.41,251838080.0,2.44
72,2023-03-07,-220374912.0,-2.22,-132018144.0,-1.33,-88356768.0,-0.89,-38699312.0,-0.39,259074224.0,2.61
73,2023-03-08,-479700848.0,-5.89,-194297968.0,-2.39,-285402880.0,-3.51,-66784880.0,-0.82,546485728.0,6.71
74,2023-03-09,-227178336.0,-2.91,-83721536.0,-1.07,-143456800.0,-1.84,-84976512.0,-1.09,312154848.0,4.0
75,2023-03-10,-31447248.0,-0.34,56069360.0,0.6,-87516608.0,-0.94,62219264.0,0.67,-30772016.0,-0.33
