,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,476250832.0,4.83,274182608.0,2.78,202068224.0,2.05,-58924384.0,-0.6,-417326448.0,-4.23
1,2022-11-18,640350944.0,5.36,883444272.0,7.39,-243093328.0,-2.03,-299100848.0,-2.5,-341250112.0,-2.85
2,2022-11-21,-730197488.0,-6.13,-511317008.0,-4.29,-218880480.0,-1.84,84577184.0,0.71,645620304.0,5.42
3,2022-11-22,-968455808.0,-9.07,-563817632.0,-5.28,-404638176.0,-3.79,37645952.0,0.35,930809856.0,8.72
4,2022-11-23,-728162864.0,-8.86,-446889648.0,-5.44,-281273216.0,-3.42,-177314896.0,-2.16,905477744.0,11.02
5,2022-11-24,55713248.0,0.77,97562720.0,1.34,-41849472.0,-0.58,-101783120.0,-1.4,46069872.0,0.63
6,2022-11-25,-417876487.0,-7.98,-272167287.0,-5.2,-145709200.0,-2.78,-26029488.0,-0.5,443905968.0,8.48
7,2022-11-28,30748768.0,0.45,152656384.0,2.25,-121907616.0,-1.8,15081808.0,0.22,-45830576.0,-0.67
8,2022-11-29,495719808.0,5.32,307516736.0,3.3,188203072.0,2.02,-141336160.0,-1.52,-354383632.0,-3.8
9,2022-11-30,-448209760.0,-5.44,-272084544.0,-3.3,-176125216.0,-2.14,178928576.0,2.17,269281184.0,3.27
10,2022-12-01,-95216144.0,-0.97,-69791056.0,-0.71,-25425088.0,-0.26,-42135696.0,-0.43,137351856.0,1.41
11,2022-12-02,286656128.0,3.47,167901568.0,2.03,118754560.0,1.44,-125778672.0,-1.52,-160877456.0,-1.95
12,2022-12-05,-67217536.0,-0.48,-9213440.0,-0.07,-58004096.0,-0.41,173006848.0,1.23,-105789248.0,-0.75
13,2022-12-06,-834336592.0,-7.28,-550766176.0,-4.8,-283570416.0,-2.47,106752256.0,0.93,727584336.0,6.34
14,2022-12-07,75433232.0,0.76,38950016.0,0.39,36483216.0,0.37,-49592432.0,-0.5,-25840768.0,-0.26
15,2022-12-08,-131392576.0,-1.12,-86199776.0,-0.73,-45192800.0,-0.39,52098624.0,0.44,79293952.0,0.68
16,2022-12-09,-357480656.0,-3.87,-183882496.0,-1.99,-173598160.0,-1.88,102247152.0,1.11,255233504.0,2.76
17,2022-12-12,358020016.0,3.11,275609648.0,2.39,82410368.0,0.71,34039504.0,0.3,-392059520.0,-3.4
18,2022-12-13,-374407328.0,-3.79,-161173120.0,-1.63,-213234208.0,-2.16,21291264.0,0.22,353116080.0,3.58
19,2022-12-14,-1011666016.0,-10.79,-471867728.0,-5.03,-539798288.0,-5.76,-67606000.0,-0.72,1079272032.0,11.51
20,2022-12-15,878815760.0,10.84,957708896.0,11.82,-78893136.0,-0.97,-593568656.0,-7.32,-285247104.0,-3.52
21,2022-12-16,-309260768.0,-3.76,-191007488.0,-2.32,-118253280.0,-1.44,104059552.0,1.27,205201232.0,2.5
22,2022-12-19,-951575360.0,-6.63,-530918880.0,-3.7,-420656480.0,-2.93,96931072.0,0.68,854644352.0,5.95
23,2022-12-20,-994166240.0,-11.17,-722463136.0,-8.12,-271703104.0,-3.05,149542864.0,1.68,844623376.0,9.49
24,2022-12-21,-256000480.0,-3.15,-98770128.0,-1.22,-157230352.0,-1.94,72815440.0,0.9,183185056.0,2.26
25,2022-12-22,-474810464.0,-7.27,-230168768.0,-3.52,-244641696.0,-3.74,-46362304.0,-0.71,521172768.0,7.98
26,2022-12-23,-368838992.0,-7.25,-254155808.0,-5.0,-114683184.0,-2.25,40044112.0,0.79,328794880.0,6.46
27,2022-12-26,456158160.0,6.71,564675648.0,8.3,-108517488.0,-1.6,-305647520.0,-4.49,-150510624.0,-2.21
28,2022-12-27,-700503536.0,-10.01,-544415328.0,-7.78,-156088208.0,-2.23,6942576.0,0.1,693560960.0,9.91
29,2022-12-28,-163886240.0,-3.04,-215278800.0,-4.0,51392560.0,0.95,28755936.0,0.53,135130320.0,2.51
30,2022-12-29,-25224464.0,-0.4,-22596928.0,-0.36,-2627536.0,-0.04,43380976.0,0.68,-18156528.0,-0.29
31,2022-12-30,-352796768.0,-6.38,-146705632.0,-2.65,-206091136.0,-3.73,-46793952.0,-0.85,399590720.0,7.23
32,2023-01-03,56613712.0,0.94,76380272.0,1.27,-19766560.0,-0.33,-20875856.0,-0.35,-35737840.0,-0.59
33,2023-01-04,-163999744.0,-3.34,-151383744.0,-3.09,-12616000.0,-0.26,31062496.0,0.63,132937232.0,2.71
34,2023-01-05,-85351552.0,-2.05,32341072.0,0.78,-117692624.0,-2.82,-48255472.0,-1.16,133607040.0,3.2
35,2023-01-06,-92607297.0,-2.64,-72319121.0,-2.06,-20288176.0,-0.58,-56795520.0,-1.62,149402800.0,4.26
36,2023-01-09,-179690796.0,-5.19,-103784348.0,-3.0,-75906448.0,-2.19,-49155584.0,-1.42,228846368.0,6.61
37,2023-01-10,-221278913.0,-6.6,-73686305.0,-2.2,-147592608.0,-4.4,49114768.0,1.46,172164144.0,5.13
38,2023-01-11,-154374574.0,-4.52,-78486190.0,-2.3,-75888384.0,-2.22,-11330896.0,-0.33,165705456.0,4.86
39,2023-01-12,-157093006.0,-4.63,-65748862.0,-1.94,-91344144.0,-2.69,-599552.0,-0.02,157692560.0,4.64
40,2023-01-13,-112777891.0,-3.61,-64718691.0,-2.07,-48059200.0,-1.54,-4924816.0,-0.16,117702736.0,3.76
41,2023-01-16,-186293120.0,-4.05,-36352592.0,-0.79,-149940528.0,-3.26,-45147088.0,-0.98,231440208.0,5.04
42,2023-01-17,-218325641.0,-7.57,-106838041.0,-3.71,-111487600.0,-3.87,-33524704.0,-1.16,251850352.0,8.74
43,2023-01-18,-54023913.0,-2.41,-36279737.0,-1.62,-17744176.0,-0.79,-95859872.0,-4.28,149883760.0,6.69
44,2023-01-19,-59622688.0,-2.06,-67183760.0,-2.32,7561072.0,0.26,-171014720.0,-5.91,230637408.0,7.97
45,2023-01-20,35048225.0,1.14,13110273.0,0.43,21937952.0,0.71,-102034416.0,-3.32,66986176.0,2.18
46,2023-01-30,-243132051.0,-5.62,-79150851.0,-1.83,-163981200.0,-3.79,-48527472.0,-1.12,291659504.0,6.75
47,2023-01-31,-145556323.0,-4.32,-42924435.0,-1.27,-102631888.0,-3.05,3284816.0,0.1,142271520.0,4.22
48,2023-02-01,-35943892.0,-0.86,82838220.0,1.98,-118782112.0,-2.84,-20467504.0,-0.49,56411392.0,1.35
49,2023-02-02,-203771001.0,-5.15,-45783833.0,-1.16,-157987168.0,-3.99,-52338144.0,-1.32,256109168.0,6.47
50,2023-02-03,-269556598.0,-8.17,-92844758.0,-2.81,-176711840.0,-5.35,-63972512.0,-1.94,333529104.0,10.11
51,2023-02-06,-163527738.0,-6.11,-99882618.0,-3.73,-63645120.0,-2.38,4329856.0,0.16,159197872.0,5.95
52,2023-02-07,-221455196.0,-7.81,-118933644.0,-4.2,-102521552.0,-3.62,56147808.0,1.98,165307392.0,5.83
53,2023-02-08,-97896216.0,-4.69,-28082568.0,-1.35,-69813648.0,-3.35,32424704.0,1.55,65471504.0,3.14
54,2023-02-09,-156991249.0,-6.0,-31379521.0,-1.2,-125611728.0,-4.8,-5581280.0,-0.21,162572528.0,6.21
55,2023-02-10,-118503332.0,-4.34,-31684932.0,-1.16,-86818400.0,-3.18,28636384.0,1.05,89866960.0,3.29
56,2023-02-13,-18247942.0,-0.52,38356698.0,1.09,-56604640.0,-1.61,59470784.0,1.69,-41222848.0,-1.17
57,2023-02-14,30515116.0,0.94,58887516.0,1.82,-28372400.0,-0.88,71009296.0,2.19,-101524400.0,-3.13
58,2023-02-15,-60604789.0,-1.74,-45734933.0,-1.31,-14869856.0,-0.43,-10389952.0,-0.3,70994752.0,2.03
59,2023-02-16,231345056.0,2.21,172163104.0,1.65,59181952.0,0.57,-121741296.0,-1.16,-109603760.0,-1.05
60,2023-02-17,118963728.0,1.25,27407952.0,0.29,91555776.0,0.96,153045264.0,1.6,-272008976.0,-2.85
61,2023-02-20,-169498976.0,-2.96,-76051600.0,-1.33,-93447376.0,-1.63,107312320.0,1.87,62186656.0,1.08
62,2023-02-21,-257294352.0,-5.63,-107196208.0,-2.35,-150098144.0,-3.28,32224480.0,0.71,225069888.0,4.92
63,2023-02-22,-207324255.0,-5.62,-68643455.0,-1.86,-138680800.0,-3.76,-2487840.0,-0.07,209812096.0,5.69
64,2023-02-23,-421644331.0,-10.99,-174577803.0,-4.55,-247066528.0,-6.44,34155808.0,0.89,387488512.0,10.1
65,2023-02-24,-170467781.0,-6.5,-50865045.0,-1.94,-119602736.0,-4.56,31344912.0,1.2,139122880.0,5.31
66,2023-02-27,-202240481.0,-6.48,-129548433.0,-4.15,-72692048.0,-2.33,-24208928.0,-0.78,226449424.0,7.26
67,2023-02-28,-45226852.0,-1.09,4108524.0,0.1,-49335376.0,-1.19,-20831168.0,-0.5,66058016.0,1.59
68,2023-03-01,-154012335.0,-4.13,-2591247.0,-0.07,-151421088.0,-4.06,-43131216.0,-1.16,197143552.0,5.29
69,2023-03-02,-215637687.0,-7.61,-51417047.0,-1.81,-164220640.0,-5.79,-21559120.0,-0.76,237196816.0,8.37
70,2023-03-03,-40827850.0,-1.41,28562886.0,0.99,-69390736.0,-2.4,-24679680.0,-0.85,65507536.0,2.26
