,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-40468224.0,-0.07,285530624.0,0.49,-325998848.0,-0.56,263066112.0,0.45,-222669056.0,-0.38
1,2022-11-18,-3670910768.0,-8.26,-1969328176.0,-4.43,-1701582592.0,-3.83,464048640.0,1.04,3204837632.0,7.21
2,2022-11-21,-1023205040.0,-3.34,-362480304.0,-1.18,-660724736.0,-2.16,120152064.0,0.39,903150080.0,2.95
3,2022-11-22,-772219280.0,-2.16,-291600016.0,-0.81,-480619264.0,-1.34,147279872.0,0.41,623927552.0,1.74
4,2022-11-23,-2631643680.0,-8.04,-1068359200.0,-3.27,-1563284480.0,-4.78,259237376.0,0.79,2377082880.0,7.27
5,2022-11-24,-1004351776.0,-4.19,-357874464.0,-1.49,-646477312.0,-2.7,-225681152.0,-0.94,1233496832.0,5.14
6,2022-11-25,-643157632.0,-2.43,-466864256.0,-1.77,-176293376.0,-0.67,-213093120.0,-0.81,852980992.0,3.23
7,2022-11-28,-1410603584.0,-5.69,-796201536.0,-3.21,-614402048.0,-2.48,285724160.0,1.15,1123477504.0,4.53
8,2022-11-29,537123808.0,1.76,221047008.0,0.73,316076800.0,1.04,-217291520.0,-0.71,-321254912.0,-1.05
9,2022-11-30,-691187392.0,-2.45,-350975936.0,-1.24,-340211456.0,-1.2,482824448.0,1.71,207348992.0,0.73
10,2022-12-01,255695312.0,0.71,628855248.0,1.76,-373159936.0,-1.04,-452609280.0,-1.26,197213184.0,0.55
11,2022-12-02,-1864512576.0,-7.17,-889943104.0,-3.42,-974569472.0,-3.75,135100672.0,0.52,1730665728.0,6.65
12,2022-12-05,-981971104.0,-3.59,-768785824.0,-2.81,-213185280.0,-0.78,391923200.0,1.43,582516480.0,2.13
