,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-16062128.0,-0.34,109164256.0,2.28,-125226384.0,-2.61,-119158576.0,-2.49,135220688.0,2.82
1,2022-11-18,-509224352.0,-6.86,-271953232.0,-3.66,-237271120.0,-3.2,44848256.0,0.6,464376096.0,6.25
2,2022-11-21,-339967506.0,-5.87,-169474658.0,-2.93,-170492848.0,-2.94,-3751264.0,-0.06,343718752.0,5.94
3,2022-11-22,-428394726.0,-7.97,-166702934.0,-3.1,-261691792.0,-4.87,91727424.0,1.71,336667296.0,6.26
4,2022-11-23,-230270432.0,-4.17,-117131120.0,-2.12,-113139312.0,-2.05,-46544208.0,-0.84,276814624.0,5.01
5,2022-11-24,-217713697.0,-4.91,-144582209.0,-3.26,-73131488.0,-1.65,106168272.0,2.39,111545408.0,2.51
6,2022-11-25,-103496014.0,-2.68,-78796286.0,-2.04,-24699728.0,-0.64,109120896.0,2.82,-5624864.0,-0.15
7,2022-11-28,53546848.0,1.1,55530304.0,1.14,-1983456.0,-0.04,-12835264.0,-0.26,-40711600.0,-0.84
8,2022-11-29,293146288.0,4.2,174810880.0,2.51,118335408.0,1.7,-70952944.0,-1.02,-222193344.0,-3.19
9,2022-11-30,-270064896.0,-3.65,50992400.0,0.69,-321057296.0,-4.34,-87902736.0,-1.19,357967632.0,4.84
10,2022-12-01,89822912.0,0.83,97911088.0,0.9,-8088176.0,-0.07,-182025888.0,-1.68,92202992.0,0.85
11,2022-12-02,-652233488.0,-7.15,-311809488.0,-3.42,-340424000.0,-3.73,-24460304.0,-0.27,676693792.0,7.42
12,2022-12-05,-104765392.0,-1.19,-42298512.0,-0.48,-62466880.0,-0.71,-54068480.0,-0.61,158833872.0,1.8
13,2022-12-06,800766320.0,5.88,833925312.0,6.12,-33158992.0,-0.24,-343879424.0,-2.53,-456886880.0,-3.35
14,2022-12-07,-854492592.0,-4.92,-401743376.0,-2.31,-452749216.0,-2.61,68652544.0,0.4,785840128.0,4.53
15,2022-12-08,-435023648.0,-2.15,-88213024.0,-0.44,-346810624.0,-1.71,-102381056.0,-0.51,537404672.0,2.66
16,2022-12-09,-451768960.0,-3.24,-330391056.0,-2.37,-121377904.0,-0.87,-52422144.0,-0.38,504190976.0,3.61
17,2022-12-12,-646143104.0,-5.94,-324257680.0,-2.98,-321885424.0,-2.96,28575392.0,0.26,617567712.0,5.68
18,2022-12-13,-142184000.0,-1.11,45322704.0,0.35,-187506704.0,-1.47,26487088.0,0.21,115696864.0,0.91
19,2022-12-14,-434895904.0,-2.71,-205483440.0,-1.28,-229412464.0,-1.43,-107457792.0,-0.67,542353920.0,3.38
20,2022-12-15,-1231154720.0,-8.25,-546014928.0,-3.66,-685139792.0,-4.59,113628928.0,0.76,1117525760.0,7.49
21,2022-12-16,-253089712.0,-2.12,81382496.0,0.68,-334472208.0,-2.8,-199111824.0,-1.67,452201536.0,3.79
22,2022-12-19,-790341312.0,-6.73,-401419744.0,-3.42,-388921568.0,-3.31,-61110896.0,-0.52,851452160.0,7.25
23,2022-12-20,-411118272.0,-4.25,-198573488.0,-2.05,-212544784.0,-2.2,-57634768.0,-0.6,468753040.0,4.85
24,2022-12-21,305602976.0,2.63,373942048.0,3.22,-68339072.0,-0.59,-32098176.0,-0.28,-273504800.0,-2.36
25,2022-12-22,-516398560.0,-3.98,-50654976.0,-0.39,-465743584.0,-3.59,102516736.0,0.79,413881680.0,3.19
26,2022-12-23,-835355408.0,-7.98,-383246704.0,-3.66,-452108704.0,-4.32,-115336304.0,-1.1,950691696.0,9.08
27,2022-12-26,-303307040.0,-3.22,-104119808.0,-1.1,-199187232.0,-2.11,-56348480.0,-0.6,359655520.0,3.81
28,2022-12-27,240223488.0,1.88,327695968.0,2.56,-87472480.0,-0.68,-136243968.0,-1.06,-103979408.0,-0.81
29,2022-12-28,-778309216.0,-6.97,-287833328.0,-2.58,-490475888.0,-4.39,134493776.0,1.2,643815440.0,5.77
30,2022-12-29,260306016.0,2.1,285346400.0,2.3,-25040384.0,-0.2,-162656288.0,-1.31,-97649616.0,-0.79
31,2022-12-30,317817712.0,2.05,348283904.0,2.24,-30466192.0,-0.2,-123524352.0,-0.8,-194293504.0,-1.25
32,2023-01-03,-1374428528.0,-8.52,-679807424.0,-4.22,-694621104.0,-4.31,384725248.0,2.39,989703424.0,6.14
33,2023-01-04,-491255392.0,-4.1,-225766000.0,-1.88,-265489392.0,-2.21,-140343520.0,-1.17,631598928.0,5.27
34,2023-01-05,-563014800.0,-4.4,-362796976.0,-2.83,-200217824.0,-1.56,23305216.0,0.18,539709520.0,4.22
35,2023-01-06,-809585168.0,-7.5,-408915680.0,-3.79,-400669488.0,-3.71,-102577968.0,-0.95,912163152.0,8.45
36,2023-01-09,-368087024.0,-5.48,-211642944.0,-3.15,-156444080.0,-2.33,48430880.0,0.72,319656112.0,4.76
37,2023-01-10,-43106160.0,-0.5,82630272.0,0.97,-125736432.0,-1.47,-69329168.0,-0.81,112435344.0,1.31
38,2023-01-11,-789440896.0,-9.84,-337732016.0,-4.21,-451708880.0,-5.63,33377456.0,0.42,756063440.0,9.43
39,2023-01-12,-545565486.0,-7.89,-264654622.0,-3.83,-280910864.0,-4.06,-2530720.0,-0.04,548096208.0,7.93
40,2023-01-13,47798544.0,0.72,25885504.0,0.39,21913040.0,0.33,28843760.0,0.44,-76642304.0,-1.16
41,2023-01-16,158074592.0,1.94,102411392.0,1.25,55663200.0,0.68,-154857872.0,-1.9,-3216720.0,-0.04
42,2023-01-17,-636820128.0,-6.96,-280396000.0,-3.06,-356424128.0,-3.89,-44486528.0,-0.49,681306656.0,7.44
43,2023-01-18,-215578640.0,-3.26,-113452800.0,-1.71,-102125840.0,-1.54,-22432896.0,-0.34,238011520.0,3.6
44,2023-01-19,-392375472.0,-4.94,-81319952.0,-1.02,-311055520.0,-3.92,-51459088.0,-0.65,443834576.0,5.59
45,2023-01-20,-20402896.0,-0.35,-87905792.0,-1.5,67502896.0,1.15,-13903088.0,-0.24,34305984.0,0.59
46,2023-01-30,-525447904.0,-6.45,-211217936.0,-2.59,-314229968.0,-3.86,145998000.0,1.79,379449904.0,4.66
47,2023-01-31,-59694992.0,-0.89,67425632.0,1.01,-127120624.0,-1.9,-31703776.0,-0.47,91398768.0,1.37
48,2023-02-01,168804000.0,2.33,37461488.0,0.52,131342512.0,1.82,32820480.0,0.45,-201624480.0,-2.79
49,2023-02-02,-101062176.0,-1.18,4263008.0,0.05,-105325184.0,-1.23,-33227504.0,-0.39,134289664.0,1.57
50,2023-02-03,-400136864.0,-5.24,-181934896.0,-2.38,-218201968.0,-2.86,47089872.0,0.62,353047008.0,4.63
51,2023-02-06,-402787078.0,-6.98,-209344038.0,-3.63,-193443040.0,-3.35,33671104.0,0.58,369115984.0,6.4
52,2023-02-07,-230743657.0,-4.55,-127271337.0,-2.51,-103472320.0,-2.04,37513040.0,0.74,193230608.0,3.81
53,2023-02-08,-398015731.0,-8.44,-176955811.0,-3.75,-221059920.0,-4.69,36513168.0,0.77,361502544.0,7.67
54,2023-02-09,34463536.0,0.75,42414656.0,0.93,-7951120.0,-0.17,-88099920.0,-1.93,53636384.0,1.17
55,2023-02-10,-146711040.0,-2.62,-25276576.0,-0.45,-121434464.0,-2.17,35531184.0,0.63,111179872.0,1.99
56,2023-02-13,-1269408.0,-0.02,57296944.0,0.86,-58566352.0,-0.88,1755040.0,0.03,-485632.0,-0.01
57,2023-02-14,-391552335.0,-7.7,-162964991.0,-3.21,-228587344.0,-4.5,54129872.0,1.06,337422464.0,6.64
58,2023-02-15,-348157556.0,-8.14,-165166820.0,-3.86,-182990736.0,-4.28,40878160.0,0.96,307279360.0,7.18
59,2023-02-16,-312218592.0,-4.62,-132102768.0,-1.95,-180115824.0,-2.66,-20698816.0,-0.31,332917424.0,4.92
60,2023-02-17,-181606608.0,-3.47,-16546720.0,-0.32,-165059888.0,-3.16,-38977056.0,-0.75,220583680.0,4.22
61,2023-02-20,173838032.0,2.97,322760560.0,5.51,-148922528.0,-2.54,-100998240.0,-1.72,-72839792.0,-1.24
62,2023-02-21,-271335424.0,-4.25,-144768432.0,-2.27,-126566992.0,-1.98,13122992.0,0.21,258212432.0,4.04
63,2023-02-22,-270582422.0,-5.3,-77905606.0,-1.53,-192676816.0,-3.78,12394000.0,0.24,258188416.0,5.06
64,2023-02-23,-235557111.0,-4.38,-108536583.0,-2.02,-127020528.0,-2.36,74826448.0,1.39,160730656.0,2.99
