,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-81607232.0,-1.75,-11927264.0,-0.26,-69679968.0,-1.5,720096.0,0.02,80061616.0,1.72
1,2022-11-18,-180226671.0,-3.67,-91386575.0,-1.86,-88840096.0,-1.81,57726496.0,1.18,122116544.0,2.49
2,2022-11-21,265362816.0,4.14,279274464.0,4.36,-13911648.0,-0.22,-41219312.0,-0.64,-221785312.0,-3.46
3,2022-11-22,-246129520.0,-2.68,-7574336.0,-0.08,-238555184.0,-2.59,149350512.0,1.62,93616896.0,1.02
4,2022-11-23,-103535472.0,-1.43,-210859232.0,-2.91,107323760.0,1.48,70587136.0,0.97,32552432.0,0.45
5,2022-11-24,17382816.0,0.22,-15939280.0,-0.2,33322096.0,0.42,91017488.0,1.15,-108663680.0,-1.38
6,2022-11-25,-373661959.0,-6.12,-269255255.0,-4.41,-104406704.0,-1.71,106215968.0,1.74,265768224.0,4.35
7,2022-11-28,-319149054.0,-6.13,-142030366.0,-2.73,-177118688.0,-3.4,46792496.0,0.9,271896592.0,5.23
8,2022-11-29,17041744.0,0.29,32142512.0,0.55,-15100768.0,-0.26,-46948736.0,-0.81,29587616.0,0.51
9,2022-11-30,-220881092.0,-4.32,-110964420.0,-2.17,-109916672.0,-2.15,104350352.0,2.04,115081920.0,2.25
10,2022-12-01,-4472144.0,-0.08,841504.0,0.01,-5313648.0,-0.09,-9250320.0,-0.16,13594928.0,0.24
11,2022-12-02,-210384544.0,-3.27,-22547600.0,-0.35,-187836944.0,-2.92,96229200.0,1.5,112908352.0,1.76
12,2022-12-05,-151565712.0,-2.42,-41340544.0,-0.66,-110225168.0,-1.76,-2389728.0,-0.04,152850240.0,2.44
13,2022-12-06,-76761472.0,-1.39,-292736.0,-0.01,-76468736.0,-1.39,17293216.0,0.31,57874192.0,1.05
14,2022-12-07,40415168.0,0.61,94532416.0,1.43,-54117248.0,-0.82,34283808.0,0.52,-77042080.0,-1.17
15,2022-12-08,-186653680.0,-2.97,-86080528.0,-1.37,-100573152.0,-1.6,112777504.0,1.8,72734304.0,1.16
