,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-59536609.0,-2.1,-38515729.0,-1.36,-21020880.0,-0.74,-105417280.0,-3.72,164953904.0,5.82
1,2022-11-18,-114988385.0,-4.08,-56576129.0,-2.01,-58412256.0,-2.07,-7802752.0,-0.28,122791152.0,4.36
2,2022-11-21,-154776736.0,-5.76,-99207248.0,-3.7,-55569488.0,-2.07,-9908032.0,-0.37,164684768.0,6.13
3,2022-11-22,-126073308.0,-5.17,-43864508.0,-1.8,-82208800.0,-3.37,2196768.0,0.09,123876544.0,5.08
4,2022-11-23,45584566.0,1.82,29446886.0,1.18,16137680.0,0.65,-69490448.0,-2.78,23905888.0,0.96
5,2022-11-24,160056624.0,5.27,164839280.0,5.43,-4782656.0,-0.16,-78864688.0,-2.6,-81191936.0,-2.67
6,2022-11-25,-238322256.0,-6.08,-189638192.0,-4.84,-48684064.0,-1.24,77119328.0,1.97,161202928.0,4.11
7,2022-11-28,-15921520.0,-0.31,41659776.0,0.82,-57581296.0,-1.14,-33469200.0,-0.66,49390720.0,0.98
8,2022-11-29,69556560.0,1.19,6044720.0,0.1,63511840.0,1.09,45115056.0,0.77,-114671600.0,-1.96
9,2022-11-30,-28128384.0,-0.42,79268480.0,1.18,-107396864.0,-1.6,37304032.0,0.56,-9175632.0,-0.14
10,2022-12-01,-522695264.0,-9.21,-303442528.0,-5.35,-219252736.0,-3.86,128750416.0,2.27,393944848.0,6.94
11,2022-12-02,-15260624.0,-0.26,-1360624.0,-0.02,-13900000.0,-0.24,-3439280.0,-0.06,18699936.0,0.32
12,2022-12-05,585477008.0,6.13,625543712.0,6.54,-40066704.0,-0.42,-208571184.0,-2.18,-376905840.0,-3.94
13,2022-12-06,-1570362016.0,-11.88,-1155275696.0,-8.74,-415086320.0,-3.14,297199552.0,2.25,1273162448.0,9.63
