,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-135755631.0,-5.2,-27749583.0,-1.06,-108006048.0,-4.14,-36346800.0,-1.39,172102432.0,6.6
1,2022-11-18,-103321814.0,-3.85,-46956870.0,-1.75,-56364944.0,-2.1,22447376.0,0.84,80874416.0,3.01
2,2022-11-21,-75468257.0,-3.1,12917039.0,0.53,-88385296.0,-3.63,-26156816.0,-1.08,101625072.0,4.18
3,2022-11-22,-87254308.0,-4.45,-4223476.0,-0.22,-83030832.0,-4.23,-8334768.0,-0.42,95589088.0,4.87
4,2022-11-23,-62798671.0,-3.02,19532177.0,0.94,-82330848.0,-3.96,-65388752.0,-3.15,128187424.0,6.17
5,2022-11-24,15284952.0,0.56,34075768.0,1.25,-18790816.0,-0.69,-16242992.0,-0.6,958032.0,0.04
6,2022-11-25,76906758.0,3.28,60216182.0,2.57,16690576.0,0.71,-26430128.0,-1.13,-50476624.0,-2.15
7,2022-11-28,-73422918.0,-3.17,-31079974.0,-1.34,-42342944.0,-1.83,-15072096.0,-0.65,88495008.0,3.82
8,2022-11-29,84127461.0,3.63,60731941.0,2.62,23395520.0,1.01,22394224.0,0.97,-106521680.0,-4.6
9,2022-11-30,-115543235.0,-6.43,-36012346.0,-2.01,-79530889.0,-4.43,-3992688.0,-0.22,119535920.0,6.66
10,2022-12-01,8522998.0,0.4,18472358.0,0.87,-9949360.0,-0.47,-3914544.0,-0.18,-4608464.0,-0.22
11,2022-12-02,4721340.0,0.23,40589596.0,1.97,-35868256.0,-1.74,27757808.0,1.35,-32479168.0,-1.58
12,2022-12-05,-48438601.0,-1.86,-15193945.0,-0.58,-33244656.0,-1.28,-50640560.0,-1.95,99079168.0,3.81
13,2022-12-06,-127238823.0,-5.4,-67801911.0,-2.88,-59436912.0,-2.52,50407328.0,2.14,76831504.0,3.26
14,2022-12-07,-138121608.0,-6.79,-54828216.0,-2.7,-83293392.0,-4.1,-13497744.0,-0.66,151619360.0,7.46
15,2022-12-08,-53616859.0,-2.44,-43068139.0,-1.96,-10548720.0,-0.48,51545664.0,2.35,2071168.0,0.09
16,2022-12-09,86512167.0,3.96,29283671.0,1.34,57228496.0,2.62,-84898048.0,-3.89,-1614144.0,-0.07
17,2022-12-12,-36650835.0,-1.95,-7086067.0,-0.38,-29564768.0,-1.58,-5728992.0,-0.31,42379808.0,2.26
18,2022-12-13,108963883.0,5.44,112027595.0,5.6,-3063712.0,-0.15,-46717616.0,-2.33,-62246272.0,-3.11
19,2022-12-14,-202650414.0,-8.0,-68387262.0,-2.7,-134263152.0,-5.3,21278944.0,0.84,181371472.0,7.16
20,2022-12-15,-88364953.0,-4.46,-105701049.0,-5.34,17336096.0,0.88,40561744.0,2.05,47803200.0,2.41
21,2022-12-16,-7896052.0,-0.39,62843932.0,3.1,-70739984.0,-3.49,-35078288.0,-1.73,42974352.0,2.12
22,2022-12-19,-57471215.0,-3.28,6690160.0,0.38,-64161375.0,-3.67,-18944496.0,-1.08,76415712.0,4.37
23,2022-12-20,-7289137.0,-0.61,3963246.0,0.33,-11252383.0,-0.94,-25166368.0,-2.11,32455520.0,2.72
24,2022-12-21,-36108058.0,-2.96,-8338112.0,-0.68,-27769946.0,-2.27,442736.0,0.04,35665328.0,2.92
25,2022-12-22,-803350.0,-0.04,-31330150.0,-1.47,30526800.0,1.43,-27770160.0,-1.3,28573504.0,1.34
26,2022-12-23,-60121366.0,-3.22,-21453958.0,-1.15,-38667408.0,-2.07,-15181872.0,-0.81,75303232.0,4.03
27,2022-12-26,28664315.0,1.66,38578151.0,2.24,-9913836.0,-0.58,-25072368.0,-1.46,-3591952.0,-0.21
28,2022-12-27,-6428924.0,-0.38,14988666.0,0.89,-21417590.0,-1.27,32958048.0,1.96,-26529120.0,-1.58
29,2022-12-28,-8366718.0,-0.47,11800962.0,0.66,-20167680.0,-1.13,9166016.0,0.51,-799296.0,-0.04
