,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-670181840.0,-6.26,-187945376.0,-1.76,-482236464.0,-4.5,23827968.0,0.22,646353872.0,6.04
1,2022-11-18,-484848816.0,-4.48,-223206832.0,-2.06,-261641984.0,-2.42,147009728.0,1.36,331294304.0,3.06
2,2022-11-21,-323038336.0,-3.07,-52241600.0,-0.5,-270796736.0,-2.57,-35047712.0,-0.33,355123168.0,3.37
3,2022-11-22,-356805968.0,-3.83,-226846352.0,-2.43,-129959616.0,-1.39,-20306256.0,-0.22,371072032.0,3.98
4,2022-11-23,-122586256.0,-1.42,3097104.0,0.04,-125683360.0,-1.45,7046464.0,0.08,112777232.0,1.3
5,2022-11-24,-130201312.0,-1.51,-13528880.0,-0.16,-116672432.0,-1.36,185175376.0,2.15,-55610240.0,-0.65
6,2022-11-25,-128246000.0,-1.4,-38597072.0,-0.42,-89648928.0,-0.98,-55775136.0,-0.61,182789904.0,1.99
7,2022-11-28,-193681280.0,-2.08,-93582848.0,-1.01,-100098432.0,-1.08,20195360.0,0.22,172693648.0,1.86
8,2022-11-29,103045232.0,0.69,-29977312.0,-0.2,133022544.0,0.89,29234432.0,0.19,-132893184.0,-0.89
9,2022-11-30,-131822032.0,-1.09,-26267120.0,-0.22,-105554912.0,-0.87,83333152.0,0.69,48144544.0,0.4
10,2022-12-01,-274641040.0,-1.97,24126832.0,0.17,-298767872.0,-2.14,53368576.0,0.38,222478144.0,1.6
11,2022-12-02,-352492288.0,-3.01,-89370128.0,-0.76,-263122160.0,-2.25,-44621824.0,-0.38,397207904.0,3.39
12,2022-12-05,-196295328.0,-1.21,-206279072.0,-1.28,9983744.0,0.06,87249920.0,0.54,94347776.0,0.58
13,2022-12-06,-386221344.0,-3.13,-170773984.0,-1.38,-215447360.0,-1.75,112947968.0,0.92,256249600.0,2.08
14,2022-12-07,84702592.0,0.67,136974560.0,1.08,-52271968.0,-0.41,-128365568.0,-1.01,29785904.0,0.24
15,2022-12-08,17904496.0,0.15,38748336.0,0.33,-20843840.0,-0.18,89623056.0,0.76,-108503664.0,-0.92
16,2022-12-09,1256573168.0,6.77,687756784.0,3.71,568816384.0,3.07,-542279424.0,-2.92,-715675392.0,-3.86
