,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-420568416.0,-3.99,-309241184.0,-2.93,-111327232.0,-1.06,-52956288.0,-0.5,473524704.0,4.49
1,2022-11-18,-649713680.0,-7.18,-458076304.0,-5.06,-191637376.0,-2.12,71056368.0,0.79,578657312.0,6.39
2,2022-11-21,23868704.0,0.3,-4218704.0,-0.05,28087408.0,0.36,-68248048.0,-0.87,44379344.0,0.56
3,2022-11-22,-178138592.0,-1.94,-104663840.0,-1.14,-73474752.0,-0.8,113302496.0,1.23,64836112.0,0.71
4,2022-11-23,-57717936.0,-0.64,53452864.0,0.6,-111170800.0,-1.24,-10545184.0,-0.12,68263120.0,0.76
5,2022-11-24,-314265776.0,-4.12,-128140960.0,-1.68,-186124816.0,-2.44,70844752.0,0.93,243421056.0,3.19
6,2022-11-25,-605820144.0,-9.2,-365055424.0,-5.54,-240764720.0,-3.66,120191104.0,1.83,485629040.0,7.37
7,2022-11-28,-484423856.0,-7.37,-215916864.0,-3.29,-268506992.0,-4.09,8365520.0,0.13,476058352.0,7.25
8,2022-11-29,289643600.0,3.83,255389632.0,3.37,34253968.0,0.45,-125658752.0,-1.66,-163984848.0,-2.17
9,2022-11-30,39291040.0,0.46,-88246000.0,-1.03,127537040.0,1.48,94399584.0,1.1,-133690640.0,-1.55
10,2022-12-01,142817152.0,1.35,246340528.0,2.32,-103523376.0,-0.98,13652704.0,0.13,-156469840.0,-1.47
11,2022-12-02,-287772672.0,-3.55,-151826160.0,-1.87,-135946512.0,-1.68,-94738800.0,-1.17,382511472.0,4.72
12,2022-12-05,736178384.0,5.74,513529568.0,4.0,222648816.0,1.74,-84068992.0,-0.66,-652109408.0,-5.08
13,2022-12-06,-397993712.0,-4.19,-178348064.0,-1.88,-219645648.0,-2.31,185422160.0,1.95,212571552.0,2.24
14,2022-12-07,-230894128.0,-2.4,-199219296.0,-2.08,-31674832.0,-0.33,28641792.0,0.3,202252336.0,2.11
15,2022-12-08,-520424080.0,-7.81,-280544880.0,-4.21,-239879200.0,-3.6,134099728.0,2.01,386324368.0,5.79
16,2022-12-09,340210384.0,3.31,201550560.0,1.96,138659824.0,1.35,-180565184.0,-1.76,-159645184.0,-1.55
17,2022-12-12,-835142032.0,-9.74,-547784288.0,-6.39,-287357744.0,-3.35,210406048.0,2.45,624735984.0,7.28
18,2022-12-13,713846832.0,5.66,548106752.0,4.35,165740080.0,1.31,-323585376.0,-2.57,-390261536.0,-3.1
19,2022-12-14,-625096288.0,-7.68,-413640768.0,-5.08,-211455520.0,-2.6,120543936.0,1.48,504552336.0,6.2
20,2022-12-15,-111324400.0,-1.36,-94353808.0,-1.15,-16970592.0,-0.21,-45422784.0,-0.55,156747184.0,1.91
21,2022-12-16,-754117408.0,-9.47,-467061280.0,-5.87,-287056128.0,-3.61,70862480.0,0.89,683254928.0,8.58
22,2022-12-19,-470323984.0,-6.04,-156049872.0,-2.0,-314274112.0,-4.04,-154471456.0,-1.98,624795440.0,8.03
23,2022-12-20,-238184160.0,-4.75,-117610288.0,-2.34,-120573872.0,-2.4,13304592.0,0.27,224879568.0,4.48
24,2022-12-21,-324339808.0,-5.99,-152258976.0,-2.81,-172080832.0,-3.18,-59717776.0,-1.1,384057600.0,7.09
25,2022-12-22,-382748656.0,-6.12,-238088720.0,-3.81,-144659936.0,-2.31,-9670720.0,-0.15,392419392.0,6.27
26,2022-12-23,-290584046.0,-6.28,-117258270.0,-2.54,-173325776.0,-3.75,-136841040.0,-2.96,427425072.0,9.24
27,2022-12-26,78090608.0,1.47,12416800.0,0.23,65673808.0,1.23,-29401088.0,-0.55,-48689520.0,-0.91
28,2022-12-27,359327616.0,4.1,347176064.0,3.96,12151552.0,0.14,-144647424.0,-1.65,-214680176.0,-2.45
29,2022-12-28,-409356864.0,-4.39,-162391824.0,-1.74,-246965040.0,-2.65,99100224.0,1.06,310256640.0,3.33
30,2022-12-29,-380570848.0,-5.63,-188233584.0,-2.78,-192337264.0,-2.84,56136256.0,0.83,324434592.0,4.8
31,2022-12-30,-422539728.0,-6.32,-280275408.0,-4.19,-142264320.0,-2.13,9695856.0,0.15,412843872.0,6.18
32,2023-01-03,391536144.0,3.71,219786336.0,2.08,171749808.0,1.63,-12590992.0,-0.12,-378945152.0,-3.59
33,2023-01-04,-536810224.0,-6.78,-310176240.0,-3.92,-226633984.0,-2.86,118953712.0,1.5,417856512.0,5.27
34,2023-01-05,499279824.0,6.0,232150176.0,2.79,267129648.0,3.21,-1485104.0,-0.02,-497794720.0,-5.98
35,2023-01-06,744945280.0,5.39,625675264.0,4.52,119270016.0,0.86,-59959040.0,-0.43,-684986320.0,-4.95
36,2023-01-09,295582576.0,2.14,108402320.0,0.79,187180256.0,1.36,-87595520.0,-0.63,-207987120.0,-1.51
37,2023-01-10,-661434288.0,-7.11,-417537520.0,-4.49,-243896768.0,-2.62,72484848.0,0.78,588949440.0,6.33
38,2023-01-11,21945264.0,0.24,73851568.0,0.81,-51906304.0,-0.57,-254875120.0,-2.78,232929872.0,2.54
