,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,56873267.0,4.3,79223960.0,5.99,-22350693.0,-1.69,-53811424.0,-4.07,-3536928.0,-0.27
1,2022-11-18,-166484364.0,-8.9,-13266620.0,-0.71,-153217744.0,-8.19,-2075680.0,-0.11,168328160.0,9.0
2,2022-11-21,-25940765.0,-1.52,22817801.0,1.34,-48758566.0,-2.86,-45356864.0,-2.66,71373440.0,4.19
3,2022-11-22,193422094.0,5.93,162016766.0,4.96,31405328.0,0.96,-14294496.0,-0.44,-179289776.0,-5.49
4,2022-11-23,115211090.0,2.55,106925938.0,2.37,8285152.0,0.18,111257520.0,2.47,-226968688.0,-5.03
5,2022-11-24,-397774419.0,-9.04,-145265299.0,-3.3,-252509120.0,-5.74,69187680.0,1.57,327788352.0,7.45
6,2022-11-25,33530894.0,0.92,57028590.0,1.57,-23497696.0,-0.65,15798976.0,0.43,-49538576.0,-1.36
7,2022-11-28,-85186860.0,-2.57,66965892.0,2.02,-152152752.0,-4.59,-90501472.0,-2.73,175576848.0,5.3
8,2022-11-29,-135589669.0,-3.49,-63070709.0,-1.62,-72518960.0,-1.87,-56568224.0,-1.46,191612848.0,4.93
9,2022-11-30,-115798417.0,-3.92,-55832209.0,-1.89,-59966208.0,-2.03,-16359120.0,-0.55,131910432.0,4.47
10,2022-12-01,-108425617.0,-4.25,-20387809.0,-0.8,-88037808.0,-3.45,55894704.0,2.19,51988096.0,2.04
11,2022-12-02,-52367286.0,-2.17,6323082.0,0.26,-58690368.0,-2.43,-21914320.0,-0.91,74545072.0,3.09
12,2022-12-05,154665548.0,3.93,180347500.0,4.58,-25681952.0,-0.65,-63210016.0,-1.61,-91507680.0,-2.32
13,2022-12-06,-348627055.0,-8.79,-121460623.0,-3.06,-227166432.0,-5.73,10122048.0,0.26,338167648.0,8.53
14,2022-12-07,-108297205.0,-3.84,-36381541.0,-1.29,-71915664.0,-2.55,-18445440.0,-0.65,126738672.0,4.49
15,2022-12-08,-97783623.0,-4.78,-64064999.0,-3.13,-33718624.0,-1.65,-48560016.0,-2.37,146161680.0,7.14
16,2022-12-09,-78124932.0,-4.08,-27621812.0,-1.44,-50503120.0,-2.64,-16187552.0,-0.85,93906752.0,4.91
17,2022-12-12,-115656759.0,-6.69,-36368444.0,-2.1,-79288315.0,-4.59,-12118032.0,-0.7,127064208.0,7.35
18,2022-12-13,-18667923.0,-1.11,-6859427.0,-0.41,-11808496.0,-0.7,-11856336.0,-0.71,30543072.0,1.82
19,2022-12-14,-104440978.0,-7.2,-34498581.0,-2.38,-69942397.0,-4.82,7462464.0,0.51,96798000.0,6.68
20,2022-12-15,-21762179.0,-1.88,-2759598.0,-0.24,-19002581.0,-1.64,-1363312.0,-0.12,23146688.0,2.0
21,2022-12-16,-28417435.0,-1.81,-13626437.0,-0.87,-14790998.0,-0.94,11148976.0,0.71,17132112.0,1.09
