,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-373209424.0,-4.45,-235623680.0,-2.81,-137585744.0,-1.64,25688976.0,0.31,347600000.0,4.14
1,2022-11-18,-260200384.0,-3.08,-53438432.0,-0.63,-206761952.0,-2.45,-100017936.0,-1.19,360089584.0,4.27
2,2022-11-21,-205365360.0,-2.73,-72571168.0,-0.96,-132794192.0,-1.76,-94013168.0,-1.25,299511104.0,3.98
3,2022-11-22,2712254752.0,10.58,2615589408.0,10.2,96665344.0,0.38,-911331584.0,-3.55,-1801490432.0,-7.03
4,2022-11-23,586022400.0,1.97,579322368.0,1.95,6700032.0,0.02,242284288.0,0.81,-828626432.0,-2.78
5,2022-11-24,-728959696.0,-3.85,-956981968.0,-5.05,228022272.0,1.2,265791232.0,1.4,462850816.0,2.44
6,2022-11-25,940233808.0,4.57,850301264.0,4.13,89932544.0,0.44,-421698048.0,-2.05,-518561536.0,-2.52
7,2022-11-28,-626037184.0,-3.66,-623527616.0,-3.65,-2509568.0,-0.01,96996864.0,0.57,528914944.0,3.1
8,2022-11-29,817383936.0,3.4,354665216.0,1.47,462718720.0,1.92,-588190464.0,-2.45,-229101312.0,-0.95
9,2022-11-30,-721374368.0,-4.11,-535515040.0,-3.05,-185859328.0,-1.06,151046144.0,0.86,570337024.0,3.25
10,2022-12-01,-686571632.0,-4.28,-933863792.0,-5.82,247292160.0,1.54,35206912.0,0.22,650963808.0,4.05
11,2022-12-02,-30341920.0,-0.21,3671824.0,0.03,-34013744.0,-0.23,-430114528.0,-2.97,459893440.0,3.17
12,2022-12-05,3443322880.0,11.11,2964457984.0,9.56,478864896.0,1.54,-1420908800.0,-4.58,-2022174464.0,-6.52
13,2022-12-06,-2048234176.0,-9.13,-1702551232.0,-7.59,-345682944.0,-1.54,407297024.0,1.82,1640733696.0,7.32
14,2022-12-07,-667470368.0,-3.82,-588791584.0,-3.37,-78678784.0,-0.45,-155992832.0,-0.89,823626496.0,4.72
15,2022-12-08,213216240.0,1.57,41257312.0,0.3,171958928.0,1.26,-102043680.0,-0.75,-111206480.0,-0.82
16,2022-12-09,-706264480.0,-4.5,-583185216.0,-3.71,-123079264.0,-0.78,26374144.0,0.17,679701312.0,4.33
17,2022-12-12,-1340614768.0,-9.29,-807960304.0,-5.6,-532654464.0,-3.69,387144880.0,2.68,953248416.0,6.61
18,2022-12-13,-363750864.0,-3.53,-178025120.0,-1.73,-185725744.0,-1.8,-20882832.0,-0.2,384359408.0,3.73
19,2022-12-14,-477214672.0,-4.85,-256914272.0,-2.61,-220300400.0,-2.24,90585776.0,0.92,386589664.0,3.93
20,2022-12-15,-156421104.0,-1.66,-52621616.0,-0.56,-103799488.0,-1.1,-115629920.0,-1.23,271796160.0,2.89
21,2022-12-16,-362251552.0,-3.37,-200234032.0,-1.86,-162017520.0,-1.51,20181680.0,0.19,341891216.0,3.18
22,2022-12-19,-1750764624.0,-14.36,-1186807216.0,-9.73,-563957408.0,-4.63,429760576.0,3.53,1320819120.0,10.83
23,2022-12-20,-399842080.0,-5.08,-205611328.0,-2.61,-194230752.0,-2.47,-141497440.0,-1.8,541081488.0,6.88
24,2022-12-21,-390829344.0,-6.01,-282785392.0,-4.35,-108043952.0,-1.66,-9508736.0,-0.15,400109904.0,6.15
25,2022-12-22,-570212368.0,-6.78,-346626176.0,-4.12,-223586192.0,-2.66,307061040.0,3.65,262961696.0,3.13
26,2022-12-23,-329378704.0,-5.78,-194084816.0,-3.41,-135293888.0,-2.38,-4230896.0,-0.07,333312000.0,5.85
27,2022-12-26,62931648.0,0.91,62088096.0,0.9,843552.0,0.01,-18609648.0,-0.27,-44858144.0,-0.65
28,2022-12-27,525048960.0,4.84,506117616.0,4.66,18931344.0,0.17,-210437360.0,-1.94,-314605888.0,-2.9
29,2022-12-28,-470995264.0,-5.1,-288624720.0,-3.12,-182370544.0,-1.97,107928768.0,1.17,363168048.0,3.93
30,2022-12-29,-662416080.0,-8.42,-458110880.0,-5.82,-204305200.0,-2.6,239992384.0,3.05,422534256.0,5.37
31,2022-12-30,360315328.0,4.68,317240192.0,4.12,43075136.0,0.56,-150494704.0,-1.96,-209958112.0,-2.73
32,2023-01-03,326344864.0,3.33,221902032.0,2.27,104442832.0,1.07,42953632.0,0.44,-369074672.0,-3.77
33,2023-01-04,-13838976.0,-0.14,-100520768.0,-0.98,86681792.0,0.85,72042368.0,0.71,-57588624.0,-0.56
34,2023-01-05,151976112.0,1.57,83100976.0,0.86,68875136.0,0.71,-25456640.0,-0.26,-126327616.0,-1.31
35,2023-01-06,-20991008.0,-0.2,-73653872.0,-0.71,52662864.0,0.51,115277872.0,1.11,-93957968.0,-0.9
36,2023-01-09,-532724016.0,-5.96,-483299488.0,-5.41,-49424528.0,-0.55,226750768.0,2.54,306494288.0,3.43
37,2023-01-10,-784402816.0,-10.04,-451850992.0,-5.78,-332551824.0,-4.26,275955792.0,3.53,508805344.0,6.51
38,2023-01-11,-327648528.0,-4.11,-198450144.0,-2.49,-129198384.0,-1.62,85610432.0,1.07,242098736.0,3.04
39,2023-01-12,-382058336.0,-5.71,-319466816.0,-4.77,-62591520.0,-0.93,147471760.0,2.2,234664496.0,3.5
40,2023-01-13,-416964672.0,-5.92,-357257712.0,-5.08,-59706960.0,-0.85,89048528.0,1.27,327900880.0,4.66
41,2023-01-16,-320461424.0,-3.19,-68992960.0,-0.69,-251468464.0,-2.51,50695424.0,0.51,270000800.0,2.69
