,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-265268817.0,-8.03,-123514289.0,-3.74,-141754528.0,-4.29,22499472.0,0.68,236064944.0,7.15
1,2022-11-18,-255088186.0,-7.45,-137929194.0,-4.03,-117158992.0,-3.42,73980304.0,2.16,177437424.0,5.18
2,2022-11-21,-132092664.0,-3.7,-59653048.0,-1.67,-72439616.0,-2.03,-28741680.0,-0.81,159712016.0,4.48
3,2022-11-22,-12144015.0,-0.32,-22953919.0,-0.61,10809904.0,0.29,-35520704.0,-0.94,35261600.0,0.94
4,2022-11-23,-151543781.0,-3.95,-40458245.0,-1.06,-111085536.0,-2.9,29725344.0,0.78,120007168.0,3.13
5,2022-11-24,-41596162.0,-1.18,-3765442.0,-0.11,-37830720.0,-1.08,30344000.0,0.86,7849536.0,0.22
6,2022-11-25,153090969.0,4.38,73844729.0,2.11,79246240.0,2.27,-52289232.0,-1.5,-108021584.0,-3.09
7,2022-11-28,-413275388.0,-10.8,-246180124.0,-6.43,-167095264.0,-4.36,28413840.0,0.74,384621520.0,10.05
8,2022-11-29,647823600.0,10.92,386818832.0,6.52,261004768.0,4.4,-249990432.0,-4.21,-396964416.0,-6.69
9,2022-11-30,-354828670.0,-8.53,-213522318.0,-5.13,-141306352.0,-3.4,67298208.0,1.62,284762832.0,6.84
10,2022-12-01,-158864192.0,-3.51,-110174416.0,-2.44,-48689776.0,-1.08,-25492048.0,-0.56,181049744.0,4.0
11,2022-12-02,-259107119.0,-8.29,-143470335.0,-4.59,-115636784.0,-3.7,-32102880.0,-1.03,285982544.0,9.15
12,2022-12-05,753769968.0,14.12,424162880.0,7.94,329607088.0,6.17,-193936496.0,-3.63,-561840352.0,-10.52
13,2022-12-06,-222320655.0,-5.62,-165830783.0,-4.19,-56489872.0,-1.43,-21669840.0,-0.55,241827552.0,6.11
14,2022-12-07,-261374697.0,-7.16,-168297561.0,-4.61,-93077136.0,-2.55,10512112.0,0.29,247431616.0,6.78
15,2022-12-08,-194055263.0,-6.73,-108723919.0,-3.77,-85331344.0,-2.96,48733120.0,1.69,143785120.0,4.98
16,2022-12-09,581791904.0,8.83,525157744.0,7.97,56634160.0,0.86,-96731264.0,-1.47,-488055664.0,-7.41
17,2022-12-12,-63642544.0,-1.55,-64459520.0,-1.57,816976.0,0.02,-9938192.0,-0.24,71491792.0,1.74
18,2022-12-13,-231631848.0,-6.91,-108784024.0,-3.24,-122847824.0,-3.66,81051312.0,2.42,147947232.0,4.41
19,2022-12-14,-149496592.0,-3.89,13207664.0,0.34,-162704256.0,-4.24,33530960.0,0.87,112386400.0,2.93
20,2022-12-15,-385214554.0,-11.93,-173999690.0,-5.39,-211214864.0,-6.54,48032928.0,1.49,337367792.0,10.45
21,2022-12-16,-29686609.0,-0.94,-8266977.0,-0.26,-21419632.0,-0.68,1855760.0,0.06,27364992.0,0.87
22,2022-12-19,-321402496.0,-9.47,-152474064.0,-4.49,-168928432.0,-4.98,47086688.0,1.39,278797472.0,8.21
23,2022-12-20,-166813853.0,-5.1,-162423405.0,-4.97,-4390448.0,-0.13,17229632.0,0.53,146833616.0,4.49
24,2022-12-21,53126702.0,2.19,-60756146.0,-2.51,113882848.0,4.7,-34271328.0,-1.42,-19639824.0,-0.81
25,2022-12-22,271322.0,0.01,-52639158.0,-2.14,52910480.0,2.15,-56978432.0,-2.31,53210096.0,2.16
26,2022-12-23,-112616653.0,-5.43,-60040605.0,-2.9,-52576048.0,-2.54,-35705200.0,-1.72,147107568.0,7.09
27,2022-12-26,71030240.0,3.2,51310480.0,2.31,19719760.0,0.89,-55226192.0,-2.49,-15926144.0,-0.72
28,2022-12-27,-28007705.0,-1.42,-16116009.0,-0.82,-11891696.0,-0.6,11755904.0,0.6,15285104.0,0.78
29,2022-12-28,-206735432.0,-9.59,-108655352.0,-5.04,-98080080.0,-4.55,24236800.0,1.12,180930064.0,8.39
30,2022-12-29,-141077364.0,-6.43,-92867844.0,-4.23,-48209520.0,-2.2,43393616.0,1.98,96228896.0,4.39
31,2022-12-30,41522858.0,2.15,20296794.0,1.05,21226064.0,1.1,15331360.0,0.8,-57608400.0,-2.99
32,2023-01-03,-47040196.0,-1.77,-24315060.0,-0.91,-22725136.0,-0.85,7136512.0,0.27,40375392.0,1.52
33,2023-01-04,186717629.0,6.19,136090957.0,4.51,50626672.0,1.68,-123555808.0,-4.1,-64041440.0,-2.12
34,2023-01-05,125048753.0,4.89,137653425.0,5.38,-12604672.0,-0.49,-61401872.0,-2.4,-65827312.0,-2.57
35,2023-01-06,60303372.0,2.13,34121916.0,1.2,26181456.0,0.92,-45191072.0,-1.59,-14475232.0,-0.51
36,2023-01-09,480510912.0,10.27,285140768.0,6.09,195370144.0,4.17,-115203888.0,-2.46,-363710752.0,-7.77
37,2023-01-10,-72787840.0,-1.95,-24649008.0,-0.66,-48138832.0,-1.29,-7840688.0,-0.21,77605856.0,2.08
38,2023-01-11,-185874539.0,-5.9,-76992795.0,-2.44,-108881744.0,-3.45,108962304.0,3.46,72457472.0,2.3
39,2023-01-12,-129909085.0,-4.66,-89871517.0,-3.22,-40037568.0,-1.44,63500352.0,2.28,66485808.0,2.38
40,2023-01-13,122515776.0,3.8,97287856.0,3.02,25227920.0,0.78,-78546080.0,-2.44,-44000608.0,-1.37
41,2023-01-16,45274944.0,1.05,-363280.0,-0.01,45638224.0,1.05,-125129984.0,-2.89,79676320.0,1.84
42,2023-01-17,-34165096.0,-1.21,17499112.0,0.62,-51664208.0,-1.84,-29303072.0,-1.04,61714160.0,2.19
43,2023-01-18,-171168440.0,-6.61,-90150056.0,-3.48,-81018384.0,-3.13,-17607616.0,-0.68,188259824.0,7.27
44,2023-01-19,8686717.0,0.35,-28437731.0,-1.14,37124448.0,1.49,15079872.0,0.6,-23595856.0,-0.95
45,2023-01-20,-20966731.0,-0.83,42962917.0,1.71,-63929648.0,-2.54,-20089104.0,-0.8,42595344.0,1.69
46,2023-01-30,-141235920.0,-3.48,-111301248.0,-2.74,-29934672.0,-0.74,24269440.0,0.6,116566784.0,2.87
47,2023-01-31,335458208.0,7.75,163178368.0,3.77,172279840.0,3.98,-102434368.0,-2.37,-222541440.0,-5.14
48,2023-02-01,-440564752.0,-8.04,-337425584.0,-6.16,-103139168.0,-1.88,182184752.0,3.32,258453744.0,4.71
49,2023-02-02,-182054782.0,-4.39,-164220526.0,-3.96,-17834256.0,-0.43,-23623392.0,-0.57,193775568.0,4.67
50,2023-02-03,-144697920.0,-3.22,10999552.0,0.24,-155697472.0,-3.46,-28331792.0,-0.63,163695248.0,3.64
51,2023-02-06,-159826608.0,-4.06,-77251328.0,-1.96,-82575280.0,-2.1,-6652288.0,-0.17,162314288.0,4.12
52,2023-02-07,-126438112.0,-3.27,-57828768.0,-1.5,-68609344.0,-1.78,62105200.0,1.61,64690464.0,1.68
