,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-500512640.0,-2.4,-250546304.0,-1.2,-249966336.0,-1.2,-53271552.0,-0.26,553784064.0,2.65
1,2022-11-18,-761605440.0,-3.85,-234980784.0,-1.19,-526624656.0,-2.66,-493136896.0,-2.49,1254742528.0,6.34
2,2022-11-21,-545290800.0,-3.04,-181131584.0,-1.01,-364159216.0,-2.03,-223810816.0,-1.25,769101568.0,4.29
3,2022-11-22,-1374019104.0,-7.63,-944922544.0,-5.25,-429096560.0,-2.38,371022592.0,2.06,1002996224.0,5.57
4,2022-11-23,-301835440.0,-2.51,-183154064.0,-1.52,-118681376.0,-0.99,-21697696.0,-0.18,323533088.0,2.69
5,2022-11-24,1225832512.0,5.16,1183982400.0,4.99,41850112.0,0.18,-527860992.0,-2.22,-697971712.0,-2.94
6,2022-11-25,2276611648.0,6.38,1566744640.0,4.39,709867008.0,1.99,-535519232.0,-1.5,-1741092352.0,-4.88
7,2022-11-28,-1098646048.0,-4.0,-530743840.0,-1.93,-567902208.0,-2.07,434091008.0,1.58,664554752.0,2.42
8,2022-11-29,3714669056.0,7.55,4024175616.0,8.18,-309506560.0,-0.63,-1615223040.0,-3.28,-2099446016.0,-4.27
9,2022-11-30,-3697612800.0,-6.31,-1817774080.0,-3.1,-1879838720.0,-3.21,833659392.0,1.42,2863953408.0,4.89
10,2022-12-01,-907518464.0,-1.88,-801488128.0,-1.66,-106030336.0,-0.22,728636672.0,1.51,178881792.0,0.37
11,2022-12-02,-986858160.0,-2.56,-1212400048.0,-3.14,225541888.0,0.58,-297326848.0,-0.77,1284185088.0,3.33
12,2022-12-05,-469623040.0,-1.23,-190800384.0,-0.5,-278822656.0,-0.73,-236039680.0,-0.62,705662720.0,1.85
13,2022-12-06,-1932890368.0,-6.64,-1209776640.0,-4.16,-723113728.0,-2.49,321323776.0,1.1,1611566848.0,5.54
14,2022-12-07,-1849304144.0,-7.46,-1253518416.0,-5.06,-595785728.0,-2.4,444036096.0,1.79,1405267968.0,5.67
15,2022-12-08,978840464.0,3.59,949185680.0,3.48,29654784.0,0.11,-525856512.0,-1.93,-452983808.0,-1.66
16,2022-12-09,551100928.0,1.51,736142592.0,2.01,-185041664.0,-0.51,-458917376.0,-1.26,-92183296.0,-0.25
17,2022-12-12,-2708915984.0,-11.5,-1391123472.0,-5.9,-1317792512.0,-5.59,765891840.0,3.25,1943024128.0,8.25
18,2022-12-13,-136666848.0,-0.68,21969440.0,0.11,-158636288.0,-0.79,-231294208.0,-1.15,367961088.0,1.83
19,2022-12-14,-1220070864.0,-7.02,-768162624.0,-4.42,-451908240.0,-2.6,428044032.0,2.46,792026624.0,4.56
