,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-115494970.0,-4.45,-51511530.0,-1.98,-63983440.0,-2.47,3258384.0,0.13,112236576.0,4.32
1,2022-11-18,-147014933.0,-6.66,-103951893.0,-4.71,-43063040.0,-1.95,-53460064.0,-2.42,200475008.0,9.08
2,2022-11-21,-58294175.0,-3.74,-51928175.0,-3.33,-6366000.0,-0.41,-34969520.0,-2.24,93263696.0,5.98
3,2022-11-22,-124879266.0,-7.39,-54556770.0,-3.23,-70322496.0,-4.16,30746320.0,1.82,94132944.0,5.57
4,2022-11-23,-36859191.0,-2.95,-5857000.0,-0.47,-31002191.0,-2.48,-22200544.0,-1.78,59059728.0,4.73
5,2022-11-24,-33879367.0,-1.71,12148857.0,0.61,-46028224.0,-2.33,28032800.0,1.42,5846576.0,0.3
6,2022-11-25,105185295.0,4.23,86797087.0,3.49,18388208.0,0.74,-42126576.0,-1.69,-63058704.0,-2.54
7,2022-11-28,-125628393.0,-7.09,-25567609.0,-1.44,-100060784.0,-5.65,50210704.0,2.83,75417680.0,4.26
8,2022-11-29,248154208.0,6.77,241530112.0,6.59,6624096.0,0.18,-120489856.0,-3.29,-127664336.0,-3.48
9,2022-11-30,-177562064.0,-4.26,-42389424.0,-1.02,-135172640.0,-3.24,43583488.0,1.04,133978592.0,3.21
10,2022-12-01,-195050258.0,-6.82,-125783634.0,-4.4,-69266624.0,-2.42,32807552.0,1.15,162242704.0,5.67
11,2022-12-02,-36915726.0,-1.8,-9490190.0,-0.46,-27425536.0,-1.34,-65041536.0,-3.17,101957248.0,4.96
12,2022-12-05,40173035.0,1.77,52418555.0,2.3,-12245520.0,-0.54,-65154272.0,-2.86,24981232.0,1.1
13,2022-12-06,-96790549.0,-4.71,-23356645.0,-1.14,-73433904.0,-3.57,10697456.0,0.52,86093088.0,4.19
14,2022-12-07,-83112210.0,-4.87,-53821714.0,-3.15,-29290496.0,-1.71,44659088.0,2.61,38453120.0,2.25
15,2022-12-08,143352139.0,5.85,75631771.0,3.09,67720368.0,2.76,-68053808.0,-2.78,-75298320.0,-3.07
16,2022-12-09,135330224.0,4.17,155742464.0,4.8,-20412240.0,-0.63,-16858432.0,-0.52,-118471792.0,-3.65
17,2022-12-12,-218013107.0,-9.02,-134542195.0,-5.56,-83470912.0,-3.45,36673072.0,1.52,181340032.0,7.5
18,2022-12-13,39730468.0,2.06,26433444.0,1.37,13297024.0,0.69,-11615680.0,-0.6,-28114784.0,-1.46
19,2022-12-14,-21350616.0,-1.22,-31979976.0,-1.83,10629360.0,0.61,28257744.0,1.62,-6907136.0,-0.4
20,2022-12-15,-13399897.0,-0.81,-14938441.0,-0.91,1538544.0,0.09,-30871040.0,-1.88,44270928.0,2.69
21,2022-12-16,30204327.0,1.56,50948743.0,2.63,-20744416.0,-1.07,17148288.0,0.89,-47352624.0,-2.45
22,2022-12-19,-88099071.0,-4.65,-32124895.0,-1.7,-55974176.0,-2.95,15418624.0,0.81,72680448.0,3.84
23,2022-12-20,-123494202.0,-8.84,-50031774.0,-3.58,-73462428.0,-5.26,19050832.0,1.36,104443360.0,7.47
24,2022-12-21,-68199004.0,-5.66,-54775442.0,-4.54,-13423562.0,-1.11,-16693568.0,-1.38,84892592.0,7.04
25,2022-12-22,28077474.0,1.79,66719410.0,4.26,-38641936.0,-2.47,-57058272.0,-3.65,28980800.0,1.85
26,2022-12-23,-46913399.0,-3.22,-18954021.0,-1.3,-27959378.0,-1.92,-13135840.0,-0.9,60049232.0,4.12
27,2022-12-26,-14723824.0,-1.12,-7536948.0,-0.57,-7186876.0,-0.55,14542800.0,1.11,181008.0,0.01
28,2022-12-27,22769471.0,1.72,9071028.0,0.69,13698443.0,1.04,-13074528.0,-0.99,-9694944.0,-0.73
29,2022-12-28,-37704125.0,-3.03,9955239.0,0.8,-47659364.0,-3.83,11389088.0,0.92,26315024.0,2.12
30,2022-12-29,-77002880.0,-6.72,-24452205.0,-2.13,-52550675.0,-4.58,-12581824.0,-1.1,89584704.0,7.82
31,2022-12-30,-4186499.0,-0.47,11328368.0,1.27,-15514867.0,-1.73,-17727184.0,-1.98,21913664.0,2.45
32,2023-01-03,-13952394.0,-1.25,14104217.0,1.26,-28056611.0,-2.5,26216576.0,2.34,-12264192.0,-1.09
33,2023-01-04,102174183.0,4.21,101341431.0,4.18,832752.0,0.03,-68536128.0,-2.82,-33638064.0,-1.39
34,2023-01-05,-106158827.0,-6.07,-33838075.0,-1.94,-72320752.0,-4.14,34719536.0,1.99,71439280.0,4.09
35,2023-01-06,-52116845.0,-2.75,-43834749.0,-2.31,-8282096.0,-0.44,19365424.0,1.02,32751408.0,1.73
36,2023-01-09,-42138448.0,-3.12,5265254.0,0.39,-47403702.0,-3.51,148384.0,0.01,41990064.0,3.11
37,2023-01-10,47849542.0,3.5,20378750.0,1.49,27470792.0,2.01,-1253856.0,-0.09,-46595680.0,-3.41
38,2023-01-11,117467763.0,6.12,102035603.0,5.31,15432160.0,0.8,-5882704.0,-0.31,-111585056.0,-5.81
39,2023-01-12,-70195879.0,-3.63,-25230055.0,-1.31,-44965824.0,-2.33,-28406208.0,-1.47,98602080.0,5.1
40,2023-01-13,-219703657.0,-8.75,-96360137.0,-3.84,-123343520.0,-4.91,58945568.0,2.35,160758080.0,6.4
41,2023-01-16,-116874605.0,-6.14,-91818653.0,-4.82,-25055952.0,-1.32,77151184.0,4.05,39723392.0,2.09
42,2023-01-17,-101156381.0,-5.52,-104128781.0,-5.68,2972400.0,0.16,62295792.0,3.4,38860592.0,2.12
43,2023-01-18,4492950.0,0.33,7986006.0,0.59,-3493056.0,-0.26,-27760128.0,-2.03,23267184.0,1.7
44,2023-01-19,-66240508.0,-4.89,-44704080.0,-3.3,-21536428.0,-1.59,21474384.0,1.59,44766112.0,3.31
45,2023-01-20,-19344204.0,-1.5,15676130.0,1.21,-35020334.0,-2.71,-6466256.0,-0.5,25810464.0,2.0
46,2023-01-30,-64884181.0,-3.47,-11203909.0,-0.6,-53680272.0,-2.87,44876928.0,2.4,20007280.0,1.07
47,2023-01-31,-33113535.0,-1.68,-17641327.0,-0.89,-15472208.0,-0.78,-5415792.0,-0.27,38529328.0,1.95
48,2023-02-01,-42751287.0,-2.47,-25009047.0,-1.44,-17742240.0,-1.02,11627984.0,0.67,31123280.0,1.8
49,2023-02-02,22515803.0,1.05,56149307.0,2.62,-33633504.0,-1.57,-4204288.0,-0.2,-18311520.0,-0.85
50,2023-02-03,-129444835.0,-7.07,-86026835.0,-4.7,-43418000.0,-2.37,35477792.0,1.94,93967040.0,5.13
51,2023-02-06,22680443.0,1.19,60857659.0,3.18,-38177216.0,-2.0,-65708640.0,-3.43,43028192.0,2.25
52,2023-02-07,-51173164.0,-2.84,-57521852.0,-3.2,6348688.0,0.35,11269920.0,0.63,39903264.0,2.22
53,2023-02-08,-130606885.0,-8.39,-62919173.0,-4.04,-67687712.0,-4.35,21709088.0,1.39,108897808.0,7.0
54,2023-02-09,-22439943.0,-1.69,-30611015.0,-2.31,8171072.0,0.62,-58970352.0,-4.45,81410304.0,6.14
55,2023-02-10,-30533566.0,-1.97,-21328862.0,-1.38,-9204704.0,-0.59,-4835008.0,-0.31,35368560.0,2.28
56,2023-02-13,-56684304.0,-4.78,-35969433.0,-3.03,-20714871.0,-1.75,12658528.0,1.07,44025776.0,3.71
57,2023-02-14,-27509784.0,-2.03,-18153928.0,-1.34,-9355856.0,-0.69,-7162304.0,-0.53,34672080.0,2.56
58,2023-02-15,-109562770.0,-8.97,-56834835.0,-4.65,-52727935.0,-4.32,11606416.0,0.95,97956352.0,8.02
59,2023-02-16,-17911211.0,-1.04,33636645.0,1.95,-51547856.0,-2.99,-26498544.0,-1.54,44409776.0,2.58
60,2023-02-17,-12157212.0,-0.85,13968036.0,0.98,-26125248.0,-1.84,20155792.0,1.42,-7998560.0,-0.56
61,2023-02-20,-31761428.0,-2.01,-52633844.0,-3.32,20872416.0,1.32,6556336.0,0.41,25205104.0,1.59
62,2023-02-21,-92792855.0,-5.11,-68097047.0,-3.75,-24695808.0,-1.36,12711040.0,0.7,80081808.0,4.41
63,2023-02-22,42239506.0,2.87,5876594.0,0.4,36362912.0,2.47,-23164784.0,-1.58,-19074752.0,-1.3
64,2023-02-23,-82625196.0,-5.81,-54098316.0,-3.81,-28526880.0,-2.01,21537872.0,1.52,61087328.0,4.3
65,2023-02-24,-105929986.0,-10.05,-39417725.0,-3.74,-66512261.0,-6.31,5332688.0,0.51,100597296.0,9.55
66,2023-02-27,-54073839.0,-5.45,-20957820.0,-2.11,-33116019.0,-3.34,2495296.0,0.25,51578544.0,5.2
67,2023-02-28,-17764533.0,-2.0,-10514338.0,-1.18,-7250195.0,-0.82,-14935056.0,-1.68,32699600.0,3.68
68,2023-03-01,-5425574.0,-0.63,5271075.0,0.61,-10696649.0,-1.24,-8333328.0,-0.96,13758912.0,1.59
69,2023-03-02,-70698696.0,-9.19,-31747820.0,-4.13,-38950876.0,-5.06,15701292.0,2.04,54997393.0,7.15
70,2023-03-03,9323153.0,1.14,13107844.0,1.61,-3784691.0,-0.46,-10182704.0,-1.25,859552.0,0.11
71,2023-03-06,-74642067.0,-7.55,-25425090.0,-2.57,-49216977.0,-4.98,13407424.0,1.36,61234656.0,6.2
72,2023-03-07,-194730768.0,-17.68,-43339856.0,-3.94,-151390912.0,-13.75,65835824.0,5.98,128894944.0,11.7
73,2023-03-08,-24287007.0,-3.32,-7087212.0,-0.97,-17199795.0,-2.35,-628497.0,-0.09,24915504.0,3.4
74,2023-03-09,-41212797.0,-6.28,-18952969.0,-2.89,-22259828.0,-3.39,9200430.0,1.4,32012369.0,4.88
75,2023-03-10,-29983492.0,-3.74,-7674472.0,-0.96,-22309020.0,-2.78,-30511250.0,-3.81,60494752.0,7.55
76,2023-03-13,-80732186.0,-11.38,-37633079.0,-5.3,-43099107.0,-6.07,34316889.0,4.84,46415296.0,6.54
77,2023-03-14,-54550511.0,-7.15,-20213721.0,-2.65,-34336790.0,-4.5,-775535.0,-0.1,55326048.0,7.25
78,2023-03-15,-21178594.0,-3.02,7803684.0,1.11,-28982278.0,-4.14,3438312.0,0.49,17740282.0,2.53
