,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-104258536.0,-3.53,-78624696.0,-2.66,-25633840.0,-0.87,-26713872.0,-0.9,130972416.0,4.43
1,2022-11-18,654863024.0,9.6,501334416.0,7.35,153528608.0,2.25,-228786304.0,-3.35,-426076720.0,-6.24
2,2022-11-21,-493905596.0,-10.29,-348969932.0,-7.27,-144935664.0,-3.02,93877872.0,1.96,400027728.0,8.33
3,2022-11-22,-73364384.0,-1.31,74322208.0,1.33,-147686592.0,-2.63,130226544.0,2.32,-56862176.0,-1.01
4,2022-11-23,-206148360.0,-4.39,-146071688.0,-3.11,-60076672.0,-1.28,13684992.0,0.29,192463360.0,4.1
5,2022-11-24,-92919888.0,-2.85,5960448.0,0.18,-98880336.0,-3.03,-2941008.0,-0.09,95860880.0,2.94
6,2022-11-25,-105053898.0,-3.56,-110313594.0,-3.74,5259696.0,0.18,-70938400.0,-2.4,175992304.0,5.97
7,2022-11-28,-182281998.0,-6.59,-119780222.0,-4.33,-62501776.0,-2.26,-33708896.0,-1.22,215990880.0,7.8
8,2022-11-29,-18341084.0,-0.61,-45733228.0,-1.52,27392144.0,0.91,-25314688.0,-0.84,43655776.0,1.45
9,2022-11-30,-57834174.0,-2.07,-33678382.0,-1.2,-24155792.0,-0.86,-34276096.0,-1.22,92110240.0,3.29
10,2022-12-01,179542096.0,4.89,165473456.0,4.5,14068640.0,0.38,-79085008.0,-2.15,-100457104.0,-2.73
11,2022-12-02,-178525015.0,-5.32,-69763895.0,-2.08,-108761120.0,-3.24,-41173936.0,-1.23,219698944.0,6.54
12,2022-12-05,93364281.0,2.68,137388521.0,3.94,-44024240.0,-1.26,-93975168.0,-2.7,610896.0,0.02
13,2022-12-06,-158262612.0,-5.32,-87516852.0,-2.94,-70745760.0,-2.38,80882384.0,2.72,77380224.0,2.6
14,2022-12-07,-113439169.0,-4.05,-119392513.0,-4.26,5953344.0,0.21,94860672.0,3.39,18578496.0,0.66
15,2022-12-08,7530544.0,0.23,-4074528.0,-0.12,11605072.0,0.35,-32319168.0,-0.97,24788640.0,0.75
16,2022-12-09,-139798512.0,-5.41,-60944752.0,-2.36,-78853760.0,-3.05,-43138624.0,-1.67,182937136.0,7.07
17,2022-12-12,-122093455.0,-6.17,-58845055.0,-2.97,-63248400.0,-3.2,-53845792.0,-2.72,175939248.0,8.89
18,2022-12-13,2551093.0,0.13,-2847723.0,-0.15,5398816.0,0.28,-26580896.0,-1.37,24029808.0,1.24
19,2022-12-14,-43705627.0,-1.4,34086453.0,1.09,-77792080.0,-2.48,41512736.0,1.33,2192896.0,0.07
20,2022-12-15,16202778.0,0.61,38022298.0,1.44,-21819520.0,-0.82,-50104304.0,-1.89,33901520.0,1.28
21,2022-12-16,-58924352.0,-1.29,61677184.0,1.35,-120601536.0,-2.63,31837984.0,0.69,27086352.0,0.59
22,2022-12-19,33138768.0,0.5,56282992.0,0.84,-23144224.0,-0.35,137721104.0,2.07,-170859888.0,-2.56
23,2022-12-20,-376891082.0,-8.49,-156914698.0,-3.53,-219976384.0,-4.95,27468640.0,0.62,349422448.0,7.87
24,2022-12-21,-52157003.0,-1.49,-6532363.0,-0.19,-45624640.0,-1.3,-21506496.0,-0.61,73663504.0,2.1
25,2022-12-22,175750176.0,2.93,335335328.0,5.6,-159585152.0,-2.66,-101161280.0,-1.69,-74588896.0,-1.25
26,2022-12-23,-113297328.0,-1.28,-21118912.0,-0.24,-92178416.0,-1.04,38288960.0,0.43,75008352.0,0.85
27,2022-12-26,-465792992.0,-6.77,-376742608.0,-5.47,-89050384.0,-1.29,188240304.0,2.73,277552672.0,4.03
28,2022-12-27,-679299136.0,-10.38,-511213408.0,-7.81,-168085728.0,-2.57,200816176.0,3.07,478482960.0,7.31
29,2022-12-28,-654530000.0,-11.59,-282383968.0,-5.0,-372146032.0,-6.59,48705376.0,0.86,605824624.0,10.73
30,2022-12-29,-341926512.0,-8.54,-159077120.0,-3.97,-182849392.0,-4.57,12318784.0,0.31,329607728.0,8.24
31,2022-12-30,24554960.0,0.57,34029120.0,0.79,-9474160.0,-0.22,-72287936.0,-1.67,47732976.0,1.1
32,2023-01-03,-62210000.0,-1.48,-14970656.0,-0.36,-47239344.0,-1.12,-103410656.0,-2.45,165620640.0,3.93
33,2023-01-04,-114821680.0,-2.04,3661920.0,0.07,-118483600.0,-2.11,-95525040.0,-1.7,210346736.0,3.74
34,2023-01-05,138305024.0,2.14,176368832.0,2.73,-38063808.0,-0.59,-280058688.0,-4.33,141753680.0,2.19
35,2023-01-06,-494184560.0,-10.76,-205637040.0,-4.48,-288547520.0,-6.28,2379360.0,0.05,491805216.0,10.7
36,2023-01-09,196329744.0,3.71,209960208.0,3.97,-13630464.0,-0.26,-55950992.0,-1.06,-140378736.0,-2.65
37,2023-01-10,-226969223.0,-5.82,-103472199.0,-2.65,-123497024.0,-3.16,46790384.0,1.2,180178848.0,4.62
38,2023-01-11,-67429595.0,-1.56,-29007179.0,-0.67,-38422416.0,-0.89,8617008.0,0.2,58812592.0,1.36
39,2023-01-12,-170585528.0,-4.54,-63252360.0,-1.68,-107333168.0,-2.85,105336864.0,2.8,65248656.0,1.74
40,2023-01-13,23413743.0,0.72,22638031.0,0.7,775712.0,0.02,52798160.0,1.63,-76211920.0,-2.35
41,2023-01-16,510647792.0,9.34,428113168.0,7.83,82534624.0,1.51,-197467632.0,-3.61,-313180160.0,-5.73
42,2023-01-17,-17371680.0,-0.31,181589888.0,3.27,-198961568.0,-3.58,-101678736.0,-1.83,119050432.0,2.14
43,2023-01-18,-286833942.0,-7.65,-198376134.0,-5.29,-88457808.0,-2.36,54209296.0,1.45,232624656.0,6.2
44,2023-01-19,-153549680.0,-4.23,-100738912.0,-2.78,-52810768.0,-1.46,754752.0,0.02,152794928.0,4.21
45,2023-01-20,185108304.0,4.59,119200256.0,2.95,65908048.0,1.63,-67830400.0,-1.68,-117277888.0,-2.91
46,2023-01-30,-238866704.0,-4.32,-188173552.0,-3.4,-50693152.0,-0.92,84984736.0,1.54,153881952.0,2.78
47,2023-01-31,-165523648.0,-2.34,43210464.0,0.61,-208734112.0,-2.96,-97651568.0,-1.38,263175216.0,3.73
48,2023-02-01,74462288.0,1.1,71528016.0,1.05,2934272.0,0.04,-29825680.0,-0.44,-44636608.0,-0.66
49,2023-02-02,-597874016.0,-10.9,-360345888.0,-6.57,-237528128.0,-4.33,-21058992.0,-0.38,618932992.0,11.29
50,2023-02-03,-150365547.0,-3.66,-37389707.0,-0.91,-112975840.0,-2.75,96745184.0,2.35,53620368.0,1.3
51,2023-02-06,-412171879.0,-10.02,-209223367.0,-5.09,-202948512.0,-4.93,4370672.0,0.11,407801216.0,9.91
52,2023-02-07,-25087184.0,-0.52,-16993104.0,-0.35,-8094080.0,-0.17,25096496.0,0.52,-9296.0,-0.0
53,2023-02-08,-258377735.0,-7.52,-118153015.0,-3.44,-140224720.0,-4.08,-4626240.0,-0.13,263003968.0,7.66
54,2023-02-09,-68550481.0,-1.8,-19178177.0,-0.5,-49372304.0,-1.3,34178784.0,0.9,34371680.0,0.9
