,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-1281317184.0,-5.8,-577857856.0,-2.62,-703459328.0,-3.19,11300864.0,0.05,1269831680.0,5.75
1,2022-11-18,-614589424.0,-2.64,-108580336.0,-0.47,-506009088.0,-2.17,-81360896.0,-0.35,696065792.0,2.99
2,2022-11-21,-1748275104.0,-9.26,-915633472.0,-4.85,-832641632.0,-4.41,-49079808.0,-0.26,1797283072.0,9.52
3,2022-11-22,-333441776.0,-2.09,-22954768.0,-0.14,-310487008.0,-1.95,-109767424.0,-0.69,440201216.0,2.76
4,2022-11-23,-1020140768.0,-6.44,-372766720.0,-2.35,-647374048.0,-4.08,7310848.0,0.05,1012350208.0,6.39
5,2022-11-24,-844721648.0,-7.17,-391541296.0,-3.32,-453180352.0,-3.84,57857024.0,0.49,786906704.0,6.68
6,2022-11-25,-79706464.0,-0.69,85237104.0,0.74,-164943568.0,-1.43,83613280.0,0.73,-4385280.0,-0.04
7,2022-11-28,-220192720.0,-1.51,-64814384.0,-0.44,-155378336.0,-1.06,93552640.0,0.64,126787584.0,0.87
8,2022-11-29,445763104.0,2.54,444038176.0,2.53,1724928.0,0.01,-116415744.0,-0.66,-329010944.0,-1.88
9,2022-11-30,-939866032.0,-6.11,-414459104.0,-2.69,-525406928.0,-3.42,236806400.0,1.54,698253568.0,4.54
10,2022-12-01,-10895392.0,-0.05,159851232.0,0.76,-170746624.0,-0.81,-60723456.0,-0.29,67446272.0,0.32
11,2022-12-02,89557792.0,0.47,532415744.0,2.76,-442857952.0,-2.3,-211636224.0,-1.1,122416384.0,0.64
12,2022-12-05,-116386640.0,-0.56,140051120.0,0.67,-256437760.0,-1.23,-131342080.0,-0.63,246333696.0,1.18
13,2022-12-06,-1494751760.0,-7.23,-734029328.0,-3.55,-760722432.0,-3.68,114194688.0,0.55,1380848128.0,6.68
14,2022-12-07,-316589744.0,-1.55,-73646000.0,-0.36,-242943744.0,-1.19,172739072.0,0.84,142622464.0,0.7
15,2022-12-08,-519753072.0,-3.15,-369156976.0,-2.24,-150596096.0,-0.91,147519744.0,0.89,371803136.0,2.25
16,2022-12-09,-790624320.0,-4.76,-555998448.0,-3.35,-234625872.0,-1.41,-135854592.0,-0.82,925823744.0,5.58
17,2022-12-12,-989308992.0,-7.29,-428347344.0,-3.16,-560961648.0,-4.14,116817664.0,0.86,870662128.0,6.42
18,2022-12-13,-304546128.0,-1.91,-135156080.0,-0.85,-169390048.0,-1.06,-61194752.0,-0.38,365821696.0,2.29
19,2022-12-14,111728608.0,0.74,23070288.0,0.15,88658320.0,0.59,-207803392.0,-1.38,95109120.0,0.63
