,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-122397728.0,-1.35,-189664080.0,-2.1,67266352.0,0.74,-96084496.0,-1.06,218482240.0,2.42
1,2022-11-18,-551497152.0,-7.07,-205101920.0,-2.63,-346395232.0,-4.44,-174568464.0,-2.24,726065616.0,9.31
2,2022-11-21,-639631904.0,-8.24,-192141264.0,-2.47,-447490640.0,-5.76,-134248592.0,-1.73,773880512.0,9.97
3,2022-11-22,-431554448.0,-8.35,-313679904.0,-6.07,-117874544.0,-2.28,-37932896.0,-0.73,469487392.0,9.08
4,2022-11-23,-274293397.0,-6.53,-141744629.0,-3.37,-132548768.0,-3.15,64608512.0,1.54,209684896.0,4.99
5,2022-11-24,-208559290.0,-4.28,-111778954.0,-2.3,-96780336.0,-1.99,61318256.0,1.26,147241040.0,3.02
6,2022-11-25,-129557280.0,-2.59,-114485328.0,-2.29,-15071952.0,-0.3,105378016.0,2.1,24179232.0,0.48
7,2022-11-28,781562112.0,8.12,449796800.0,4.67,331765312.0,3.45,-164179296.0,-1.71,-617382816.0,-6.41
8,2022-11-29,1030487680.0,6.33,760507472.0,4.67,269980208.0,1.66,-476491776.0,-2.93,-553995952.0,-3.4
9,2022-11-30,-651264864.0,-4.27,-597089248.0,-3.91,-54175616.0,-0.35,134042112.0,0.88,517222656.0,3.39
10,2022-12-01,52292032.0,0.28,-111976256.0,-0.6,164268288.0,0.88,-358319360.0,-1.93,306027264.0,1.65
11,2022-12-02,-274557008.0,-2.21,-138344016.0,-1.11,-136212992.0,-1.09,-114638608.0,-0.92,389195648.0,3.13
12,2022-12-05,-105930640.0,-0.83,-122248896.0,-0.95,16318256.0,0.13,-320747248.0,-2.5,426677776.0,3.33
13,2022-12-06,-47879888.0,-0.33,53901152.0,0.37,-101781040.0,-0.7,-61974016.0,-0.43,109854080.0,0.76
14,2022-12-07,108505392.0,0.62,357739456.0,2.06,-249234064.0,-1.44,43074048.0,0.25,-151579648.0,-0.87
15,2022-12-08,-364721072.0,-2.38,37635296.0,0.25,-402356368.0,-2.62,271783424.0,1.77,92937728.0,0.61
16,2022-12-09,-654930864.0,-4.65,-260370880.0,-1.85,-394559984.0,-2.8,30492672.0,0.22,624438128.0,4.44
17,2022-12-12,-44993296.0,-0.36,44928032.0,0.36,-89921328.0,-0.71,-37081344.0,-0.29,82074480.0,0.65
18,2022-12-13,235539952.0,1.64,195088224.0,1.36,40451728.0,0.28,81722112.0,0.57,-317261952.0,-2.21
19,2022-12-14,127546880.0,0.82,318699808.0,2.04,-191152928.0,-1.22,48544000.0,0.31,-176090816.0,-1.13
20,2022-12-15,-819073824.0,-5.83,-288519488.0,-2.05,-530554336.0,-3.78,45521664.0,0.32,773552064.0,5.51
21,2022-12-16,-118725104.0,-0.97,-48072672.0,-0.39,-70652432.0,-0.58,80377696.0,0.66,38347536.0,0.31
22,2022-12-19,-685257712.0,-5.88,-414724240.0,-3.56,-270533472.0,-2.32,50763792.0,0.44,634493936.0,5.45
23,2022-12-20,-761661248.0,-7.26,-433939184.0,-4.14,-327722064.0,-3.13,-10053392.0,-0.1,771714640.0,7.36
24,2022-12-21,174073696.0,1.77,110970848.0,1.13,63102848.0,0.64,-144816192.0,-1.48,-29257520.0,-0.3
25,2022-12-22,-912034096.0,-6.59,-578536160.0,-4.18,-333497936.0,-2.41,425892352.0,3.08,486141600.0,3.52
26,2022-12-23,-262219248.0,-2.07,-213286576.0,-1.68,-48932672.0,-0.39,-107815424.0,-0.85,370034656.0,2.92
27,2022-12-26,277572128.0,1.64,290730096.0,1.72,-13157968.0,-0.08,-279505664.0,-1.66,1933824.0,0.01
28,2022-12-27,-844532144.0,-4.9,-412287696.0,-2.39,-432244448.0,-2.51,230686464.0,1.34,613845760.0,3.56
29,2022-12-28,-248103616.0,-1.44,104473504.0,0.61,-352577120.0,-2.05,-85065472.0,-0.49,333168896.0,1.93
30,2022-12-29,-1172498064.0,-6.21,-466779904.0,-2.47,-705718160.0,-3.74,155844352.0,0.83,1016653824.0,5.39
31,2022-12-30,-480298096.0,-2.64,-175793696.0,-0.97,-304504400.0,-1.67,1322240.0,0.01,478975744.0,2.63
32,2023-01-03,-1196262144.0,-8.85,-686624352.0,-5.08,-509637792.0,-3.77,146470400.0,1.08,1049791776.0,7.77
33,2023-01-04,-151838272.0,-1.23,-6406576.0,-0.05,-145431696.0,-1.18,-205345024.0,-1.67,357183328.0,2.9
34,2023-01-05,-225127184.0,-1.58,-314624352.0,-2.21,89497168.0,0.63,181260288.0,1.27,43866768.0,0.31
35,2023-01-06,-933360304.0,-7.77,-442635312.0,-3.68,-490724992.0,-4.08,138942992.0,1.16,794417408.0,6.61
36,2023-01-09,-367342240.0,-3.57,-237720496.0,-2.31,-129621744.0,-1.26,132499088.0,1.29,234843136.0,2.28
37,2023-01-10,-456587952.0,-3.72,-432745120.0,-3.53,-23842832.0,-0.19,71672896.0,0.58,384915056.0,3.14
38,2023-01-11,-654167840.0,-6.36,-338198768.0,-3.29,-315969072.0,-3.07,107959248.0,1.05,546208592.0,5.31
39,2023-01-12,-661810544.0,-6.54,-197565856.0,-1.95,-464244688.0,-4.59,-143511232.0,-1.42,805321744.0,7.96
40,2023-01-13,56371552.0,0.58,94124288.0,0.96,-37752736.0,-0.39,-21529328.0,-0.22,-34842240.0,-0.36
41,2023-01-16,-753962704.0,-7.61,-320569072.0,-3.24,-433393632.0,-4.38,391986080.0,3.96,361976640.0,3.65
42,2023-01-17,228149568.0,2.36,318824288.0,3.3,-90674720.0,-0.94,-83426624.0,-0.86,-144722944.0,-1.5
43,2023-01-18,-670806784.0,-8.08,-506876384.0,-6.1,-163930400.0,-1.97,-200171888.0,-2.41,870978672.0,10.49
44,2023-01-19,-736774448.0,-9.16,-338888848.0,-4.21,-397885600.0,-4.95,18920256.0,0.24,717854160.0,8.93
45,2023-01-20,-44862640.0,-0.64,-17667968.0,-0.25,-27194672.0,-0.39,56456304.0,0.81,-11593664.0,-0.17
46,2023-01-30,-1346943744.0,-9.1,-741154432.0,-5.01,-605789312.0,-4.09,292336640.0,1.97,1054607152.0,7.12
47,2023-01-31,-883092592.0,-9.72,-340241216.0,-3.75,-542851376.0,-5.98,231528208.0,2.55,651564400.0,7.17
48,2023-02-01,-427292864.0,-4.82,-150277632.0,-1.7,-277015232.0,-3.13,-106651280.0,-1.2,533944144.0,6.03
49,2023-02-02,251184064.0,2.91,90718464.0,1.05,160465600.0,1.86,-60584944.0,-0.7,-190599120.0,-2.21
50,2023-02-03,-332674160.0,-4.77,-155977488.0,-2.24,-176696672.0,-2.53,-121848064.0,-1.75,454522208.0,6.52
51,2023-02-06,-372843456.0,-4.7,4465392.0,0.06,-377308848.0,-4.76,-17555920.0,-0.22,390399392.0,4.92
52,2023-02-07,-506442656.0,-7.6,-255892704.0,-3.84,-250549952.0,-3.76,-23975040.0,-0.36,530417696.0,7.96
53,2023-02-08,-172370384.0,-3.3,-146005328.0,-2.8,-26365056.0,-0.51,-27927632.0,-0.54,200298016.0,3.84
54,2023-02-09,74109712.0,1.03,73514960.0,1.02,594752.0,0.01,-26048080.0,-0.36,-48061632.0,-0.67
55,2023-02-10,-26076304.0,-0.27,-10467920.0,-0.11,-15608384.0,-0.16,52073712.0,0.54,-25997424.0,-0.27
56,2023-02-13,310375792.0,2.53,87832288.0,0.72,222543504.0,1.82,-115657472.0,-0.94,-194718144.0,-1.59
57,2023-02-14,-679252736.0,-7.56,-288009104.0,-3.21,-391243632.0,-4.35,58434048.0,0.65,620818688.0,6.91
58,2023-02-15,-523069872.0,-7.66,-284515840.0,-4.17,-238554032.0,-3.5,-75202688.0,-1.1,598272576.0,8.77
59,2023-02-16,6342368.0,0.06,47889600.0,0.49,-41547232.0,-0.42,-195968416.0,-1.99,189626048.0,1.92
60,2023-02-17,-284404848.0,-4.15,-85886544.0,-1.25,-198518304.0,-2.9,-3448128.0,-0.05,287852960.0,4.2
61,2023-02-20,268435472.0,4.01,159369760.0,2.38,109065712.0,1.63,-97187504.0,-1.45,-171247968.0,-2.56
62,2023-02-21,-368029328.0,-6.41,-139678352.0,-2.43,-228350976.0,-3.98,79759664.0,1.39,288269664.0,5.02
63,2023-02-22,-304226528.0,-5.11,-163924368.0,-2.75,-140302160.0,-2.36,-50460288.0,-0.85,354686832.0,5.95
64,2023-02-23,-419539779.0,-8.45,-240608771.0,-4.85,-178931008.0,-3.6,-62332096.0,-1.26,481871872.0,9.71
65,2023-02-24,-468428565.0,-9.96,-213520901.0,-4.54,-254907664.0,-5.42,-165564464.0,-3.52,633993024.0,13.48
66,2023-02-27,-52103760.0,-0.8,-101855552.0,-1.56,49751792.0,0.76,148140192.0,2.26,-96036432.0,-1.47
67,2023-02-28,-41013776.0,-0.54,-10249616.0,-0.13,-30764160.0,-0.4,82658256.0,1.08,-41644480.0,-0.54
68,2023-03-01,-298893344.0,-4.18,-57598736.0,-0.81,-241294608.0,-3.38,-36118880.0,-0.51,335012240.0,4.69
69,2023-03-02,-79907456.0,-0.97,100838656.0,1.22,-180746112.0,-2.19,-164811792.0,-1.99,244719264.0,2.96
70,2023-03-03,-161537424.0,-1.96,-46918688.0,-0.57,-114618736.0,-1.39,-75014864.0,-0.91,236552304.0,2.88
71,2023-03-06,-174712352.0,-1.28,87011024.0,0.64,-261723376.0,-1.92,-85537536.0,-0.63,260249840.0,1.91
72,2023-03-07,-925962896.0,-8.99,-497379408.0,-4.83,-428583488.0,-4.16,85473808.0,0.83,840489088.0,8.16
73,2023-03-08,-416531104.0,-5.98,-184277984.0,-2.65,-232253120.0,-3.33,-80914928.0,-1.16,497446032.0,7.14
74,2023-03-09,-747472672.0,-10.31,-369536848.0,-5.1,-377935824.0,-5.21,-104926128.0,-1.45,852398816.0,11.76
75,2023-03-10,-678116464.0,-10.67,-298055648.0,-4.69,-380060816.0,-5.98,-21990480.0,-0.35,700106944.0,11.02
76,2023-03-13,440912.0,0.01,60998032.0,0.8,-60557120.0,-0.8,138910208.0,1.83,-139351120.0,-1.83
77,2023-03-14,-533616816.0,-8.54,-190317008.0,-3.05,-343299808.0,-5.49,23194880.0,0.37,510421920.0,8.17
78,2023-03-15,-476812112.0,-7.65,-179290928.0,-2.88,-297521184.0,-4.77,-50587008.0,-0.81,527399104.0,8.46
79,2023-03-16,-224187168.0,-3.89,-83492800.0,-1.45,-140694368.0,-2.44,13446752.0,0.23,210740416.0,3.65
80,2023-03-17,48449776.0,0.79,103314896.0,1.68,-54865120.0,-0.89,27732320.0,0.45,-76182112.0,-1.24
