,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-848716848.0,-8.05,-483304880.0,-4.58,-365411968.0,-3.46,-86791712.0,-0.82,934895696.0,8.86
1,2022-11-18,-391649312.0,-4.55,-235501776.0,-2.73,-156147536.0,-1.81,-49807904.0,-0.58,441320368.0,5.12
2,2022-11-21,-163778512.0,-2.01,-87210272.0,-1.07,-76568240.0,-0.94,58297728.0,0.72,105361312.0,1.29
3,2022-11-22,-117860608.0,-1.22,-140467872.0,-1.46,22607264.0,0.23,261074224.0,2.71,-143575360.0,-1.49
4,2022-11-23,-7684464.0,-0.08,-125437744.0,-1.32,117753280.0,1.24,214956848.0,2.27,-206215264.0,-2.18
5,2022-11-24,-83869600.0,-0.91,20945040.0,0.23,-104814640.0,-1.14,151181280.0,1.64,-67851360.0,-0.74
6,2022-11-25,-90842656.0,-1.05,-73387040.0,-0.85,-17455616.0,-0.2,23968704.0,0.28,62366496.0,0.72
7,2022-11-28,-476325600.0,-5.44,-192492272.0,-2.2,-283833328.0,-3.24,3178704.0,0.04,474444176.0,5.42
8,2022-11-29,167525904.0,1.41,47664176.0,0.4,119861728.0,1.01,-45706848.0,-0.38,-123095312.0,-1.03
9,2022-11-30,-424074704.0,-4.2,-350362944.0,-3.47,-73711760.0,-0.73,-39419568.0,-0.39,461355088.0,4.57
10,2022-12-01,33811280.0,0.27,148171920.0,1.19,-114360640.0,-0.92,-68916912.0,-0.55,34770144.0,0.28
11,2022-12-02,-452383200.0,-5.15,-323222080.0,-3.68,-129161120.0,-1.47,27374880.0,0.31,425447472.0,4.85
12,2022-12-05,1033240688.0,6.08,1018694560.0,5.99,14546128.0,0.09,-60322560.0,-0.35,-974155008.0,-5.73
13,2022-12-06,-485144128.0,-3.67,-333749232.0,-2.53,-151394896.0,-1.15,143006720.0,1.08,341250512.0,2.58
14,2022-12-07,-620678176.0,-5.72,-381324176.0,-3.52,-239354000.0,-2.21,-9028624.0,-0.08,628630000.0,5.8
15,2022-12-08,-136254624.0,-1.61,-118496960.0,-1.4,-17757664.0,-0.21,-42214624.0,-0.5,177604880.0,2.1
16,2022-12-09,1002293584.0,6.01,892521600.0,5.35,109771984.0,0.66,-44759808.0,-0.27,-958573056.0,-5.75
17,2022-12-12,-738536912.0,-5.79,-540537600.0,-4.24,-197999312.0,-1.55,179853632.0,1.41,556941504.0,4.37
18,2022-12-13,-132719440.0,-1.45,69547488.0,0.76,-202266928.0,-2.21,38289120.0,0.42,94335648.0,1.03
19,2022-12-14,-86778880.0,-1.0,57320512.0,0.66,-144099392.0,-1.66,-19896128.0,-0.23,106686496.0,1.23
20,2022-12-15,-272878272.0,-3.55,-179511248.0,-2.33,-93367024.0,-1.21,-80079152.0,-1.04,352752384.0,4.59
21,2022-12-16,-642750768.0,-8.63,-349097168.0,-4.69,-293653600.0,-3.94,110859872.0,1.49,531859760.0,7.14
22,2022-12-19,-494845936.0,-6.78,-230556192.0,-3.16,-264289744.0,-3.62,-26862896.0,-0.37,521103824.0,7.14
23,2022-12-20,-365483617.0,-6.68,-250794865.0,-4.58,-114688752.0,-2.1,18760640.0,0.34,346564656.0,6.33
24,2022-12-21,-135157376.0,-2.33,-21767040.0,-0.38,-113390336.0,-1.96,-60302192.0,-1.04,195219504.0,3.37
25,2022-12-22,-506767344.0,-7.73,-291557744.0,-4.45,-215209600.0,-3.28,64868112.0,0.99,441190496.0,6.73
26,2022-12-23,-266312768.0,-4.82,-145631680.0,-2.64,-120681088.0,-2.19,42603120.0,0.77,223531952.0,4.05
27,2022-12-26,-188084176.0,-2.63,-181606800.0,-2.54,-6477376.0,-0.09,93150720.0,1.3,95358592.0,1.34
28,2022-12-27,96254816.0,1.21,33665472.0,0.42,62589344.0,0.79,81365424.0,1.02,-177396496.0,-2.23
29,2022-12-28,-258538176.0,-3.46,-126576480.0,-1.7,-131961696.0,-1.77,68345904.0,0.92,190879296.0,2.56
30,2022-12-29,-369667516.0,-6.03,-309891420.0,-5.06,-59776096.0,-0.98,93227040.0,1.52,276633632.0,4.51
