,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,58809816.0,1.98,56695832.0,1.91,2113984.0,0.07,-30241328.0,-1.02,-29562800.0,-1.0
1,2022-11-18,-18989328.0,-0.53,-12513968.0,-0.35,-6475360.0,-0.18,-71346144.0,-2.0,92008560.0,2.58
2,2022-11-21,-94923389.0,-3.98,-47322941.0,-1.98,-47600448.0,-1.99,33055184.0,1.39,63054912.0,2.64
3,2022-11-22,-20621235.0,-0.86,-57100995.0,-2.38,36479760.0,1.52,64340096.0,2.68,-45021904.0,-1.87
4,2022-11-23,-130152415.0,-5.83,-102775503.0,-4.6,-27376912.0,-1.23,35648656.0,1.6,94858144.0,4.25
5,2022-11-24,-102555289.0,-4.02,-3031945.0,-0.12,-99523344.0,-3.9,8404144.0,0.33,93903536.0,3.68
6,2022-11-25,-85957066.0,-4.15,-60108634.0,-2.9,-25848432.0,-1.25,-41971856.0,-2.03,126844864.0,6.13
7,2022-11-28,-75747757.0,-4.04,-49448941.0,-2.63,-26298816.0,-1.4,-19184464.0,-1.02,94258560.0,5.02
8,2022-11-29,43928739.0,1.84,3840883.0,0.16,40087856.0,1.68,-82433968.0,-3.46,38117344.0,1.6
9,2022-11-30,131941386.0,5.06,53519626.0,2.05,78421760.0,3.0,-3750688.0,-0.14,-128756464.0,-4.93
10,2022-12-01,230978054.0,6.82,130680950.0,3.86,100297104.0,2.96,-86933184.0,-2.57,-143886032.0,-4.25
11,2022-12-02,-28442424.0,-1.1,-50156712.0,-1.95,21714288.0,0.84,18112992.0,0.7,10039376.0,0.39
12,2022-12-05,71548402.0,2.59,-3262222.0,-0.12,74810624.0,2.7,-7043504.0,-0.25,-65330896.0,-2.36
13,2022-12-06,24874975.0,0.86,-7350961.0,-0.25,32225936.0,1.12,47515072.0,1.65,-72574336.0,-2.51
14,2022-12-07,-89105480.0,-3.96,-50723720.0,-2.25,-38381760.0,-1.71,7496048.0,0.33,80554048.0,3.58
15,2022-12-08,-63351757.0,-3.17,-54258413.0,-2.72,-9093344.0,-0.46,90196096.0,4.52,-27026880.0,-1.35
16,2022-12-09,-93485660.0,-4.52,-60203612.0,-2.91,-33282048.0,-1.61,29436736.0,1.42,63747536.0,3.08
17,2022-12-12,-151976737.0,-7.61,-60539393.0,-3.03,-91437344.0,-4.58,16674144.0,0.84,134997008.0,6.76
18,2022-12-13,-172524765.0,-8.59,-75884349.0,-3.78,-96640416.0,-4.81,51979424.0,2.59,120089856.0,5.98
19,2022-12-14,-10600576.0,-0.49,-8919216.0,-0.41,-1681360.0,-0.08,-40583648.0,-1.88,51308768.0,2.38
20,2022-12-15,95482280.0,3.64,66423192.0,2.53,29059088.0,1.11,52032672.0,1.98,-147471456.0,-5.62
21,2022-12-16,-10043017.0,-0.49,-10834793.0,-0.53,791776.0,0.04,3394288.0,0.17,6265232.0,0.31
22,2022-12-19,-2217357.0,-0.11,-2394141.0,-0.12,176784.0,0.01,-18548704.0,-0.91,20244672.0,1.0
23,2022-12-20,-77543972.0,-5.22,-29765089.0,-2.01,-47778883.0,-3.22,37189872.0,2.51,40330128.0,2.72
24,2022-12-21,-114196877.0,-6.72,-66011702.0,-3.89,-48185175.0,-2.84,33082640.0,1.95,80946160.0,4.77
25,2022-12-22,-87198967.0,-4.26,-58662311.0,-2.86,-28536656.0,-1.39,63551520.0,3.1,22984800.0,1.12
26,2022-12-23,-90973605.0,-5.71,-49562489.0,-3.11,-41411116.0,-2.6,2332992.0,0.15,88428768.0,5.55
27,2022-12-26,-33741472.0,-2.12,-3985168.0,-0.25,-29756304.0,-1.87,-11473520.0,-0.72,41449152.0,2.61
28,2022-12-27,-66006169.0,-4.09,-23284556.0,-1.44,-42721613.0,-2.64,50162704.0,3.1,15502800.0,0.96
29,2022-12-28,-137498059.0,-8.77,-82540369.0,-5.26,-54957690.0,-3.5,-30850752.0,-1.97,167361024.0,10.67
30,2022-12-29,-448766.0,-0.02,60402.0,0.0,-509168.0,-0.03,-35830512.0,-1.93,34145632.0,1.84
31,2022-12-30,-61008311.0,-4.13,-22385223.0,-1.52,-38623088.0,-2.62,23616752.0,1.6,37282800.0,2.53
32,2023-01-03,63862856.0,3.19,45231560.0,2.26,18631296.0,0.93,14787200.0,0.74,-77925888.0,-3.9
33,2023-01-04,27227446.0,1.56,15175046.0,0.87,12052400.0,0.69,683616.0,0.04,-27389392.0,-1.57
34,2023-01-05,39854316.0,1.59,22085228.0,0.88,17769088.0,0.71,-23648144.0,-0.94,-16837808.0,-0.67
35,2023-01-06,-38415384.0,-1.42,-17514440.0,-0.65,-20900944.0,-0.77,60207104.0,2.23,-22436272.0,-0.83
36,2023-01-09,-33789163.0,-1.29,-37135707.0,-1.42,3346544.0,0.13,-38499664.0,-1.48,72468624.0,2.78
37,2023-01-10,-43025160.0,-2.3,-65020632.0,-3.47,21995472.0,1.17,41458448.0,2.21,741184.0,0.04
38,2023-01-11,13977241.0,0.76,16239929.0,0.88,-2262688.0,-0.12,-21939488.0,-1.2,7077984.0,0.39
39,2023-01-12,172601978.0,7.54,163508234.0,7.14,9093744.0,0.4,-104240208.0,-4.55,-68135936.0,-2.98
40,2023-01-13,-86236450.0,-4.14,-35778290.0,-1.72,-50458160.0,-2.42,26583296.0,1.28,61408048.0,2.95
41,2023-01-16,-66130265.0,-2.99,-5478409.0,-0.25,-60651856.0,-2.75,-56280000.0,-2.55,124112624.0,5.62
42,2023-01-17,-61737494.0,-3.12,-29851574.0,-1.51,-31885920.0,-1.61,44290432.0,2.24,19839184.0,1.0
43,2023-01-18,51280659.0,2.72,3878451.0,0.21,47402208.0,2.51,-18880304.0,-1.0,-22243552.0,-1.18
