,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-150987915.0,-5.7,-76138539.0,-2.88,-74849376.0,-2.83,-58673280.0,-2.22,209661200.0,7.92
1,2022-11-18,-99558974.0,-3.76,-39794542.0,-1.5,-59764432.0,-2.26,-8548800.0,-0.32,108107776.0,4.08
2,2022-11-21,-186316342.0,-8.07,-28416390.0,-1.23,-157899952.0,-6.84,-28965728.0,-1.25,215282064.0,9.32
3,2022-11-22,12393967.0,0.46,12557711.0,0.47,-163744.0,-0.01,4309792.0,0.16,-16703760.0,-0.63
4,2022-11-23,50885329.0,1.82,60646737.0,2.17,-9761408.0,-0.35,-70419968.0,-2.52,19534624.0,0.7
5,2022-11-24,-103769354.0,-3.48,-42795626.0,-1.44,-60973728.0,-2.05,-57572608.0,-1.93,161341968.0,5.42
6,2022-11-25,-29899510.0,-0.99,17816634.0,0.59,-47716144.0,-1.58,29250896.0,0.97,648608.0,0.02
7,2022-11-28,-215571056.0,-8.1,-131611216.0,-4.94,-83959840.0,-3.15,-39739792.0,-1.49,255310848.0,9.59
8,2022-11-29,163317600.0,3.23,99498720.0,1.97,63818880.0,1.26,-36171872.0,-0.72,-127145760.0,-2.52
9,2022-11-30,-253644475.0,-6.25,-127371755.0,-3.14,-126272720.0,-3.11,49013744.0,1.21,204630736.0,5.04
10,2022-12-01,-38227024.0,-1.2,-42522864.0,-1.34,4295840.0,0.14,-10923328.0,-0.34,49150352.0,1.55
11,2022-12-02,26097404.0,0.77,105422604.0,3.09,-79325200.0,-2.33,-121444384.0,-3.56,95346992.0,2.8
12,2022-12-05,240798992.0,4.36,64359984.0,1.17,176439008.0,3.2,-8988688.0,-0.16,-231810304.0,-4.2
13,2022-12-06,-75857509.0,-2.2,-66450853.0,-1.93,-9406656.0,-0.27,-10355984.0,-0.3,86213488.0,2.5
