,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-1615217232.0,-13.49,-1077198160.0,-9.0,-538019072.0,-4.49,72072992.0,0.6,1543144160.0,12.89
1,2022-11-18,-369137232.0,-3.47,-254378272.0,-2.39,-114758960.0,-1.08,-184071968.0,-1.73,553209200.0,5.2
2,2022-11-21,366026064.0,3.28,390272112.0,3.5,-24246048.0,-0.22,-284564816.0,-2.55,-81461232.0,-0.73
3,2022-11-22,-469800240.0,-4.76,-186422864.0,-1.89,-283377376.0,-2.87,-264240.0,-0.0,470064480.0,4.76
4,2022-11-23,-111090448.0,-1.14,68176.0,0.0,-111158624.0,-1.14,-236990672.0,-2.43,348081120.0,3.57
5,2022-11-24,180921584.0,1.95,108259120.0,1.17,72662464.0,0.78,-271049728.0,-2.92,90128144.0,0.97
6,2022-11-25,-1169299568.0,-13.78,-961665376.0,-11.33,-207634192.0,-2.45,-20300960.0,-0.24,1189600512.0,14.02
7,2022-11-28,-737542352.0,-8.78,-457619856.0,-5.44,-279922496.0,-3.33,130478032.0,1.55,607064304.0,7.22
8,2022-11-29,635971280.0,5.19,368501136.0,3.0,267470144.0,2.18,-160143744.0,-1.31,-475827552.0,-3.88
9,2022-11-30,3650989520.0,12.07,3514908624.0,11.62,136080896.0,0.45,-1322742272.0,-4.37,-2328247040.0,-7.7
10,2022-12-01,423170048.0,1.36,452220672.0,1.46,-29050624.0,-0.09,-903379968.0,-2.91,480209920.0,1.55
11,2022-12-02,-1236935808.0,-7.53,-770980144.0,-4.69,-465955664.0,-2.84,88258816.0,0.54,1148676992.0,6.99
12,2022-12-05,-727149152.0,-4.45,-443999408.0,-2.72,-283149744.0,-1.73,349667584.0,2.14,377481520.0,2.31
13,2022-12-06,390467792.0,2.18,319882704.0,1.79,70585088.0,0.39,-127279616.0,-0.71,-263187968.0,-1.47
14,2022-12-07,-216588752.0,-1.11,-184581072.0,-0.95,-32007680.0,-0.16,-106898944.0,-0.55,323487488.0,1.66
15,2022-12-08,-479272768.0,-3.99,-333515712.0,-2.78,-145757056.0,-1.21,-31807184.0,-0.26,511079968.0,4.25
16,2022-12-09,-383739376.0,-3.65,-277868912.0,-2.64,-105870464.0,-1.01,-148697984.0,-1.42,532437344.0,5.07
17,2022-12-12,-1204890880.0,-11.77,-731391984.0,-7.14,-473498896.0,-4.63,195322256.0,1.91,1009568608.0,9.86
18,2022-12-13,-370306256.0,-3.85,-206805664.0,-2.15,-163500592.0,-1.7,-152885680.0,-1.59,523191952.0,5.44
19,2022-12-14,-949930752.0,-9.47,-687121536.0,-6.85,-262809216.0,-2.62,-38248160.0,-0.38,988178912.0,9.86
20,2022-12-15,432343424.0,3.0,432470064.0,3.0,-126640.0,-0.0,-239987968.0,-1.67,-192355408.0,-1.34
21,2022-12-16,-1118338864.0,-11.3,-658769664.0,-6.66,-459569200.0,-4.64,264547728.0,2.67,853791136.0,8.63
22,2022-12-19,-444216352.0,-3.01,-405633792.0,-2.74,-38582560.0,-0.26,37616128.0,0.25,406600192.0,2.75
23,2022-12-20,-1167775680.0,-9.27,-742857872.0,-5.9,-424917808.0,-3.37,159382784.0,1.26,1008393008.0,8.0
24,2022-12-21,-806594528.0,-8.52,-304930784.0,-3.22,-501663744.0,-5.3,-116451936.0,-1.23,923046448.0,9.75
25,2022-12-22,197723808.0,1.61,137147856.0,1.12,60575952.0,0.49,-89182912.0,-0.73,-108540896.0,-0.89
26,2022-12-23,-1453760336.0,-13.84,-647294752.0,-6.16,-806465584.0,-7.68,16571664.0,0.16,1437188672.0,13.68
27,2022-12-26,101332160.0,1.08,-190255728.0,-2.02,291587888.0,3.1,-74594064.0,-0.79,-26738112.0,-0.28
28,2022-12-27,-707263600.0,-8.22,-449904272.0,-5.23,-257359328.0,-2.99,-42687168.0,-0.5,749950768.0,8.72
29,2022-12-28,-2160238592.0,-19.08,-1375070944.0,-12.14,-785167648.0,-6.93,316606688.0,2.8,1843631904.0,16.28
30,2022-12-29,-500400864.0,-5.04,-276880016.0,-2.79,-223520848.0,-2.25,-19855856.0,-0.2,520256704.0,5.24
31,2022-12-30,-242226304.0,-2.49,-75997936.0,-0.78,-166228368.0,-1.71,-72886560.0,-0.75,315112848.0,3.24
32,2023-01-03,-168117616.0,-1.46,-216815584.0,-1.88,48697968.0,0.42,37068096.0,0.32,131049504.0,1.14
33,2023-01-04,-572110528.0,-6.79,-357889984.0,-4.25,-214220544.0,-2.54,233249200.0,2.77,338861344.0,4.02
