,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,16622381.0,1.11,39493133.0,2.64,-22870752.0,-1.53,-35638656.0,-2.39,19149520.0,1.28
1,2022-11-18,-109539918.0,-8.5,-62754023.0,-4.87,-46785895.0,-3.63,16883360.0,1.31,92042464.0,7.14
2,2022-11-21,-64888137.0,-5.06,-33010203.0,-2.57,-31877934.0,-2.49,-20403232.0,-1.59,84797536.0,6.61
3,2022-11-22,80852257.0,4.27,120416337.0,6.37,-39564080.0,-2.09,-25366192.0,-1.34,-56467984.0,-2.99
4,2022-11-23,-59203529.0,-2.56,-71220889.0,-3.07,12017360.0,0.52,45067152.0,1.95,13792528.0,0.6
5,2022-11-24,-90797914.0,-6.28,-22847082.0,-1.58,-67950832.0,-4.7,14718816.0,1.02,75582224.0,5.22
6,2022-11-25,-15296335.0,-1.05,-8091167.0,-0.56,-7205168.0,-0.49,522768.0,0.04,14544864.0,1.0
7,2022-11-28,-39355525.0,-3.0,-31706245.0,-2.42,-7649280.0,-0.58,30188160.0,2.3,9173056.0,0.7
8,2022-11-29,52638144.0,3.29,22911952.0,1.43,29726192.0,1.86,-22331568.0,-1.4,-30800208.0,-1.93
9,2022-11-30,151492810.0,6.06,133199370.0,5.33,18293440.0,0.73,-63406192.0,-2.54,-88503504.0,-3.54
10,2022-12-01,-257830395.0,-10.74,-159649851.0,-6.65,-98180544.0,-4.09,30898848.0,1.29,224769440.0,9.36
11,2022-12-02,-113277615.0,-7.81,-60707007.0,-4.19,-52570608.0,-3.63,22543744.0,1.56,89504160.0,6.17
12,2022-12-05,15465483.0,0.77,-27875077.0,-1.39,43340560.0,2.17,25603648.0,1.28,-42680320.0,-2.13
13,2022-12-06,-24088844.0,-1.24,-28420892.0,-1.47,4332048.0,0.22,-3811984.0,-0.2,27478736.0,1.42
14,2022-12-07,-105614155.0,-5.64,-90859115.0,-4.85,-14755040.0,-0.79,7373536.0,0.39,97925136.0,5.23
15,2022-12-08,-122534775.0,-8.52,-125880823.0,-8.75,3346048.0,0.23,6980608.0,0.49,114943280.0,7.99
16,2022-12-09,-109307939.0,-8.3,-66717107.0,-5.07,-42590832.0,-3.24,-11942048.0,-0.91,121066304.0,9.2
17,2022-12-12,-98702597.0,-8.11,-81665671.0,-6.71,-17036926.0,-1.4,21902352.0,1.8,76558336.0,6.29
18,2022-12-13,-57007388.0,-4.48,-75197548.0,-5.91,18190160.0,1.43,26925328.0,2.12,30224464.0,2.38
19,2022-12-14,-36985448.0,-3.54,-24852530.0,-2.38,-12132918.0,-1.16,-35687456.0,-3.42,72604000.0,6.96
20,2022-12-15,-23090145.0,-2.39,-2023169.0,-0.21,-21066976.0,-2.18,-1032928.0,-0.11,24075824.0,2.49
21,2022-12-16,-60064904.0,-5.75,-41250023.0,-3.95,-18814881.0,-1.8,8405760.0,0.81,51216272.0,4.91
22,2022-12-19,-120269395.0,-11.94,-70892504.0,-7.04,-49376891.0,-4.9,25724896.0,2.55,94268032.0,9.35
23,2022-12-20,-60563292.0,-6.42,-39345438.0,-4.17,-21217854.0,-2.25,-1105152.0,-0.12,61029840.0,6.47
24,2022-12-21,-46274995.0,-4.98,-48552035.0,-5.22,2277040.0,0.24,17536112.0,1.89,28596128.0,3.08
25,2022-12-22,-58159445.0,-6.57,-35777751.0,-4.04,-22381694.0,-2.53,15691936.0,1.77,42288208.0,4.78
26,2022-12-23,-66303323.0,-8.33,-30016649.0,-3.77,-36286674.0,-4.56,6684682.0,0.84,59421398.0,7.47
27,2022-12-26,-17537639.0,-2.47,2672316.0,0.38,-20209955.0,-2.85,-6036827.0,-0.85,23543824.0,3.32
28,2022-12-27,-20124425.0,-2.33,-12990775.0,-1.51,-7133650.0,-0.83,5631200.0,0.65,14284944.0,1.66
29,2022-12-28,-36716362.0,-5.03,1972404.0,0.27,-38688766.0,-5.3,17007211.0,2.33,19648412.0,2.69
30,2022-12-29,-20955582.0,-2.93,-32196916.0,-4.51,11241334.0,1.57,803421.0,0.11,19970500.0,2.79
31,2022-12-30,4734039.0,0.62,10591970.0,1.39,-5857931.0,-0.77,7270511.0,0.95,-12072929.0,-1.58
32,2023-01-03,35183874.0,3.84,24432658.0,2.67,10751216.0,1.17,-11765696.0,-1.28,-23349808.0,-2.55
33,2023-01-04,11139639.0,1.19,13974460.0,1.5,-2834821.0,-0.3,447808.0,0.05,-11845504.0,-1.27
34,2023-01-05,8663623.0,1.2,-3092463.0,-0.43,11756086.0,1.62,-11142107.0,-1.54,2342575.0,0.32
35,2023-01-06,-2479478.0,-0.32,12195089.0,1.55,-14674567.0,-1.87,-21329073.0,-2.72,24025143.0,3.06
36,2023-01-09,16350238.0,2.33,-348133.0,-0.05,16698371.0,2.38,-12359173.0,-1.76,-4335186.0,-0.62
37,2023-01-10,75941020.0,5.96,90108268.0,7.07,-14167248.0,-1.11,-32144384.0,-2.52,-43891008.0,-3.44
38,2023-01-11,-69511013.0,-4.69,-29242645.0,-1.97,-40268368.0,-2.72,3572096.0,0.24,65717968.0,4.43
39,2023-01-12,96786372.0,5.86,70356836.0,4.26,26429536.0,1.6,-27912640.0,-1.69,-68733680.0,-4.16
40,2023-01-13,-55729466.0,-3.64,-42053370.0,-2.74,-13676096.0,-0.89,-895200.0,-0.06,56571856.0,3.69
41,2023-01-16,68854056.0,3.98,21730456.0,1.26,47123600.0,2.72,-67905216.0,-3.92,-761776.0,-0.04
42,2023-01-17,-96303914.0,-7.66,-56167002.0,-4.47,-40136912.0,-3.19,40753424.0,3.24,55504896.0,4.41
43,2023-01-18,-70961036.0,-7.45,-18254062.0,-1.92,-52706974.0,-5.53,7466320.0,0.78,63474910.0,6.66
44,2023-01-19,60254078.0,4.28,52962542.0,3.76,7291536.0,0.52,-32914512.0,-2.34,-27351312.0,-1.94
45,2023-01-20,-66952142.0,-4.84,-42419310.0,-3.06,-24532832.0,-1.77,33857072.0,2.45,33000512.0,2.38
46,2023-01-30,-63768454.0,-3.81,-46168214.0,-2.76,-17600240.0,-1.05,39024432.0,2.33,24711072.0,1.48
47,2023-01-31,-88383635.0,-6.36,-58352915.0,-4.2,-30030720.0,-2.16,37124992.0,2.67,53187904.0,3.83
48,2023-02-01,146126529.0,7.96,195472289.0,10.64,-49345760.0,-2.69,-66773328.0,-3.64,-79323184.0,-4.32
49,2023-02-02,-145715857.0,-7.93,-129280337.0,-7.04,-16435520.0,-0.89,38828304.0,2.11,104505664.0,5.69
50,2023-02-03,-49800715.0,-3.19,-3930155.0,-0.25,-45870560.0,-2.94,10110048.0,0.65,39263120.0,2.51
51,2023-02-06,-46984244.0,-3.06,-48411748.0,-3.16,1427504.0,0.09,15164608.0,0.99,31158352.0,2.03
52,2023-02-07,-37333891.0,-3.04,1970312.0,0.16,-39304203.0,-3.2,38011376.0,3.1,-769984.0,-0.06
53,2023-02-08,-27448786.0,-2.24,-12446530.0,-1.01,-15002256.0,-1.22,25410800.0,2.07,1849936.0,0.15
54,2023-02-09,-31592975.0,-2.67,-16476703.0,-1.39,-15116272.0,-1.28,4541360.0,0.38,27358848.0,2.31
55,2023-02-10,-17215420.0,-1.46,-38222526.0,-3.25,21007106.0,1.79,1423840.0,0.12,15786144.0,1.34
56,2023-02-13,43863051.0,3.64,31403675.0,2.6,12459376.0,1.03,-642576.0,-0.05,-43775632.0,-3.63
57,2023-02-14,-38795437.0,-3.19,-22177165.0,-1.82,-16618272.0,-1.37,-21379328.0,-1.76,59343152.0,4.88
58,2023-02-15,-92072553.0,-8.29,-41813034.0,-3.77,-50259519.0,-4.53,8256112.0,0.74,83738240.0,7.54
59,2023-02-16,-74810774.0,-4.99,-50754790.0,-3.39,-24055984.0,-1.61,19384176.0,1.29,54982112.0,3.67
60,2023-02-17,-93029793.0,-9.59,-36741821.0,-3.79,-56287972.0,-5.81,35879952.0,3.7,56919136.0,5.87
61,2023-02-20,75932142.0,6.17,14491198.0,1.18,61440944.0,4.99,-7367008.0,-0.6,-68665776.0,-5.58
62,2023-02-21,-685307.0,-0.05,-10706299.0,-0.85,10020992.0,0.79,39280000.0,3.1,-38700736.0,-3.06
63,2023-02-22,-8385514.0,-0.92,10623973.0,1.17,-19009487.0,-2.09,-8285344.0,-0.91,16618736.0,1.83
64,2023-02-23,-60516632.0,-7.06,-22035296.0,-2.57,-38481336.0,-4.49,17510864.0,2.04,42864974.0,5.0
65,2023-02-24,403928.0,0.05,4909926.0,0.57,-4505998.0,-0.52,-16268368.0,-1.87,15584302.0,1.8
66,2023-02-27,37313081.0,3.03,13230647.0,1.07,24082434.0,1.96,-28715136.0,-2.33,-8934832.0,-0.73
67,2023-02-28,62644113.0,6.08,24160744.0,2.34,38483369.0,3.73,-20937840.0,-2.03,-41712672.0,-4.05
68,2023-03-01,45226320.0,4.8,35905105.0,3.81,9321215.0,0.99,-14138288.0,-1.5,-30518704.0,-3.24
69,2023-03-02,15795561.0,1.43,9730543.0,0.88,6065018.0,0.55,-30396096.0,-2.74,14458256.0,1.3
70,2023-03-03,13282770.0,1.1,-10456138.0,-0.86,23738908.0,1.96,54678080.0,4.52,-68022608.0,-5.62
71,2023-03-06,-3472422.0,-0.3,-10551280.0,-0.9,7078858.0,0.6,40375024.0,3.44,-37026576.0,-3.15
72,2023-03-07,-31773379.0,-2.18,-4911763.0,-0.34,-26861616.0,-1.84,10192944.0,0.7,21012544.0,1.44
73,2023-03-08,-52830176.0,-5.58,514340.0,0.05,-53344516.0,-5.64,-17038816.0,-1.8,69896544.0,7.38
74,2023-03-09,2748907.0,0.2,-5023957.0,-0.36,7772864.0,0.55,-13548640.0,-0.96,10836576.0,0.77
75,2023-03-10,118524784.0,3.46,201324832.0,5.88,-82800048.0,-2.42,-52281600.0,-1.53,-66067072.0,-1.93
76,2023-03-13,-275290765.0,-10.82,-172212909.0,-6.77,-103077856.0,-4.05,100695408.0,3.96,173727600.0,6.83
77,2023-03-14,-79820786.0,-4.23,-68044434.0,-3.6,-11776352.0,-0.62,624384.0,0.03,78903056.0,4.18
78,2023-03-15,11891239.0,0.82,847783.0,0.06,11043456.0,0.76,7479824.0,0.52,-19478656.0,-1.35
