,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-1146828560.0,-5.74,-373537392.0,-1.87,-773291168.0,-3.87,105025792.0,0.53,1033648640.0,5.17
1,2022-11-18,-501958864.0,-2.64,-222928032.0,-1.17,-279030832.0,-1.47,88264960.0,0.46,413871872.0,2.17
2,2022-11-21,-71595168.0,-0.38,87123728.0,0.47,-158718896.0,-0.85,-207566592.0,-1.11,279585536.0,1.5
3,2022-11-22,-950833600.0,-5.54,-405116432.0,-2.36,-545717168.0,-3.18,249424896.0,1.45,696702976.0,4.06
4,2022-11-23,-131243536.0,-0.8,62253392.0,0.38,-193496928.0,-1.18,142992384.0,0.87,-11301632.0,-0.07
5,2022-11-24,-194531600.0,-1.25,-82301232.0,-0.53,-112230368.0,-0.72,198464256.0,1.27,-6623488.0,-0.04
6,2022-11-25,-731822640.0,-5.03,-461828528.0,-3.17,-269994112.0,-1.85,-68179456.0,-0.47,797524224.0,5.48
7,2022-11-28,-611632320.0,-4.54,-287680416.0,-2.13,-323951904.0,-2.4,44422400.0,0.33,565420800.0,4.2
8,2022-11-29,329006960.0,2.21,203435712.0,1.37,125571248.0,0.84,-310387712.0,-2.09,-20429568.0,-0.14
9,2022-11-30,1103116096.0,4.49,707142720.0,2.88,395973376.0,1.61,-82613248.0,-0.34,-1021269248.0,-4.15
10,2022-12-01,-507369792.0,-2.24,-201568320.0,-0.89,-305801472.0,-1.35,180640256.0,0.8,324140288.0,1.43
11,2022-12-02,-662683344.0,-4.17,-305165472.0,-1.92,-357517872.0,-2.25,-6246400.0,-0.04,663034880.0,4.18
12,2022-12-05,-141262672.0,-0.9,-165226304.0,-1.06,23963632.0,0.15,57841152.0,0.37,79944960.0,0.51
13,2022-12-06,-482033872.0,-2.69,-111651504.0,-0.62,-370382368.0,-2.07,190738944.0,1.07,286788864.0,1.6
14,2022-12-07,-384867440.0,-2.32,-32929232.0,-0.2,-351938208.0,-2.12,112269824.0,0.68,268535808.0,1.62
15,2022-12-08,-136103376.0,-0.96,38370928.0,0.27,-174474304.0,-1.24,-85346304.0,-0.6,222681088.0,1.58
16,2022-12-09,-477274912.0,-3.15,-276045776.0,-1.82,-201229136.0,-1.33,-3586048.0,-0.02,474583808.0,3.13
17,2022-12-12,-230885248.0,-1.81,5130224.0,0.04,-236015472.0,-1.85,-163105664.0,-1.28,394522880.0,3.09
18,2022-12-13,-515861328.0,-3.85,-233521904.0,-1.74,-282339424.0,-2.11,58841600.0,0.44,456029952.0,3.4
19,2022-12-14,-489036784.0,-4.34,-223852128.0,-1.99,-265184656.0,-2.35,37718368.0,0.33,449020928.0,3.99
20,2022-12-15,475476480.0,2.77,303435344.0,1.77,172041136.0,1.0,76627712.0,0.45,-552837632.0,-3.22
21,2022-12-16,-640901184.0,-4.62,-163811168.0,-1.18,-477090016.0,-3.44,-173712640.0,-1.25,812681984.0,5.86
22,2022-12-19,-257364736.0,-1.75,-95291920.0,-0.65,-162072816.0,-1.1,108553216.0,0.74,145453312.0,0.99
23,2022-12-20,-76963312.0,-0.54,66476752.0,0.47,-143440064.0,-1.01,346037248.0,2.44,-268942336.0,-1.89
24,2022-12-21,-443533200.0,-3.65,-293065120.0,-2.41,-150468080.0,-1.24,48837520.0,0.4,392340480.0,3.23
25,2022-12-22,-528208400.0,-4.68,-283307792.0,-2.51,-244900608.0,-2.17,-29877808.0,-0.26,557293568.0,4.94
26,2022-12-23,-754826304.0,-6.96,-205159488.0,-1.89,-549666816.0,-5.07,-167644128.0,-1.55,918348480.0,8.47
27,2022-12-26,-244722544.0,-1.95,-47062864.0,-0.37,-197659680.0,-1.57,-53048320.0,-0.42,295462400.0,2.35
28,2022-12-27,-128297056.0,-1.24,10886448.0,0.11,-139183504.0,-1.35,-114552000.0,-1.11,242964480.0,2.35
29,2022-12-28,-426716096.0,-3.77,-101252288.0,-0.9,-325463808.0,-2.88,-48879824.0,-0.43,475759872.0,4.21
30,2022-12-29,-274336352.0,-2.85,-53457088.0,-0.56,-220879264.0,-2.3,18826896.0,0.2,253305664.0,2.64
31,2022-12-30,164036672.0,1.44,112344656.0,0.98,51692016.0,0.45,-50791840.0,-0.45,-113842688.0,-1.0
32,2023-01-03,-9024288.0,-0.07,79745552.0,0.62,-88769840.0,-0.69,35533312.0,0.27,-29937664.0,-0.23
33,2023-01-04,-122389280.0,-1.02,-105368016.0,-0.88,-17021264.0,-0.14,-8346880.0,-0.07,132050176.0,1.1
34,2023-01-05,819535856.0,4.63,705321216.0,3.99,114214640.0,0.65,-182923008.0,-1.03,-638264832.0,-3.61
35,2023-01-06,121631040.0,0.59,143751488.0,0.7,-22120448.0,-0.11,65285376.0,0.32,-193495040.0,-0.94
36,2023-01-09,-286867024.0,-1.4,-235794800.0,-1.15,-51072224.0,-0.25,-215589120.0,-1.05,500572672.0,2.45
37,2023-01-10,-82865088.0,-0.41,186243888.0,0.93,-269108976.0,-1.34,-132593408.0,-0.66,213104128.0,1.06
38,2023-01-11,-1083408928.0,-6.42,-463939472.0,-2.75,-619469456.0,-3.67,115956480.0,0.69,972831232.0,5.77
39,2023-01-12,-220071376.0,-1.43,-189980592.0,-1.24,-30090784.0,-0.2,-93649664.0,-0.61,310494208.0,2.02
40,2023-01-13,-328274400.0,-2.04,-76075200.0,-0.47,-252199200.0,-1.57,-88869120.0,-0.55,417274368.0,2.59
41,2023-01-16,-696349600.0,-3.79,-242210592.0,-1.32,-454139008.0,-2.47,129140480.0,0.7,567780096.0,3.09
42,2023-01-17,-206948432.0,-1.42,-73615152.0,-0.51,-133333280.0,-0.92,29168384.0,0.2,179635456.0,1.24
43,2023-01-18,-381145056.0,-2.69,-290081232.0,-2.05,-91063824.0,-0.64,-20645376.0,-0.15,399998976.0,2.82
44,2023-01-19,-610255920.0,-4.59,-210870656.0,-1.59,-399385264.0,-3.01,-4664576.0,-0.04,615234048.0,4.63
45,2023-01-20,-168013408.0,-1.16,-203327472.0,-1.4,35314064.0,0.24,86317824.0,0.6,85524992.0,0.59
46,2023-01-30,556679456.0,2.03,1086286368.0,3.96,-529606912.0,-1.93,-502934272.0,-1.83,-48178688.0,-0.18
47,2023-01-31,-760402464.0,-2.86,-368231456.0,-1.39,-392171008.0,-1.48,-24127744.0,-0.09,808182016.0,3.04
48,2023-02-01,217164960.0,0.75,198836128.0,0.69,18328832.0,0.06,9689344.0,0.03,-231049728.0,-0.8
49,2023-02-02,-708985392.0,-2.73,-192838704.0,-0.74,-516146688.0,-1.99,125422592.0,0.48,575950336.0,2.22
50,2023-02-03,-1006373104.0,-4.42,-249826128.0,-1.1,-756546976.0,-3.32,-211719936.0,-0.93,1219337984.0,5.35
51,2023-02-06,-485318912.0,-2.17,-148211712.0,-0.66,-337107200.0,-1.5,-196187136.0,-0.88,682151680.0,3.04
52,2023-02-07,-134138560.0,-0.57,-57010624.0,-0.24,-77127936.0,-0.33,16149760.0,0.07,117359872.0,0.5
53,2023-02-08,-460928784.0,-1.98,-73736976.0,-0.32,-387191808.0,-1.67,-17914112.0,-0.08,479667712.0,2.06
54,2023-02-09,-910358416.0,-3.23,-400685200.0,-1.42,-509673216.0,-1.81,-191732224.0,-0.68,1103060736.0,3.92
55,2023-02-10,-1446287568.0,-6.56,-873846704.0,-3.96,-572440864.0,-2.59,-173014272.0,-0.78,1616311808.0,7.33
56,2023-02-13,-117043344.0,-0.51,-57974160.0,-0.25,-59069184.0,-0.26,-325843712.0,-1.42,442343936.0,1.93
57,2023-02-14,-1160639072.0,-5.65,-538972128.0,-2.62,-621666944.0,-3.02,-69025280.0,-0.34,1230114560.0,5.98
58,2023-02-15,-770924192.0,-3.63,-233932960.0,-1.1,-536991232.0,-2.53,177405184.0,0.84,596397824.0,2.81
59,2023-02-16,-1661224864.0,-6.3,-649298592.0,-2.46,-1011926272.0,-3.84,-105538816.0,-0.4,1771067392.0,6.71
60,2023-02-17,-919204064.0,-4.96,-388172096.0,-2.1,-531031968.0,-2.87,64401408.0,0.35,854609152.0,4.61
61,2023-02-20,167607712.0,0.74,273880992.0,1.21,-106273280.0,-0.47,64564480.0,0.29,-228740608.0,-1.01
62,2023-02-21,81322976.0,0.32,-21868064.0,-0.09,103191040.0,0.4,-12854784.0,-0.05,-80751616.0,-0.31
63,2023-02-22,-677543760.0,-2.84,-212949072.0,-0.89,-464594688.0,-1.95,222743040.0,0.93,452908288.0,1.9
64,2023-02-23,7363264.0,0.03,30688192.0,0.12,-23324928.0,-0.09,160610560.0,0.63,-186501632.0,-0.73
65,2023-02-24,-1134073776.0,-4.79,-530052784.0,-2.24,-604020992.0,-2.55,49958400.0,0.21,1080407552.0,4.57
66,2023-02-27,-938113472.0,-4.53,-355200080.0,-1.71,-582913392.0,-2.81,125928448.0,0.61,794335488.0,3.83
67,2023-02-28,39079120.0,0.21,311451088.0,1.65,-272371968.0,-1.45,-577529600.0,-3.06,531134720.0,2.82
68,2023-03-01,288126160.0,1.33,-129586192.0,-0.6,417712352.0,1.93,-367011840.0,-1.69,68484096.0,0.32
69,2023-03-02,-2173056336.0,-8.5,-1296243792.0,-5.07,-876812544.0,-3.43,41049856.0,0.16,2128766720.0,8.33
70,2023-03-03,-664903584.0,-3.79,-293634544.0,-1.68,-371269040.0,-2.12,-94273792.0,-0.54,747626240.0,4.27
71,2023-03-06,-1258380992.0,-6.52,-622413440.0,-3.23,-635967552.0,-3.3,247218176.0,1.28,1009263872.0,5.23
72,2023-03-07,-1363463152.0,-7.79,-455931232.0,-2.61,-907531920.0,-5.19,-74174976.0,-0.42,1430317568.0,8.17
73,2023-03-08,-546156720.0,-4.15,-251350496.0,-1.91,-294806224.0,-2.24,-5059840.0,-0.04,546209536.0,4.15
74,2023-03-09,-515778976.0,-3.7,-329265312.0,-2.36,-186513664.0,-1.34,-79946752.0,-0.57,596126976.0,4.28
75,2023-03-10,-1927462608.0,-9.22,-901208336.0,-4.31,-1026254272.0,-4.91,-8866048.0,-0.04,1933165568.0,9.25
76,2023-03-13,-1202704688.0,-6.78,-566249088.0,-3.19,-636455600.0,-3.59,-7432960.0,-0.04,1209189376.0,6.82
77,2023-03-14,-1083318560.0,-5.77,-328111840.0,-1.75,-755206720.0,-4.02,-52574976.0,-0.28,1130604032.0,6.02
78,2023-03-15,-86250096.0,-0.61,15015504.0,0.11,-101265600.0,-0.71,-19266816.0,-0.14,104036352.0,0.73
79,2023-03-16,-837002816.0,-6.56,-342901456.0,-2.69,-494101360.0,-3.87,-15069952.0,-0.12,838107904.0,6.57
80,2023-03-17,-468592176.0,-3.53,-219521472.0,-1.65,-249070704.0,-1.87,-12536576.0,-0.09,473295872.0,3.56
81,2023-03-20,-402568688.0,-2.59,-157152576.0,-1.01,-245416112.0,-1.58,156277760.0,1.01,234915584.0,1.51
82,2023-03-21,605749376.0,3.48,242876816.0,1.4,362872560.0,2.09,254372096.0,1.46,-854451712.0,-4.91
83,2023-03-22,-438964128.0,-2.48,-193349664.0,-1.09,-245614464.0,-1.39,93611264.0,0.53,344697600.0,1.95
84,2023-03-23,-739519840.0,-5.38,-384891888.0,-2.8,-354627952.0,-2.58,-40181760.0,-0.29,777814016.0,5.66
85,2023-03-24,-171996512.0,-1.11,-92174480.0,-0.6,-79822032.0,-0.52,-149279488.0,-0.97,323819264.0,2.1
86,2023-03-27,-316695360.0,-1.98,-116909984.0,-0.73,-199785376.0,-1.25,145347584.0,0.91,168541440.0,1.05
87,2023-03-28,-322489456.0,-2.03,-67578960.0,-0.42,-254910496.0,-1.6,-16613120.0,-0.1,338425088.0,2.13
88,2023-03-29,51331936.0,0.3,124685600.0,0.72,-73353664.0,-0.42,242033664.0,1.4,-293881088.0,-1.7
89,2023-03-30,-424774416.0,-2.9,-55531664.0,-0.38,-369242752.0,-2.52,-176489984.0,-1.2,596049408.0,4.06
90,2023-03-31,-150168544.0,-0.96,-58075792.0,-0.37,-92092752.0,-0.59,-16436736.0,-0.1,163862528.0,1.04
91,2023-04-03,-713627424.0,-3.88,-185929664.0,-1.01,-527697760.0,-2.87,-29794816.0,-0.16,742543872.0,4.03
92,2023-04-04,-1457608176.0,-7.3,-514548928.0,-2.58,-943059248.0,-4.72,-1463552.0,-0.01,1453534720.0,7.28
93,2023-04-06,-879765952.0,-5.88,-360320128.0,-2.41,-519445824.0,-3.47,-280021248.0,-1.87,1158108672.0,7.74
94,2023-04-07,-120900400.0,-0.95,-72761504.0,-0.57,-48138896.0,-0.38,-66901808.0,-0.53,188261632.0,1.49
95,2023-04-10,-661898992.0,-4.21,-280086864.0,-1.78,-381812128.0,-2.43,217205760.0,1.38,442530560.0,2.81
96,2023-04-11,-392783456.0,-3.21,-113116096.0,-0.92,-279667360.0,-2.29,-21453920.0,-0.18,413511424.0,3.38
97,2023-04-12,-505970976.0,-4.19,-268351760.0,-2.22,-237619216.0,-1.97,229381104.0,1.9,275101952.0,2.28
98,2023-04-13,-817350976.0,-6.12,-431794016.0,-3.23,-385556960.0,-2.89,-75631872.0,-0.57,891363584.0,6.68
99,2023-04-14,27140880.0,0.2,-13019968.0,-0.09,40160848.0,0.29,-4699648.0,-0.03,-23592448.0,-0.17
100,2023-04-17,-37671152.0,-0.27,32552864.0,0.23,-70224016.0,-0.5,89885440.0,0.64,-53607936.0,-0.38
