,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-284484432.0,-1.54,-393865616.0,-2.14,109381184.0,0.59,-163557376.0,-0.89,450793984.0,2.44
1,2022-11-18,-1088708240.0,-6.0,-469901808.0,-2.59,-618806432.0,-3.41,421015040.0,2.32,655551488.0,3.61
2,2022-11-21,-293288528.0,-1.88,92121584.0,0.59,-385410112.0,-2.48,-223965440.0,-1.44,518009856.0,3.33
3,2022-11-22,-764276944.0,-4.94,-377432448.0,-2.44,-386844496.0,-2.5,-15235840.0,-0.1,771753216.0,4.99
4,2022-11-23,-885640688.0,-6.31,-401958800.0,-2.86,-483681888.0,-3.45,54819840.0,0.39,827355904.0,5.9
5,2022-11-24,-328883888.0,-2.95,170705760.0,1.53,-499589648.0,-4.49,-118174976.0,-1.06,445527872.0,4.0
6,2022-11-25,-965926592.0,-8.11,-438806336.0,-3.68,-527120256.0,-4.42,-47103568.0,-0.4,1011768768.0,8.49
7,2022-11-28,-419399520.0,-3.6,-150859728.0,-1.3,-268539792.0,-2.31,-7768624.0,-0.07,424919856.0,3.65
8,2022-11-29,191792512.0,1.51,204325760.0,1.61,-12533248.0,-0.1,-116171776.0,-0.91,-76784128.0,-0.6
9,2022-11-30,-89713376.0,-0.67,-210894288.0,-1.57,121180912.0,0.9,65867520.0,0.49,23979264.0,0.18
10,2022-12-01,-493650592.0,-2.95,-229465984.0,-1.37,-264184608.0,-1.58,192856320.0,1.15,304311296.0,1.82
11,2022-12-02,-514285424.0,-3.94,-181372272.0,-1.39,-332913152.0,-2.55,5565952.0,0.04,506292848.0,3.88
12,2022-12-05,-481719296.0,-2.57,-144838912.0,-0.77,-336880384.0,-1.8,251218176.0,1.34,226919424.0,1.21
13,2022-12-06,-147252816.0,-0.82,-117159120.0,-0.65,-30093696.0,-0.17,53470720.0,0.3,91658240.0,0.51
14,2022-12-07,-892582384.0,-6.55,-291576000.0,-2.14,-601006384.0,-4.41,142964992.0,1.05,748436176.0,5.49
15,2022-12-08,-829015392.0,-7.3,-389305760.0,-3.43,-439709632.0,-3.87,70799216.0,0.62,759521888.0,6.68
16,2022-12-09,-518761504.0,-4.64,-219706672.0,-1.97,-299054832.0,-2.68,94204592.0,0.84,423857264.0,3.79
17,2022-12-12,143983408.0,0.92,109786944.0,0.7,34196464.0,0.22,34823936.0,0.22,-181552640.0,-1.16
18,2022-12-13,-1054387056.0,-9.19,-480179520.0,-4.19,-574207536.0,-5.0,238061088.0,2.07,815615648.0,7.11
19,2022-12-14,-863871904.0,-7.3,-453726800.0,-3.83,-410145104.0,-3.46,102008496.0,0.86,761321536.0,6.43
20,2022-12-15,356036944.0,2.77,184588544.0,1.43,171448400.0,1.33,-78592768.0,-0.61,-278657248.0,-2.17
21,2022-12-16,-994497920.0,-9.66,-462358624.0,-4.49,-532139296.0,-5.17,-62006480.0,-0.6,1053282208.0,10.23
22,2022-12-19,-829380288.0,-8.0,-339147808.0,-3.27,-490232480.0,-4.73,42085472.0,0.41,786166256.0,7.58
23,2022-12-20,3572336.0,0.03,100276800.0,0.91,-96704464.0,-0.88,-186345952.0,-1.69,181848368.0,1.65
24,2022-12-21,-798189728.0,-8.6,-509060032.0,-5.48,-289129696.0,-3.11,231317168.0,2.49,565515360.0,6.09
25,2022-12-22,-204706096.0,-2.06,-216188960.0,-2.18,11482864.0,0.12,-102439920.0,-1.03,306288464.0,3.08
26,2022-12-23,-409996608.0,-5.29,-83879872.0,-1.08,-326116736.0,-4.21,-84641792.0,-1.09,493846064.0,6.37
27,2022-12-26,300523248.0,3.2,161615232.0,1.72,138908016.0,1.48,-67397248.0,-0.72,-233546608.0,-2.49
28,2022-12-27,298431856.0,3.43,505307168.0,5.8,-206875312.0,-2.38,-272284688.0,-3.13,-26708720.0,-0.31
29,2022-12-28,-901725264.0,-10.04,-470547360.0,-5.24,-431177904.0,-4.8,179540624.0,2.0,722130368.0,8.04
30,2022-12-29,-277026080.0,-3.29,-108775040.0,-1.29,-168251040.0,-2.0,24436432.0,0.29,252291488.0,2.99
31,2022-12-30,-205389056.0,-2.69,-108022512.0,-1.41,-97366544.0,-1.27,32701568.0,0.43,172148544.0,2.25
32,2023-01-03,222839088.0,1.87,140010608.0,1.18,82828480.0,0.7,-146049392.0,-1.23,-76731040.0,-0.65
33,2023-01-04,-1243703984.0,-7.97,-660347392.0,-4.23,-583356592.0,-3.74,193664256.0,1.24,1050246912.0,6.73
34,2023-01-05,2216228464.0,11.57,2133453808.0,11.14,82774656.0,0.43,-874846720.0,-4.57,-1342218496.0,-7.01
35,2023-01-06,-1319738944.0,-7.81,-1065001216.0,-6.3,-254737728.0,-1.51,251771392.0,1.49,1067558656.0,6.32
36,2023-01-09,-308990608.0,-2.2,-136174640.0,-0.97,-172815968.0,-1.23,-158464.0,-0.0,308305408.0,2.19
37,2023-01-10,-196039728.0,-1.56,-108700560.0,-0.86,-87339168.0,-0.69,-103446336.0,-0.82,299048704.0,2.38
38,2023-01-11,-500353472.0,-3.59,-56571168.0,-0.41,-443782304.0,-3.18,-56406784.0,-0.4,556488768.0,3.99
39,2023-01-12,-297797552.0,-2.03,-2873680.0,-0.02,-294923872.0,-2.01,-165740032.0,-1.13,463304112.0,3.16
40,2023-01-13,-846657472.0,-7.2,-560360592.0,-4.77,-286296880.0,-2.44,-73949552.0,-0.63,920871904.0,7.84
41,2023-01-16,273099744.0,1.58,315126128.0,1.82,-42026384.0,-0.24,-218648064.0,-1.26,-54978816.0,-0.32
42,2023-01-17,-282522368.0,-1.86,-202587344.0,-1.34,-79935024.0,-0.53,142811904.0,0.94,140009216.0,0.92
43,2023-01-18,-277917024.0,-2.51,-63596592.0,-0.57,-214320432.0,-1.93,-120400416.0,-1.09,398490064.0,3.59
44,2023-01-19,221583104.0,1.95,195808192.0,1.73,25774912.0,0.23,-303459440.0,-2.68,81706000.0,0.72
45,2023-01-20,-233917952.0,-2.12,-25392640.0,-0.23,-208525312.0,-1.89,51402320.0,0.47,183116048.0,1.66
46,2023-01-30,999752192.0,4.08,984078080.0,4.02,15674112.0,0.06,-299425280.0,-1.22,-700096256.0,-2.86
47,2023-01-31,-590882608.0,-3.12,-384529200.0,-2.03,-206353408.0,-1.09,178460928.0,0.94,423442432.0,2.24
48,2023-02-01,-199862048.0,-1.05,-160071712.0,-0.84,-39790336.0,-0.21,276766720.0,1.45,-82903808.0,-0.43
49,2023-02-02,-866618816.0,-4.57,-547307840.0,-2.88,-319310976.0,-1.68,284741632.0,1.5,571122688.0,3.01
50,2023-02-03,283865488.0,1.32,538113424.0,2.5,-254247936.0,-1.18,-313210368.0,-1.45,26438912.0,0.12
51,2023-02-06,-1384776096.0,-6.2,-1040762528.0,-4.66,-344013568.0,-1.54,596048896.0,2.67,785381888.0,3.52
52,2023-02-07,-604598208.0,-3.24,-300493312.0,-1.61,-304104896.0,-1.63,114472960.0,0.61,489243392.0,2.62
53,2023-02-08,-1049169296.0,-6.2,-413350624.0,-2.44,-635818672.0,-3.76,7798272.0,0.05,1041824256.0,6.15
54,2023-02-09,810357184.0,3.83,596354496.0,2.82,214002688.0,1.01,-342416896.0,-1.62,-468349696.0,-2.22
55,2023-02-10,-802731952.0,-4.2,-426063280.0,-2.23,-376668672.0,-1.97,-133499136.0,-0.7,935897600.0,4.89
56,2023-02-13,-218824560.0,-1.12,-34192496.0,-0.17,-184632064.0,-0.94,-51670528.0,-0.26,271153920.0,1.38
57,2023-02-14,-866253280.0,-4.96,-341117328.0,-1.95,-525135952.0,-3.0,100979712.0,0.58,762345728.0,4.36
58,2023-02-15,-40334288.0,-0.21,240757392.0,1.27,-281091680.0,-1.49,-11207936.0,-0.06,50571776.0,0.27
59,2023-02-16,-1217728400.0,-4.83,-755773840.0,-3.0,-461954560.0,-1.83,234829056.0,0.93,980320000.0,3.89
60,2023-02-17,-1917667616.0,-10.36,-915418384.0,-4.95,-1002249232.0,-5.42,130365184.0,0.7,1786237184.0,9.65
61,2023-02-20,-561170864.0,-3.41,-158569136.0,-0.96,-402601728.0,-2.44,59211264.0,0.36,502021632.0,3.05
62,2023-02-21,-614292320.0,-4.04,-246962656.0,-1.62,-367329664.0,-2.41,154333952.0,1.01,459566080.0,3.02
63,2023-02-22,-795351264.0,-5.86,-371061440.0,-2.73,-424289824.0,-3.13,24188160.0,0.18,771080880.0,5.68
64,2023-02-23,-372633024.0,-2.41,-6216080.0,-0.04,-366416944.0,-2.37,-34715648.0,-0.22,405419520.0,2.62
65,2023-02-24,-686160592.0,-5.04,-438010544.0,-3.22,-248150048.0,-1.82,80367872.0,0.59,605793536.0,4.45
66,2023-02-27,-1277303744.0,-8.77,-520465248.0,-3.57,-756838496.0,-5.2,-143758080.0,-0.99,1420659200.0,9.75
67,2023-02-28,56595856.0,0.38,132702912.0,0.88,-76107056.0,-0.51,-70788864.0,-0.47,13581568.0,0.09
68,2023-03-01,788044528.0,4.51,604524624.0,3.46,183519904.0,1.05,-360910080.0,-2.07,-427364096.0,-2.45
69,2023-03-02,-854695904.0,-4.91,-567779504.0,-3.26,-286916400.0,-1.65,-50224896.0,-0.29,904566016.0,5.2
70,2023-03-03,-387895200.0,-2.3,-198529680.0,-1.18,-189365520.0,-1.12,-328883200.0,-1.95,716401664.0,4.25
71,2023-03-06,-329944848.0,-1.88,-137166160.0,-0.78,-192778688.0,-1.1,29784320.0,0.17,299419648.0,1.71
