,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,710473792.0,4.35,650422544.0,3.98,60051248.0,0.37,-424743680.0,-2.6,-285730048.0,-1.75
1,2022-11-18,-411460848.0,-2.19,-100234224.0,-0.53,-311226624.0,-1.66,226163968.0,1.2,185296896.0,0.99
2,2022-11-21,-567879024.0,-5.42,-312742096.0,-2.98,-255136928.0,-2.43,-133083472.0,-1.27,700962480.0,6.69
3,2022-11-22,-275588816.0,-3.58,-12860672.0,-0.17,-262728144.0,-3.41,19531456.0,0.25,256057344.0,3.32
4,2022-11-23,-349183776.0,-4.83,-191774048.0,-2.65,-157409728.0,-2.18,54869632.0,0.76,294314128.0,4.07
5,2022-11-24,-379448406.0,-8.1,-181190262.0,-3.87,-198258144.0,-4.23,108975232.0,2.33,270473152.0,5.77
6,2022-11-25,9243104.0,0.19,21599248.0,0.44,-12356144.0,-0.25,-34139952.0,-0.7,24896848.0,0.51
7,2022-11-28,-205134256.0,-4.23,-33289648.0,-0.69,-171844608.0,-3.54,-85812000.0,-1.77,290946240.0,6.0
8,2022-11-29,-52278720.0,-0.85,-60732128.0,-0.99,8453408.0,0.14,-11761936.0,-0.19,64040656.0,1.04
9,2022-11-30,17310032.0,0.26,49794272.0,0.76,-32484240.0,-0.5,1594320.0,0.02,-18904368.0,-0.29
10,2022-12-01,-90831040.0,-1.52,16188496.0,0.27,-107019536.0,-1.79,-60615008.0,-1.01,151446064.0,2.53
11,2022-12-02,31098320.0,0.62,120964144.0,2.4,-89865824.0,-1.78,-84250640.0,-1.67,53152336.0,1.05
12,2022-12-05,-214796144.0,-3.16,-45598576.0,-0.67,-169197568.0,-2.49,11323024.0,0.17,203473152.0,2.99
13,2022-12-06,-500054311.0,-9.35,-219965527.0,-4.11,-280088784.0,-5.23,17657792.0,0.33,482396512.0,9.02
14,2022-12-07,-124345120.0,-2.54,23327424.0,0.48,-147672544.0,-3.02,8056576.0,0.16,116288544.0,2.38
15,2022-12-08,-331214784.0,-6.39,-115809216.0,-2.23,-215405568.0,-4.16,96549792.0,1.86,234665008.0,4.53
16,2022-12-09,-240427339.0,-4.58,-79210699.0,-1.51,-161216640.0,-3.07,-53804800.0,-1.02,294232128.0,5.6
17,2022-12-12,-383675212.0,-8.66,-175408604.0,-3.96,-208266608.0,-4.7,16725424.0,0.38,366949776.0,8.28
18,2022-12-13,-74806288.0,-1.49,-8885376.0,-0.18,-65920912.0,-1.31,28179696.0,0.56,46626560.0,0.93
19,2022-12-14,-154360016.0,-3.37,-81474192.0,-1.78,-72885824.0,-1.59,64453232.0,1.41,89906768.0,1.96
20,2022-12-15,-181359136.0,-3.78,-64596240.0,-1.35,-116762896.0,-2.43,17553328.0,0.37,163805824.0,3.41
21,2022-12-16,-371235269.0,-9.41,-199072053.0,-5.04,-172163216.0,-4.36,-31917808.0,-0.81,403153072.0,10.22
22,2022-12-19,-222156816.0,-5.93,-47778240.0,-1.28,-174378576.0,-4.66,-8492416.0,-0.23,230649216.0,6.16
23,2022-12-20,-246083188.0,-7.0,-110606692.0,-3.15,-135476496.0,-3.85,17045664.0,0.49,229037536.0,6.52
24,2022-12-21,-163533793.0,-5.75,-93980049.0,-3.3,-69553744.0,-2.44,62135296.0,2.18,101398496.0,3.56
25,2022-12-22,-29344398.0,-0.69,-8706734.0,-0.2,-20637664.0,-0.48,30447728.0,0.71,-1103328.0,-0.03
26,2022-12-23,-7690530.0,-0.17,-9969058.0,-0.23,2278528.0,0.05,14667424.0,0.33,-6976880.0,-0.16
27,2022-12-26,-82268012.0,-2.21,-4777276.0,-0.13,-77490736.0,-2.08,50174448.0,1.35,32093552.0,0.86
28,2022-12-27,-255705505.0,-6.63,-121333953.0,-3.15,-134371552.0,-3.48,90500160.0,2.35,165205328.0,4.28
29,2022-12-28,-18322402.0,-0.43,34102270.0,0.81,-52424672.0,-1.24,-57651040.0,-1.37,75973456.0,1.8
30,2022-12-29,-227433344.0,-3.24,-69702768.0,-0.99,-157730576.0,-2.25,60287472.0,0.86,167145872.0,2.38
31,2022-12-30,194947024.0,2.69,206508048.0,2.85,-11561024.0,-0.16,-111374240.0,-1.54,-83572784.0,-1.15
32,2023-01-03,73139088.0,0.99,37066272.0,0.5,36072816.0,0.49,3605840.0,0.05,-76744896.0,-1.04
33,2023-01-04,142471488.0,1.44,133210672.0,1.35,9260816.0,0.09,49742176.0,0.5,-192213664.0,-1.95
34,2023-01-05,-504855568.0,-5.26,-335145744.0,-3.49,-169709824.0,-1.77,-13064000.0,-0.14,517919552.0,5.4
35,2023-01-06,-234732736.0,-3.72,-115056496.0,-1.82,-119676240.0,-1.9,-88853328.0,-1.41,323586064.0,5.13
36,2023-01-09,103484432.0,1.78,40995968.0,0.71,62488464.0,1.08,15185856.0,0.26,-118670288.0,-2.04
37,2023-01-10,204193152.0,3.22,170554224.0,2.69,33638928.0,0.53,-31351056.0,-0.49,-172842112.0,-2.72
38,2023-01-11,-625013408.0,-10.42,-305597520.0,-5.09,-319415888.0,-5.32,98076192.0,1.63,526937200.0,8.78
39,2023-01-12,-185372677.0,-3.91,-88879733.0,-1.87,-96492944.0,-2.03,-116323296.0,-2.45,301695968.0,6.36
40,2023-01-13,-17595382.0,-0.45,-5951590.0,-0.15,-11643792.0,-0.3,-1440.0,-0.0,17596816.0,0.45
41,2023-01-16,-140003952.0,-2.8,-138576288.0,-2.77,-1427664.0,-0.03,52271072.0,1.04,87732880.0,1.75
42,2023-01-17,-190757190.0,-4.32,-54663126.0,-1.24,-136094064.0,-3.08,-4359424.0,-0.1,195116608.0,4.41
43,2023-01-18,113157808.0,1.41,78199424.0,0.97,34958384.0,0.44,-8173696.0,-0.1,-104984112.0,-1.31
44,2023-01-19,114469120.0,2.16,142236640.0,2.68,-27767520.0,-0.52,-46823488.0,-0.88,-67645632.0,-1.27
45,2023-01-20,-255573683.0,-5.55,-119856515.0,-2.6,-135717168.0,-2.95,64441808.0,1.4,191131872.0,4.15
46,2023-01-30,-457130080.0,-6.08,-180526464.0,-2.4,-276603616.0,-3.68,101049600.0,1.34,356080496.0,4.73
47,2023-01-31,-74050032.0,-1.17,-27817808.0,-0.44,-46232224.0,-0.73,8985312.0,0.14,65064720.0,1.03
48,2023-02-01,446721600.0,5.11,312252608.0,3.57,134468992.0,1.54,-83884112.0,-0.96,-362837504.0,-4.15
49,2023-02-02,428128.0,0.0,56689856.0,0.48,-56261728.0,-0.48,70639472.0,0.6,-71067600.0,-0.6
50,2023-02-03,399021968.0,4.15,343818656.0,3.58,55203312.0,0.57,-154045632.0,-1.6,-244976336.0,-2.55
51,2023-02-06,548163792.0,4.46,333414352.0,2.71,214749440.0,1.75,-80353664.0,-0.65,-467810144.0,-3.81
52,2023-02-07,480522080.0,3.55,281142704.0,2.07,199379376.0,1.47,-196626432.0,-1.45,-283895728.0,-2.09
53,2023-02-08,-1311023312.0,-9.97,-860517856.0,-6.54,-450505456.0,-3.42,263417440.0,2.0,1047605872.0,7.96
54,2023-02-09,217958976.0,1.7,262387248.0,2.04,-44428272.0,-0.35,-78039392.0,-0.61,-139919600.0,-1.09
55,2023-02-10,-550305232.0,-3.31,-181471744.0,-1.09,-368833488.0,-2.22,192045824.0,1.15,358259488.0,2.15
56,2023-02-13,257462608.0,1.6,150016368.0,0.93,107446240.0,0.67,-107302656.0,-0.67,-150159968.0,-0.93
57,2023-02-14,-866115280.0,-6.48,-321973792.0,-2.41,-544141488.0,-4.07,122533872.0,0.92,743581408.0,5.56
58,2023-02-15,61797312.0,0.37,-66629440.0,-0.4,128426752.0,0.77,-100915200.0,-0.6,39117968.0,0.23
59,2023-02-16,-388451664.0,-1.46,354053040.0,1.33,-742504704.0,-2.79,-135054080.0,-0.51,523505664.0,1.97
60,2023-02-17,-676443744.0,-3.28,43147424.0,0.21,-719591168.0,-3.49,-48815104.0,-0.24,725258752.0,3.51
61,2023-02-20,36728912.0,0.16,97134416.0,0.42,-60405504.0,-0.26,281758464.0,1.22,-318487552.0,-1.38
62,2023-02-21,-968894800.0,-5.37,-204352048.0,-1.13,-764542752.0,-4.24,-43677952.0,-0.24,1012572928.0,5.61
63,2023-02-22,-494179152.0,-4.03,-268666192.0,-2.19,-225512960.0,-1.84,-235039168.0,-1.92,729218320.0,5.95
64,2023-02-23,-316865520.0,-2.62,-96549248.0,-0.8,-220316272.0,-1.82,-145265568.0,-1.2,462131088.0,3.82
65,2023-02-24,-301917472.0,-2.9,-258501632.0,-2.48,-43415840.0,-0.42,89007232.0,0.85,212910240.0,2.04
66,2023-02-27,-678297744.0,-6.7,-413577232.0,-4.08,-264720512.0,-2.61,-40436192.0,-0.4,718733936.0,7.1
67,2023-02-28,-590525888.0,-6.26,-389794368.0,-4.14,-200731520.0,-2.13,21553648.0,0.23,568972224.0,6.04
68,2023-03-01,401962272.0,2.88,446595968.0,3.21,-44633696.0,-0.32,23729408.0,0.17,-425691920.0,-3.06
69,2023-03-02,443638176.0,2.68,710376208.0,4.3,-266738032.0,-1.61,-263768320.0,-1.6,-179869952.0,-1.09
70,2023-03-03,-885634816.0,-6.63,-574952544.0,-4.31,-310682272.0,-2.33,272335136.0,2.04,613299728.0,4.59
71,2023-03-06,-332317200.0,-3.28,-172488672.0,-1.7,-159828528.0,-1.58,-65705024.0,-0.65,398022224.0,3.92
72,2023-03-07,-880625328.0,-8.14,-425476176.0,-3.93,-455149152.0,-4.21,204175904.0,1.89,676449424.0,6.26
73,2023-03-08,-150708240.0,-1.79,-20830240.0,-0.25,-129878000.0,-1.54,-49809792.0,-0.59,200518048.0,2.38
74,2023-03-09,-51747232.0,-0.59,143681456.0,1.65,-195428688.0,-2.25,-54907328.0,-0.63,106654560.0,1.23
75,2023-03-10,-754827392.0,-8.62,-495975552.0,-5.66,-258851840.0,-2.96,236334928.0,2.7,518492464.0,5.92
76,2023-03-13,18673312.0,0.18,69179568.0,0.67,-50506256.0,-0.49,-54290976.0,-0.53,35617680.0,0.35
77,2023-03-14,-592924912.0,-5.22,-378380480.0,-3.33,-214544432.0,-1.89,-148716272.0,-1.31,741641200.0,6.53
78,2023-03-15,-476073120.0,-6.05,-323121072.0,-4.11,-152952048.0,-1.94,-70856224.0,-0.9,546929344.0,6.95
79,2023-03-16,-24777904.0,-0.24,163822768.0,1.57,-188600672.0,-1.81,-12552464.0,-0.12,37330384.0,0.36
80,2023-03-17,943289936.0,4.88,891989072.0,4.61,51300864.0,0.27,-37164800.0,-0.19,-906125056.0,-4.69
81,2023-03-20,-428547520.0,-1.58,104788800.0,0.39,-533336320.0,-1.96,-337090304.0,-1.24,765637632.0,2.82
82,2023-03-21,-200281616.0,-0.96,302610160.0,1.45,-502891776.0,-2.41,-76856832.0,-0.37,277138176.0,1.33
83,2023-03-22,194241952.0,0.84,110134176.0,0.48,84107776.0,0.37,-98097920.0,-0.43,-96144384.0,-0.42
84,2023-03-23,-544701920.0,-2.78,-282071776.0,-1.44,-262630144.0,-1.34,207311104.0,1.06,337390848.0,1.72
85,2023-03-24,561315808.0,2.18,442962144.0,1.72,118353664.0,0.46,174142208.0,0.68,-735458048.0,-2.86
86,2023-03-27,-1426514304.0,-5.2,-885189504.0,-3.23,-541324800.0,-1.97,191254016.0,0.7,1235260160.0,4.5
87,2023-03-28,-1226580336.0,-6.05,-354674288.0,-1.75,-871906048.0,-4.3,-69806592.0,-0.34,1296386816.0,6.4
88,2023-03-29,-1075266304.0,-5.84,-385709824.0,-2.09,-689556480.0,-3.74,132210688.0,0.72,943055872.0,5.12
89,2023-03-30,-634984048.0,-4.3,-485941280.0,-3.29,-149042768.0,-1.01,148650752.0,1.01,486333280.0,3.29
