,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-1283023680.0,-8.82,-918023296.0,-6.31,-365000384.0,-2.51,73709568.0,0.51,1209314112.0,8.32
1,2022-11-18,-840504032.0,-8.56,-407877280.0,-4.15,-432626752.0,-4.4,-35009728.0,-0.36,875513744.0,8.91
2,2022-11-21,-154968736.0,-2.1,-152085520.0,-2.06,-2883216.0,-0.04,-118720352.0,-1.61,273689104.0,3.71
3,2022-11-22,-239316720.0,-2.87,-135452384.0,-1.63,-103864336.0,-1.25,57886432.0,0.7,181430288.0,2.18
4,2022-11-23,84293504.0,0.98,186456112.0,2.17,-102162608.0,-1.19,-238960.0,-0.0,-84054544.0,-0.98
5,2022-11-24,157992944.0,1.86,125141344.0,1.47,32851600.0,0.39,56261600.0,0.66,-214254544.0,-2.52
6,2022-11-25,543131792.0,4.32,305454064.0,2.43,237677728.0,1.89,-159604624.0,-1.27,-383527168.0,-3.05
7,2022-11-28,-247255216.0,-2.41,8314352.0,0.08,-255569568.0,-2.49,-41563760.0,-0.41,288818976.0,2.82
8,2022-11-29,-24357440.0,-0.2,298633904.0,2.43,-322991344.0,-2.63,-229841888.0,-1.87,254199328.0,2.07
9,2022-11-30,25799680.0,0.18,8199344.0,0.06,17600336.0,0.12,-223483648.0,-1.52,197683824.0,1.34
10,2022-12-01,-953091248.0,-7.47,-530968272.0,-4.16,-422122976.0,-3.31,-94641040.0,-0.74,1047732288.0,8.21
11,2022-12-02,-466696096.0,-5.52,-143651696.0,-1.7,-323044400.0,-3.82,-260516816.0,-3.08,727212912.0,8.6
12,2022-12-05,1469088.0,0.01,-173015280.0,-1.64,174484368.0,1.65,123387248.0,1.17,-124856320.0,-1.18
13,2022-12-06,-312390192.0,-3.55,-204145360.0,-2.32,-108244832.0,-1.23,-73362864.0,-0.83,385753072.0,4.38
14,2022-12-07,-767840432.0,-7.91,-305173872.0,-3.14,-462666560.0,-4.76,-45615552.0,-0.47,813455968.0,8.38
15,2022-12-08,-257705552.0,-3.85,-162414864.0,-2.43,-95290688.0,-1.42,21093008.0,0.32,236612544.0,3.53
16,2022-12-09,-87231712.0,-0.78,-49030976.0,-0.44,-38200736.0,-0.34,-295302336.0,-2.63,382534064.0,3.41
17,2022-12-12,-545211440.0,-4.36,-348845552.0,-2.79,-196365888.0,-1.57,-90770640.0,-0.73,635982080.0,5.09
18,2022-12-13,55953840.0,0.83,7006688.0,0.1,48947152.0,0.73,26985616.0,0.4,-82939472.0,-1.23
19,2022-12-14,-29450080.0,-0.4,58335776.0,0.79,-87785856.0,-1.19,204391696.0,2.77,-174941616.0,-2.37
20,2022-12-15,-269367744.0,-3.81,-110106144.0,-1.56,-159261600.0,-2.25,100442256.0,1.42,168925504.0,2.39
21,2022-12-16,-82773536.0,-1.28,-138715328.0,-2.15,55941792.0,0.87,-47365088.0,-0.73,130138640.0,2.01
22,2022-12-19,-585001808.0,-9.38,-332634560.0,-5.34,-252367248.0,-4.05,96344256.0,1.55,488657552.0,7.84
23,2022-12-20,-31526352.0,-0.62,-92369168.0,-1.82,60842816.0,1.2,-116317280.0,-2.29,147843632.0,2.91
24,2022-12-21,53848624.0,1.44,-40293520.0,-1.08,94142144.0,2.51,-75702800.0,-2.02,21854176.0,0.58
25,2022-12-22,-569435152.0,-9.55,-253104560.0,-4.24,-316330592.0,-5.31,66802592.0,1.12,502632576.0,8.43
26,2022-12-23,-205026320.0,-4.57,-117161376.0,-2.61,-87864944.0,-1.96,-14310080.0,-0.32,219336400.0,4.89
27,2022-12-26,122134544.0,2.78,88211440.0,2.01,33923104.0,0.77,-92041440.0,-2.09,-30093120.0,-0.68
