,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-149704556.0,-4.89,-36029772.0,-1.18,-113674784.0,-3.71,-22015200.0,-0.72,171101760.0,5.59
1,2022-11-18,-90171830.0,-3.52,-41287638.0,-1.61,-48884192.0,-1.91,9123824.0,0.36,80281232.0,3.13
2,2022-11-21,-60193430.0,-3.04,-7437958.0,-0.38,-52755472.0,-2.66,-26332176.0,-1.33,86787408.0,4.38
3,2022-11-22,-74602477.0,-3.45,-22707629.0,-1.05,-51894848.0,-2.4,19986400.0,0.92,53971568.0,2.49
4,2022-11-23,140753064.0,5.13,123060728.0,4.49,17692336.0,0.65,-49071792.0,-1.79,-91322112.0,-3.33
5,2022-11-24,-159100226.0,-5.6,-56200866.0,-1.98,-102899360.0,-3.62,1258768.0,0.04,157171856.0,5.54
6,2022-11-25,89597576.0,2.75,84097480.0,2.58,5500096.0,0.17,-22831184.0,-0.7,-66583840.0,-2.04
7,2022-11-28,-86764838.0,-2.35,32051338.0,0.87,-118816176.0,-3.22,-1558576.0,-0.04,88284880.0,2.39
8,2022-11-29,-131057373.0,-3.47,-83910365.0,-2.22,-47147008.0,-1.25,8309264.0,0.22,122134304.0,3.24
9,2022-11-30,212293904.0,2.76,212787584.0,2.77,-493680.0,-0.01,-160522048.0,-2.09,-50102048.0,-0.65
10,2022-12-01,-211641664.0,-3.11,-69236960.0,-1.02,-142404704.0,-2.09,72686256.0,1.07,135604000.0,1.99
11,2022-12-02,-225403547.0,-5.05,-123035387.0,-2.75,-102368160.0,-2.29,-20764784.0,-0.46,245079920.0,5.49
12,2022-12-05,-241760450.0,-6.51,-101882946.0,-2.74,-139877504.0,-3.77,38989248.0,1.05,201011952.0,5.41
13,2022-12-06,-300488454.0,-8.46,-89225862.0,-2.51,-211262592.0,-5.95,-92762016.0,-2.61,392321536.0,11.05
14,2022-12-07,-200473632.0,-6.48,-69561872.0,-2.25,-130911760.0,-4.23,-44625616.0,-1.44,244469952.0,7.91
15,2022-12-08,-50352261.0,-1.42,23125787.0,0.65,-73478048.0,-2.08,-64885376.0,-1.83,114359472.0,3.23
16,2022-12-09,-334587174.0,-10.07,-129165110.0,-3.89,-205422064.0,-6.19,52096176.0,1.57,282113648.0,8.49
17,2022-12-12,-106096518.0,-4.24,-45495286.0,-1.82,-60601232.0,-2.42,-24870080.0,-0.99,130331184.0,5.21
18,2022-12-13,-111003743.0,-5.42,-43005007.0,-2.1,-67998736.0,-3.32,-41686048.0,-2.04,151998416.0,7.42
19,2022-12-14,15835832.0,0.59,11907752.0,0.44,3928080.0,0.15,34455552.0,1.28,-49803264.0,-1.85
20,2022-12-15,-178861891.0,-8.23,-30395939.0,-1.4,-148465952.0,-6.83,-16341632.0,-0.75,194616864.0,8.96
