,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-297274128.0,-5.7,-125833424.0,-2.41,-171440704.0,-3.29,28062048.0,0.54,269212080.0,5.16
1,2022-11-18,-190274144.0,-3.41,-126535696.0,-2.27,-63738448.0,-1.14,-84194032.0,-1.51,274468176.0,4.91
2,2022-11-21,-302527311.0,-6.42,-178538191.0,-3.79,-123989120.0,-2.63,91799168.0,1.95,210728128.0,4.47
3,2022-11-22,164596240.0,2.55,71961760.0,1.12,92634480.0,1.44,72287376.0,1.12,-236883600.0,-3.67
4,2022-11-23,-167547664.0,-2.37,-43923760.0,-0.62,-123623904.0,-1.75,84090608.0,1.19,83457072.0,1.18
5,2022-11-24,-283941469.0,-5.02,-198052861.0,-3.5,-85888608.0,-1.52,77570672.0,1.37,206370800.0,3.65
6,2022-11-25,27017616.0,0.43,52610160.0,0.84,-25592544.0,-0.41,35207264.0,0.56,-62224880.0,-1.0
7,2022-11-28,-255745840.0,-4.0,-169201504.0,-2.65,-86544336.0,-1.35,30190112.0,0.47,225555728.0,3.53
8,2022-11-29,50472288.0,0.67,102084304.0,1.36,-51612016.0,-0.69,-143687376.0,-1.92,93215088.0,1.24
9,2022-11-30,-113353392.0,-1.67,-55168528.0,-0.81,-58184864.0,-0.86,77349280.0,1.14,36004144.0,0.53
10,2022-12-01,313287504.0,3.08,232122464.0,2.28,81165040.0,0.8,-320866336.0,-3.15,7578832.0,0.07
11,2022-12-02,-101437424.0,-1.47,-7746832.0,-0.11,-93690592.0,-1.36,-124772304.0,-1.81,226209728.0,3.28
12,2022-12-05,455583184.0,4.22,198493600.0,1.84,257089584.0,2.38,23776048.0,0.22,-479359232.0,-4.44
13,2022-12-06,444311984.0,3.94,125294464.0,1.11,319017520.0,2.83,-111491008.0,-0.99,-332820944.0,-2.95
14,2022-12-07,71370656.0,0.57,140262400.0,1.13,-68891744.0,-0.55,31756672.0,0.25,-103127424.0,-0.83
15,2022-12-08,-23069472.0,-0.17,207854336.0,1.57,-230923808.0,-1.75,11022592.0,0.08,12046816.0,0.09
16,2022-12-09,-838655808.0,-5.51,-243875632.0,-1.6,-594780176.0,-3.91,-54324480.0,-0.36,892980288.0,5.86
17,2022-12-12,-521811488.0,-5.56,-69959024.0,-0.75,-451852464.0,-4.82,-161114240.0,-1.72,682925744.0,7.28
