,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-182523384.0,-3.22,-27282984.0,-0.48,-155240400.0,-2.74,-22152976.0,-0.39,204209024.0,3.6
1,2022-11-18,-198692692.0,-3.01,-47038388.0,-0.71,-151654304.0,-2.3,62636816.0,0.95,136084224.0,2.06
2,2022-11-21,-69399280.0,-1.09,-64126256.0,-1.01,-5273024.0,-0.08,40868704.0,0.64,29640960.0,0.47
3,2022-11-22,-132894704.0,-1.88,-45681360.0,-0.65,-87213344.0,-1.24,12814640.0,0.18,118730848.0,1.68
4,2022-11-23,87159824.0,0.99,73155008.0,0.83,14004816.0,0.16,-18232000.0,-0.21,-69368000.0,-0.79
5,2022-11-24,-313779568.0,-4.24,-102063072.0,-1.38,-211716496.0,-2.86,18068448.0,0.24,295853504.0,4.0
6,2022-11-25,-139113952.0,-2.0,-16657936.0,-0.24,-122456016.0,-1.76,-42469936.0,-0.61,181833792.0,2.62
7,2022-11-28,-130246864.0,-1.69,6238960.0,0.08,-136485824.0,-1.77,-110963312.0,-1.44,240846224.0,3.12
8,2022-11-29,-96135552.0,-1.25,-69507008.0,-0.9,-26628544.0,-0.35,-122269792.0,-1.58,218035008.0,2.83
9,2022-11-30,-113913120.0,-1.4,-73382560.0,-0.9,-40530560.0,-0.5,26124480.0,0.32,87778944.0,1.08
10,2022-12-01,-476875824.0,-6.33,-414735200.0,-5.51,-62140624.0,-0.82,195123872.0,2.59,281309760.0,3.73
11,2022-12-02,-215249024.0,-3.13,-74969664.0,-1.09,-140279360.0,-2.04,45765632.0,0.66,169135776.0,2.46
12,2022-12-05,-404962160.0,-4.68,-217405616.0,-2.51,-187556544.0,-2.17,225139312.0,2.6,178449104.0,2.06
13,2022-12-06,-227437712.0,-3.06,-89286960.0,-1.2,-138150752.0,-1.86,-19945184.0,-0.27,246827408.0,3.32
14,2022-12-07,-71693312.0,-0.99,94935008.0,1.31,-166628320.0,-2.3,-12457920.0,-0.17,83394640.0,1.15
15,2022-12-08,-314287455.0,-5.11,-137695263.0,-2.24,-176592192.0,-2.87,59085952.0,0.96,254219568.0,4.13
16,2022-12-09,-35781264.0,-0.54,-9485984.0,-0.14,-26295280.0,-0.4,3587024.0,0.05,31897312.0,0.48
17,2022-12-12,-494910224.0,-7.38,-122691456.0,-1.83,-372218768.0,-5.55,142387184.0,2.12,352227440.0,5.25
18,2022-12-13,-311889048.0,-5.48,-145308728.0,-2.55,-166580320.0,-2.93,93769712.0,1.65,217452496.0,3.82
19,2022-12-14,-175678512.0,-3.19,-52580992.0,-0.95,-123097520.0,-2.23,-2607632.0,-0.05,178038496.0,3.23
20,2022-12-15,-188386822.0,-3.9,-22275958.0,-0.46,-166110864.0,-3.44,35261168.0,0.73,152954640.0,3.16
21,2022-12-16,-382021922.0,-7.14,-127784050.0,-2.39,-254237872.0,-4.75,43346368.0,0.81,338923760.0,6.33
22,2022-12-19,-267312960.0,-4.77,-12562368.0,-0.22,-254750592.0,-4.55,-51722832.0,-0.92,318713440.0,5.69
23,2022-12-20,12321074.0,0.26,44052882.0,0.92,-31731808.0,-0.66,-58593664.0,-1.22,46202144.0,0.96
24,2022-12-21,-211715699.0,-5.09,-77557139.0,-1.87,-134158560.0,-3.23,51034848.0,1.23,160520416.0,3.86
25,2022-12-22,-239543707.0,-5.66,-169766011.0,-4.01,-69777696.0,-1.65,62567824.0,1.48,176933936.0,4.18
26,2022-12-23,-223949984.0,-5.89,-86621712.0,-2.28,-137328272.0,-3.61,10304496.0,0.27,213282784.0,5.61
27,2022-12-26,130795210.0,3.0,87144138.0,2.0,43651072.0,1.0,-78177648.0,-1.79,-52495840.0,-1.2
28,2022-12-27,-142745168.0,-3.0,-50333184.0,-1.06,-92411984.0,-1.94,44706432.0,0.94,97836080.0,2.06
29,2022-12-28,-182263237.0,-4.36,-55213029.0,-1.32,-127050208.0,-3.04,23550592.0,0.56,158330272.0,3.79
30,2022-12-29,-97261269.0,-2.75,-40970533.0,-1.16,-56290736.0,-1.59,66905168.0,1.89,30326176.0,0.86
31,2022-12-30,-46775222.0,-1.39,-9680086.0,-0.29,-37095136.0,-1.1,8351264.0,0.25,38524192.0,1.15
32,2023-01-03,51603603.0,1.25,-34551869.0,-0.84,86155472.0,2.08,-2923680.0,-0.07,-49877808.0,-1.21
33,2023-01-04,-121761309.0,-2.51,-78002909.0,-1.61,-43758400.0,-0.9,5010320.0,0.1,116889904.0,2.41
34,2023-01-05,55747881.0,1.11,69721209.0,1.38,-13973328.0,-0.28,-19593872.0,-0.39,-36373920.0,-0.72
35,2023-01-06,-54691712.0,-1.06,-57749472.0,-1.12,3057760.0,0.06,-14274288.0,-0.28,67571456.0,1.31
36,2023-01-09,-78322149.0,-1.6,-45679797.0,-0.93,-32642352.0,-0.67,36731232.0,0.75,41381632.0,0.85
37,2023-01-10,-98959422.0,-2.26,-4172782.0,-0.1,-94786640.0,-2.16,-53060928.0,-1.21,152689936.0,3.48
38,2023-01-11,31344790.0,0.71,136717014.0,3.11,-105372224.0,-2.4,-37234976.0,-0.85,5979296.0,0.14
39,2023-01-12,-275577152.0,-4.77,-101583728.0,-1.76,-173993424.0,-3.01,24575072.0,0.43,250578112.0,4.33
40,2023-01-13,-131585616.0,-2.46,-11250736.0,-0.21,-120334880.0,-2.25,-24703472.0,-0.46,156099648.0,2.92
41,2023-01-16,-370720591.0,-6.97,-171081663.0,-3.22,-199638928.0,-3.76,20227584.0,0.38,350868128.0,6.6
42,2023-01-17,-203735296.0,-4.96,-43483952.0,-1.06,-160251344.0,-3.9,22579472.0,0.55,181368112.0,4.42
43,2023-01-18,-30995032.0,-0.75,26480792.0,0.64,-57475824.0,-1.39,-60992560.0,-1.48,92019328.0,2.23
44,2023-01-19,-109349584.0,-2.82,-45034400.0,-1.16,-64315184.0,-1.66,-10001072.0,-0.26,119809328.0,3.09
45,2023-01-20,16605997.0,0.36,-3649955.0,-0.08,20255952.0,0.44,1054512.0,0.02,-16025024.0,-0.35
46,2023-01-30,-184455568.0,-2.59,-6360480.0,-0.09,-178095088.0,-2.5,22396032.0,0.31,162928480.0,2.29
47,2023-01-31,-41859552.0,-0.62,137426560.0,2.03,-179286112.0,-2.64,-137575056.0,-2.03,185315856.0,2.73
48,2023-02-01,157128016.0,2.05,283374880.0,3.7,-126246864.0,-1.65,-252166048.0,-3.29,95128384.0,1.24
49,2023-02-02,-428241600.0,-5.0,-127298720.0,-1.49,-300942880.0,-3.51,-59688816.0,-0.7,488049584.0,5.7
50,2023-02-03,146809392.0,1.6,289194848.0,3.15,-142385456.0,-1.55,-253289648.0,-2.76,107580944.0,1.17
51,2023-02-06,-452570576.0,-4.91,-210740944.0,-2.29,-241829632.0,-2.63,38620880.0,0.42,414234752.0,4.5
52,2023-02-07,157338768.0,1.5,188030736.0,1.79,-30691968.0,-0.29,-98011920.0,-0.93,-47516384.0,-0.45
53,2023-02-08,-440550464.0,-4.56,-215687968.0,-2.23,-224862496.0,-2.33,-15023264.0,-0.16,441648224.0,4.57
54,2023-02-09,-81143024.0,-0.87,35306896.0,0.38,-116449920.0,-1.25,-221299440.0,-2.38,295429344.0,3.17
55,2023-02-10,-683761936.0,-7.77,-437526928.0,-4.97,-246235008.0,-2.8,60431488.0,0.69,614450544.0,6.99
56,2023-02-13,-116178576.0,-1.35,-97387280.0,-1.13,-18791296.0,-0.22,49353008.0,0.57,66996144.0,0.78
57,2023-02-14,-283774064.0,-3.44,-166567744.0,-2.02,-117206320.0,-1.42,49223776.0,0.6,229564304.0,2.79
58,2023-02-15,-453277488.0,-6.08,-236170240.0,-3.17,-217107248.0,-2.91,10438800.0,0.14,435862720.0,5.85
59,2023-02-16,-771346256.0,-7.34,-361372016.0,-3.44,-409974240.0,-3.9,-39978320.0,-0.38,805328752.0,7.67
60,2023-02-17,-394190800.0,-4.93,-130878448.0,-1.64,-263312352.0,-3.3,74593248.0,0.93,315896304.0,3.95
61,2023-02-20,-232669383.0,-3.4,-115726695.0,-1.69,-116942688.0,-1.71,36699008.0,0.54,195791008.0,2.86
62,2023-02-21,-259188462.0,-4.14,-159202174.0,-2.54,-99986288.0,-1.6,38863216.0,0.62,218430480.0,3.49
63,2023-02-22,-186152256.0,-3.28,-55102784.0,-0.97,-131049472.0,-2.31,-9948752.0,-0.18,196229104.0,3.46
64,2023-02-23,-125026904.0,-2.1,-31318008.0,-0.53,-93708896.0,-1.58,32834320.0,0.55,89270416.0,1.5
65,2023-02-24,-273420976.0,-5.38,-116640544.0,-2.3,-156780432.0,-3.09,25868528.0,0.51,246848304.0,4.86
66,2023-02-27,-308834410.0,-5.83,-114635546.0,-2.17,-194198864.0,-3.67,54162176.0,1.02,251977296.0,4.76
67,2023-02-28,-230047446.0,-4.71,-88119078.0,-1.81,-141928368.0,-2.91,41496320.0,0.85,187481904.0,3.84
68,2023-03-01,-47159844.0,-0.93,-61667204.0,-1.21,14507360.0,0.29,15257792.0,0.3,30908752.0,0.61
69,2023-03-02,-332553744.0,-4.9,-240963104.0,-3.55,-91590640.0,-1.35,105491344.0,1.55,225430064.0,3.32
70,2023-03-03,-162279737.0,-2.92,-96179593.0,-1.73,-66100144.0,-1.19,106726336.0,1.92,54581856.0,0.98
71,2023-03-06,16129296.0,0.25,31170896.0,0.49,-15041600.0,-0.24,50656336.0,0.79,-68374128.0,-1.07
72,2023-03-07,-536132704.0,-7.23,-214382416.0,-2.89,-321750288.0,-4.34,73413712.0,0.99,460494512.0,6.21
73,2023-03-08,-179402625.0,-3.47,-67927537.0,-1.31,-111475088.0,-2.16,30656416.0,0.59,148324992.0,2.87
74,2023-03-09,137891184.0,1.59,40057456.0,0.46,97833728.0,1.13,7103520.0,0.08,-145405056.0,-1.68
75,2023-03-10,-541868482.0,-6.96,-189822962.0,-2.44,-352045520.0,-4.52,54635264.0,0.7,485436640.0,6.23
76,2023-03-13,-310999899.0,-5.0,-118326907.0,-1.9,-192672992.0,-3.1,-33884976.0,-0.54,344030576.0,5.53
77,2023-03-14,-389447232.0,-5.93,-116146896.0,-1.77,-273300336.0,-4.16,-25421952.0,-0.39,413882896.0,6.31
78,2023-03-15,-58601661.0,-1.01,-71361357.0,-1.23,12759696.0,0.22,-67378496.0,-1.16,124864864.0,2.16
79,2023-03-16,-345253174.0,-6.24,-115006646.0,-2.08,-230246528.0,-4.16,-31672016.0,-0.57,375372576.0,6.79
80,2023-03-17,-160569232.0,-2.81,-72913088.0,-1.28,-87656144.0,-1.54,12216944.0,0.21,147632832.0,2.59
81,2023-03-20,-212036032.0,-3.21,-92375248.0,-1.4,-119660784.0,-1.81,37701568.0,0.57,174431680.0,2.64
82,2023-03-21,12635680.0,0.23,-20543952.0,-0.37,33179632.0,0.59,-2415200.0,-0.04,-8642624.0,-0.15
83,2023-03-22,-317767648.0,-5.26,-166044896.0,-2.75,-151722752.0,-2.51,-933776.0,-0.02,318473488.0,5.27
84,2023-03-23,-175819296.0,-2.35,118327936.0,1.58,-294147232.0,-3.93,-48498928.0,-0.65,222697104.0,2.98
85,2023-03-24,-382550144.0,-6.2,-257028368.0,-4.17,-125521776.0,-2.04,73323776.0,1.19,308305072.0,5.0
86,2023-03-27,-133324784.0,-1.85,-53387424.0,-0.74,-79937360.0,-1.11,33657504.0,0.47,98416096.0,1.36
87,2023-03-28,8548512.0,0.11,193228192.0,2.53,-184679680.0,-2.42,-622896.0,-0.01,-8692048.0,-0.11
88,2023-03-29,-593075232.0,-8.87,-397939280.0,-5.95,-195135952.0,-2.92,216032736.0,3.23,376558528.0,5.63
89,2023-03-30,-474291153.0,-8.47,-278455825.0,-4.97,-195835328.0,-3.5,101350352.0,1.81,373175552.0,6.67
90,2023-03-31,10933030.0,0.18,30891654.0,0.51,-19958624.0,-0.33,11472656.0,0.19,-22654880.0,-0.38
91,2023-04-03,-117843040.0,-1.71,18990048.0,0.28,-136833088.0,-1.99,29274032.0,0.43,87736096.0,1.28
92,2023-04-04,-409379215.0,-6.63,-197103887.0,-3.19,-212275328.0,-3.44,66749632.0,1.08,341571168.0,5.53
93,2023-04-06,-225267827.0,-4.37,-128670371.0,-2.5,-96597456.0,-1.87,20289232.0,0.39,203966528.0,3.96
94,2023-04-07,-62870075.0,-1.11,-32284235.0,-0.57,-30585840.0,-0.54,89087568.0,1.58,-26285344.0,-0.47
95,2023-04-10,-272507645.0,-5.15,-87906621.0,-1.66,-184601024.0,-3.49,47233648.0,0.89,224709088.0,4.25
96,2023-04-11,-222129131.0,-4.44,-129581339.0,-2.59,-92547792.0,-1.85,116523728.0,2.33,105678960.0,2.11
97,2023-04-12,-321970201.0,-5.96,-136280505.0,-2.52,-185689696.0,-3.43,188010720.0,3.48,133912080.0,2.48
98,2023-04-13,-205518484.0,-3.8,-105457620.0,-1.95,-100060864.0,-1.85,-23135168.0,-0.43,228177344.0,4.22
99,2023-04-14,-60527824.0,-1.04,34926128.0,0.6,-95453952.0,-1.64,-62646224.0,-1.08,123872720.0,2.13
100,2023-04-17,-202818064.0,-3.42,-35989600.0,-0.61,-166828464.0,-2.81,27195328.0,0.46,176139344.0,2.97
