,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-220070591.0,-7.8,-91817503.0,-3.26,-128253088.0,-4.55,-42102816.0,-1.49,264775088.0,9.39
1,2022-11-18,-56861476.0,-1.77,-53402564.0,-1.66,-3458912.0,-0.11,24403408.0,0.76,30376752.0,0.94
2,2022-11-21,-83307764.0,-2.63,-30131476.0,-0.95,-53176288.0,-1.68,11533936.0,0.36,72274048.0,2.28
3,2022-11-22,-17112176.0,-0.42,-61718160.0,-1.52,44605984.0,1.1,55052432.0,1.36,-38826352.0,-0.96
4,2022-11-23,-56764403.0,-1.93,-40006147.0,-1.36,-16758256.0,-0.57,58248928.0,1.98,-947792.0,-0.03
5,2022-11-24,-255277376.0,-9.39,-141482016.0,-5.21,-113795360.0,-4.19,126421024.0,4.65,128287440.0,4.72
6,2022-11-25,-105600057.0,-4.06,-16502473.0,-0.63,-89097584.0,-3.42,31471120.0,1.21,73945984.0,2.84
7,2022-11-28,-176218724.0,-6.41,-62298980.0,-2.26,-113919744.0,-4.14,66179216.0,2.41,110006976.0,4.0
8,2022-11-29,317905264.0,7.72,342467920.0,8.32,-24562656.0,-0.6,-77568368.0,-1.88,-241299088.0,-5.86
9,2022-11-30,-149696970.0,-3.95,-85127562.0,-2.25,-64569408.0,-1.7,-2620320.0,-0.07,151599968.0,4.0
10,2022-12-01,411460432.0,9.72,392032144.0,9.26,19428288.0,0.46,-80515824.0,-1.9,-332644272.0,-7.86
11,2022-12-02,-206080032.0,-5.55,-129716752.0,-3.5,-76363280.0,-2.06,64446240.0,1.74,142532784.0,3.84
12,2022-12-05,260724176.0,4.72,246645632.0,4.46,14078544.0,0.25,-66476192.0,-1.2,-194852272.0,-3.52
13,2022-12-06,-84768464.0,-2.0,29082448.0,0.69,-113850912.0,-2.69,8089776.0,0.19,76238480.0,1.8
14,2022-12-07,-218566443.0,-6.02,-98234699.0,-2.71,-120331744.0,-3.31,52386592.0,1.44,164536848.0,4.53
15,2022-12-08,-127720507.0,-4.2,-132560267.0,-4.36,4839760.0,0.16,104076880.0,3.42,22846656.0,0.75
16,2022-12-09,21682096.0,0.54,33693056.0,0.84,-12010960.0,-0.3,114218768.0,2.85,-136689664.0,-3.41
17,2022-12-12,-153257158.0,-3.6,-140444742.0,-3.3,-12812416.0,-0.3,-16553408.0,-0.39,169324320.0,3.98
