,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-20554573.0,-2.95,-16646657.0,-2.39,-3907916.0,-0.56,-6742395.0,-0.97,27296975.0,3.91
1,2022-11-18,-8915748.0,-0.64,-1172996.0,-0.08,-7742752.0,-0.56,804880.0,0.06,8110880.0,0.58
2,2022-11-21,-60386473.0,-6.5,-9235963.0,-0.99,-51150510.0,-5.51,7813872.0,0.84,52572592.0,5.66
3,2022-11-22,-64170167.0,-7.51,-26572151.0,-3.11,-37598016.0,-4.4,20131721.0,2.35,44038448.0,5.15
4,2022-11-23,-48445483.0,-5.86,-21148667.0,-2.56,-27296816.0,-3.3,-6156048.0,-0.75,54601536.0,6.61
5,2022-11-24,-66250274.0,-8.77,-37525398.0,-4.97,-28724876.0,-3.8,49866132.0,6.6,16384145.0,2.17
6,2022-11-25,-54239803.0,-7.33,-39236765.0,-5.3,-15003038.0,-2.03,26884205.0,3.63,27355598.0,3.7
7,2022-11-28,-16577758.0,-1.81,-16561764.0,-1.81,-15994.0,-0.0,-4406112.0,-0.48,20983872.0,2.29
8,2022-11-29,7174591.0,0.58,-22709740.0,-1.85,29884331.0,2.43,-9297600.0,-0.76,2123008.0,0.17
9,2022-11-30,11550206.0,1.33,4285267.0,0.49,7264939.0,0.84,11684096.0,1.35,-23234304.0,-2.68
10,2022-12-01,41211101.0,2.24,89726621.0,4.88,-48515520.0,-2.64,-9785344.0,-0.53,-31425760.0,-1.71
11,2022-12-02,-86950111.0,-5.62,-32953167.0,-2.13,-53996944.0,-3.49,16460736.0,1.06,70489376.0,4.55
12,2022-12-05,-11350474.0,-0.75,21358518.0,1.4,-32708992.0,-2.15,27185968.0,1.79,-15835488.0,-1.04
13,2022-12-06,43012736.0,2.48,16276320.0,0.94,26736416.0,1.54,-48642992.0,-2.8,5630240.0,0.32
14,2022-12-07,-10778640.0,-0.77,-15810592.0,-1.13,5031952.0,0.36,11369232.0,0.81,-590608.0,-0.04
15,2022-12-08,-106813571.0,-9.55,-52290842.0,-4.68,-54522729.0,-4.88,3728816.0,0.33,103084752.0,9.22
16,2022-12-09,-17047785.0,-1.41,-19836159.0,-1.64,2788374.0,0.23,-20271008.0,-1.68,37318800.0,3.09
17,2022-12-12,-110438940.0,-9.79,-45944152.0,-4.07,-64494788.0,-5.71,-10981488.0,-0.97,121420448.0,10.76
18,2022-12-13,-18929198.0,-1.66,-2909775.0,-0.26,-16019423.0,-1.41,-11643072.0,-1.02,30572272.0,2.69
19,2022-12-14,-67355054.0,-6.33,-39307260.0,-3.7,-28047794.0,-2.64,30725360.0,2.89,36629712.0,3.44
20,2022-12-15,-61075296.0,-6.35,-38369018.0,-3.99,-22706278.0,-2.36,-3172480.0,-0.33,64247776.0,6.69
21,2022-12-16,-105840014.0,-13.13,-64488068.0,-8.0,-41351946.0,-5.13,26705693.0,3.31,79134320.0,9.82
22,2022-12-19,-93318431.0,-11.49,-37816024.0,-4.66,-55502407.0,-6.83,3469884.0,0.43,89848544.0,11.06
23,2022-12-20,-77958495.0,-9.29,-49671183.0,-5.92,-28287312.0,-3.37,14765296.0,1.76,63193184.0,7.53
24,2022-12-21,12353187.0,1.32,17294986.0,1.85,-4941799.0,-0.53,-11802688.0,-1.26,-550512.0,-0.06
25,2022-12-22,56992433.0,4.53,37825693.0,3.01,19166740.0,1.52,7675680.0,0.61,-64668112.0,-5.14
26,2022-12-23,-2958947.0,-0.27,-3313936.0,-0.3,354989.0,0.03,16472320.0,1.5,-13513360.0,-1.23
27,2022-12-26,-17820235.0,-1.5,-13304131.0,-1.12,-4516104.0,-0.38,-1032768.0,-0.09,18852992.0,1.59
28,2022-12-27,146610485.0,8.01,104783157.0,5.72,41827328.0,2.28,-33945776.0,-1.85,-112664704.0,-6.15
29,2022-12-28,-126044974.0,-6.43,-39754110.0,-2.03,-86290864.0,-4.4,25550704.0,1.3,100494256.0,5.12
30,2022-12-29,-125795947.0,-9.38,-46131770.0,-3.44,-79664177.0,-5.94,46206048.0,3.45,79589888.0,5.94
31,2022-12-30,14174816.0,0.95,12193552.0,0.82,1981264.0,0.13,-11904784.0,-0.8,-2270032.0,-0.15
32,2023-01-03,-772499.0,-0.05,-7453267.0,-0.44,6680768.0,0.39,20655536.0,1.21,-19883056.0,-1.17
33,2023-01-04,-11319922.0,-0.71,794782.0,0.05,-12114704.0,-0.76,8955696.0,0.56,2364240.0,0.15
34,2023-01-05,-13506225.0,-0.67,52353647.0,2.61,-65859872.0,-3.28,642896.0,0.03,12863328.0,0.64
35,2023-01-06,-82893714.0,-6.18,-36245165.0,-2.7,-46648549.0,-3.48,20901520.0,1.56,61992192.0,4.62
36,2023-01-09,43889586.0,2.21,52338098.0,2.64,-8448512.0,-0.43,-31449872.0,-1.58,-12439712.0,-0.63
37,2023-01-10,-35472159.0,-1.62,11816401.0,0.54,-47288560.0,-2.16,48767376.0,2.23,-13295200.0,-0.61
38,2023-01-11,-158548170.0,-7.18,-85877834.0,-3.89,-72670336.0,-3.29,22933616.0,1.04,135614544.0,6.14
39,2023-01-12,-30974862.0,-1.65,21487714.0,1.15,-52462576.0,-2.8,-45866272.0,-2.45,76841120.0,4.1
40,2023-01-13,-14901794.0,-0.93,-18133170.0,-1.13,3231376.0,0.2,-21689184.0,-1.35,36590960.0,2.28
41,2023-01-16,7227796.0,0.43,-24773660.0,-1.46,32001456.0,1.88,7881136.0,0.46,-15108928.0,-0.89
42,2023-01-17,-33603414.0,-1.98,-12947622.0,-0.76,-20655792.0,-1.22,-65976400.0,-3.89,99579792.0,5.88
43,2023-01-18,17518359.0,1.31,70121195.0,5.23,-52602836.0,-3.92,-49512864.0,-3.69,31994512.0,2.39
44,2023-01-19,-159051570.0,-7.94,-116553202.0,-5.82,-42498368.0,-2.12,61179920.0,3.05,97871664.0,4.88
45,2023-01-20,-44780485.0,-2.73,-21425013.0,-1.31,-23355472.0,-1.42,66074912.0,4.03,-21294448.0,-1.3
46,2023-01-30,-15191376.0,-0.61,19100736.0,0.77,-34292112.0,-1.39,-7715536.0,-0.31,22906912.0,0.93
47,2023-01-31,-88965927.0,-5.6,-10048311.0,-0.63,-78917616.0,-4.97,3463312.0,0.22,85502608.0,5.38
48,2023-02-01,25191584.0,0.99,63544848.0,2.5,-38353264.0,-1.51,2300528.0,0.09,-27492128.0,-1.08
49,2023-02-02,-29811883.0,-1.34,-4325163.0,-0.19,-25486720.0,-1.14,-66031888.0,-2.96,95843776.0,4.29
50,2023-02-03,-67325715.0,-2.85,2419645.0,0.1,-69745360.0,-2.95,-83783696.0,-3.54,151109408.0,6.39
51,2023-02-06,-83462507.0,-4.94,20094277.0,1.19,-103556784.0,-6.13,1652864.0,0.1,81809648.0,4.85
52,2023-02-07,-37631309.0,-1.6,-33960093.0,-1.44,-3671216.0,-0.16,-4928976.0,-0.21,42560272.0,1.81
53,2023-02-08,377269.0,0.02,-23463979.0,-1.36,23841248.0,1.38,22282224.0,1.29,-22659472.0,-1.31
54,2023-02-09,-25558425.0,-1.5,7704775.0,0.45,-33263200.0,-1.96,-7183472.0,-0.42,32741888.0,1.93
55,2023-02-10,63222401.0,4.03,19154193.0,1.22,44068208.0,2.81,-29692672.0,-1.89,-33529744.0,-2.14
56,2023-02-13,-3100215.0,-0.17,-4664231.0,-0.25,1564016.0,0.08,6502400.0,0.35,-3402208.0,-0.18
