,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-482463056.0,-3.67,-288034544.0,-2.19,-194428512.0,-1.48,61269504.0,0.47,420489632.0,3.2
1,2022-11-18,779884896.0,3.67,570931040.0,2.69,208953856.0,0.98,-212670720.0,-1.0,-568989696.0,-2.68
2,2022-11-21,-664244512.0,-4.01,-340876368.0,-2.06,-323368144.0,-1.95,-9076736.0,-0.05,674254752.0,4.07
3,2022-11-22,-1485444784.0,-9.17,-680073216.0,-4.2,-805371568.0,-4.97,456682240.0,2.82,1024800400.0,6.33
4,2022-11-23,-1255186720.0,-9.9,-679396864.0,-5.36,-575789856.0,-4.54,387224320.0,3.05,870942080.0,6.87
5,2022-11-24,-100876944.0,-1.09,31743856.0,0.34,-132620800.0,-1.43,-5085840.0,-0.06,106779872.0,1.16
6,2022-11-25,-254637424.0,-2.74,-99857792.0,-1.08,-154779632.0,-1.67,-53511552.0,-0.58,317173552.0,3.41
7,2022-11-28,-228366400.0,-2.69,-168826000.0,-1.99,-59540400.0,-0.7,106557584.0,1.25,120025552.0,1.41
8,2022-11-29,758850336.0,5.64,365059920.0,2.71,393790416.0,2.92,-176385024.0,-1.31,-569010480.0,-4.23
9,2022-11-30,-705039008.0,-5.84,-498465024.0,-4.13,-206573984.0,-1.71,305145376.0,2.53,391158688.0,3.24
10,2022-12-01,-675031328.0,-4.82,-552362000.0,-3.95,-122669328.0,-0.88,237514240.0,1.7,432341408.0,3.09
11,2022-12-02,-271723200.0,-3.3,-114051056.0,-1.39,-157672144.0,-1.92,-54640880.0,-0.66,330850016.0,4.02
12,2022-12-05,-866419728.0,-7.4,-549438080.0,-4.69,-316981648.0,-2.71,282681072.0,2.41,578822928.0,4.94
13,2022-12-06,-986096688.0,-9.95,-533157552.0,-5.38,-452939136.0,-4.57,286050176.0,2.89,697206640.0,7.03
14,2022-12-07,87978528.0,0.87,81023808.0,0.81,6954720.0,0.07,-87375776.0,-0.87,-8530080.0,-0.08
15,2022-12-08,-285425488.0,-2.55,-86747904.0,-0.78,-198677584.0,-1.78,115443376.0,1.03,167002880.0,1.49
16,2022-12-09,67373904.0,0.46,172850176.0,1.18,-105476272.0,-0.72,89603840.0,0.61,-157738352.0,-1.08
17,2022-12-12,30558800.0,0.22,-103762688.0,-0.76,134321488.0,0.98,-64922368.0,-0.47,28237408.0,0.21
18,2022-12-13,-159650016.0,-0.99,-37928848.0,-0.24,-121721168.0,-0.76,122787072.0,0.76,34307584.0,0.21
19,2022-12-14,-232354944.0,-1.61,-210319200.0,-1.45,-22035744.0,-0.15,38261504.0,0.26,190152704.0,1.32
20,2022-12-15,-646970656.0,-6.37,-346066816.0,-3.41,-300903840.0,-2.96,134021712.0,1.32,514006560.0,5.06
21,2022-12-16,58259664.0,0.48,47652352.0,0.4,10607312.0,0.09,99026800.0,0.82,-153753936.0,-1.28
22,2022-12-19,-1423629008.0,-11.26,-831097024.0,-6.58,-592531984.0,-4.69,340567376.0,2.69,1090801952.0,8.63
23,2022-12-20,-144800368.0,-1.72,-63192416.0,-0.75,-81607952.0,-0.97,52180688.0,0.62,90651776.0,1.08
24,2022-12-21,-83731744.0,-1.12,-76552720.0,-1.02,-7179024.0,-0.1,133383968.0,1.79,-51869840.0,-0.69
25,2022-12-22,-472485792.0,-5.38,-295181216.0,-3.36,-177304576.0,-2.02,134525328.0,1.53,329851648.0,3.76
26,2022-12-23,-83697760.0,-1.03,13013136.0,0.16,-96710896.0,-1.2,42691168.0,0.53,36405056.0,0.45
27,2022-12-26,-420973984.0,-5.48,-200230816.0,-2.61,-220743168.0,-2.87,279199616.0,3.63,139624896.0,1.82
28,2022-12-27,-509362512.0,-5.47,-144512544.0,-1.55,-364849968.0,-3.92,158264160.0,1.7,351023248.0,3.77
29,2022-12-28,90050912.0,1.33,66803904.0,0.99,23247008.0,0.34,34734224.0,0.51,-125681600.0,-1.86
30,2022-12-29,17599728.0,0.15,-24612784.0,-0.21,42212512.0,0.35,176922368.0,1.48,-191133776.0,-1.6
31,2022-12-30,-234186736.0,-2.39,-85244832.0,-0.87,-148941904.0,-1.52,36176352.0,0.37,196810304.0,2.01
