,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-788141536.0,-6.39,-379105232.0,-3.07,-409036304.0,-3.32,199388544.0,1.62,588753088.0,4.77
1,2022-11-18,-124399168.0,-0.96,13986416.0,0.11,-138385584.0,-1.07,183029280.0,1.41,-58629984.0,-0.45
2,2022-11-21,-213383088.0,-1.83,-83581792.0,-0.72,-129801296.0,-1.11,193753600.0,1.66,19629504.0,0.17
3,2022-11-22,-165644688.0,-1.32,-144588256.0,-1.15,-21056432.0,-0.17,52134448.0,0.41,113510240.0,0.9
4,2022-11-23,707097328.0,3.9,675239680.0,3.72,31857648.0,0.18,-135493632.0,-0.75,-571603456.0,-3.15
5,2022-11-24,-423550656.0,-2.73,-50525296.0,-0.33,-373025360.0,-2.4,-28224512.0,-0.18,451775488.0,2.91
6,2022-11-25,-476402640.0,-3.66,-343922448.0,-2.64,-132480192.0,-1.02,-39480240.0,-0.3,515883008.0,3.96
7,2022-11-28,-585124624.0,-3.12,-107398624.0,-0.57,-477726000.0,-2.55,233469696.0,1.25,351654912.0,1.88
8,2022-11-29,-861542256.0,-4.72,-510888080.0,-2.8,-350654176.0,-1.92,-191193344.0,-1.05,1052735488.0,5.77
9,2022-11-30,84269936.0,0.49,129199040.0,0.75,-44929104.0,-0.26,-155921152.0,-0.91,71651328.0,0.42
10,2022-12-01,-1015335776.0,-6.43,-614440160.0,-3.89,-400895616.0,-2.54,42002944.0,0.27,973332736.0,6.17
11,2022-12-02,-433953648.0,-3.29,-151858368.0,-1.15,-282095280.0,-2.14,-16854016.0,-0.13,450807600.0,3.42
12,2022-12-05,388590208.0,2.29,193637760.0,1.14,194952448.0,1.15,-13476864.0,-0.08,-375113216.0,-2.21
13,2022-12-06,-1278232304.0,-8.83,-906422992.0,-6.26,-371809312.0,-2.57,232695552.0,1.61,1045537008.0,7.22
14,2022-12-07,-1098932256.0,-8.43,-774442896.0,-5.94,-324489360.0,-2.49,-55053696.0,-0.42,1153985888.0,8.85
15,2022-12-08,-983681664.0,-8.99,-476666672.0,-4.36,-507014992.0,-4.63,129431776.0,1.18,854249888.0,7.81
16,2022-12-09,-727029088.0,-5.24,-359800608.0,-2.59,-367228480.0,-2.65,-393450016.0,-2.84,1120479232.0,8.08
17,2022-12-12,-1261135888.0,-9.91,-621427104.0,-4.89,-639708784.0,-5.03,-10647152.0,-0.08,1271783136.0,10.0
18,2022-12-13,-280093920.0,-3.01,-261893440.0,-2.82,-18200480.0,-0.2,-19946192.0,-0.21,300040112.0,3.23
19,2022-12-14,-540284608.0,-6.52,-189714352.0,-2.29,-350570256.0,-4.23,159237952.0,1.92,381046672.0,4.6
20,2022-12-15,-53891456.0,-0.68,20579680.0,0.26,-74471136.0,-0.93,-6672256.0,-0.08,60563728.0,0.76
21,2022-12-16,-74310496.0,-0.7,20942384.0,0.2,-95252880.0,-0.9,-31227648.0,-0.3,105538160.0,1.0
22,2022-12-19,-805386752.0,-7.14,-388470336.0,-3.45,-416916416.0,-3.7,-115665792.0,-1.03,921052624.0,8.17
