,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-543714624.0,-2.78,-362171616.0,-1.85,-181543008.0,-0.93,48743424.0,0.25,489142016.0,2.51
1,2022-11-18,-248967008.0,-1.32,115776304.0,0.62,-364743312.0,-1.94,-71750400.0,-0.38,316096256.0,1.68
2,2022-11-21,-123720000.0,-0.79,-29467904.0,-0.19,-94252096.0,-0.6,-65175552.0,-0.42,192870656.0,1.23
3,2022-11-22,-488126800.0,-3.02,-222991264.0,-1.38,-265135536.0,-1.64,219571968.0,1.36,254704896.0,1.57
4,2022-11-23,-804294496.0,-4.89,-343914128.0,-2.09,-460380368.0,-2.8,56228096.0,0.34,736970752.0,4.48
5,2022-11-24,-205254256.0,-1.39,186021824.0,1.26,-391276080.0,-2.65,-64052992.0,-0.43,268096256.0,1.82
6,2022-11-25,-888004064.0,-6.34,-577871392.0,-4.12,-310132672.0,-2.21,103813376.0,0.74,766616064.0,5.47
7,2022-11-28,-552366752.0,-4.04,-307909216.0,-2.25,-244457536.0,-1.79,45855232.0,0.34,502993408.0,3.68
8,2022-11-29,49098624.0,0.32,-76845648.0,-0.51,125944272.0,0.83,-167003904.0,-1.1,116407808.0,0.77
9,2022-11-30,-222849424.0,-1.46,-161335808.0,-1.06,-61513616.0,-0.4,104518144.0,0.69,110835456.0,0.73
10,2022-12-01,19891808.0,0.11,-16020704.0,-0.09,35912512.0,0.2,-225785600.0,-1.24,201281792.0,1.1
11,2022-12-02,-179704672.0,-1.2,156007472.0,1.04,-335712144.0,-2.23,-107543552.0,-0.72,284527104.0,1.89
12,2022-12-05,-464351712.0,-2.64,-169844176.0,-0.96,-294507536.0,-1.67,16563200.0,0.09,446308352.0,2.53
13,2022-12-06,-19204720.0,-0.11,5981792.0,0.03,-25186512.0,-0.14,-155376640.0,-0.88,167225344.0,0.95
14,2022-12-07,-754058736.0,-4.74,-409454272.0,-2.57,-344604464.0,-2.16,-9658112.0,-0.06,750899712.0,4.72
15,2022-12-08,-581920624.0,-3.99,-255689232.0,-1.75,-326231392.0,-2.24,9061888.0,0.06,565158400.0,3.88
16,2022-12-09,-491690192.0,-2.81,-483612960.0,-2.77,-8077232.0,-0.05,80577024.0,0.46,405351424.0,2.32
17,2022-12-12,103658592.0,0.64,-63632384.0,-0.39,167290976.0,1.04,89110016.0,0.55,-198518016.0,-1.23
18,2022-12-13,-1098849552.0,-8.2,-599414224.0,-4.47,-499435328.0,-3.72,124422656.0,0.93,970804448.0,7.24
19,2022-12-14,-218083584.0,-1.46,-65157136.0,-0.44,-152926448.0,-1.03,-13944832.0,-0.09,230537472.0,1.55
20,2022-12-15,338302880.0,2.11,382228736.0,2.38,-43925856.0,-0.27,-175526656.0,-1.09,-164685312.0,-1.03
21,2022-12-16,-916028992.0,-6.0,-320241680.0,-2.1,-595787312.0,-3.9,142687744.0,0.93,767480832.0,5.03
22,2022-12-19,-623008640.0,-4.3,-280588128.0,-1.93,-342420512.0,-2.36,5792256.0,0.04,609307136.0,4.2
23,2022-12-20,-527567104.0,-3.86,-87657744.0,-0.64,-439909360.0,-3.21,104384256.0,0.76,420044288.0,3.07
24,2022-12-21,-578631392.0,-4.61,-214299568.0,-1.71,-364331824.0,-2.9,65467392.0,0.52,506855872.0,4.04
25,2022-12-22,-608637008.0,-4.76,-108093920.0,-0.85,-500543088.0,-3.91,-115620096.0,-0.9,721619168.0,5.64
26,2022-12-23,-745870128.0,-6.92,-299800272.0,-2.78,-446069856.0,-4.14,-35219408.0,-0.33,772208992.0,7.17
27,2022-12-26,-313061440.0,-2.26,120549984.0,0.87,-433611424.0,-3.13,-202648320.0,-1.46,511622656.0,3.69
28,2022-12-27,-821775568.0,-6.48,-522108128.0,-4.12,-299667440.0,-2.36,118767872.0,0.94,702116880.0,5.54
