,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,168487533.0,3.4,89201133.0,1.8,79286400.0,1.6,-42087408.0,-0.85,-126400112.0,-2.55
1,2022-11-18,-208205312.0,-3.55,-136244560.0,-2.32,-71960752.0,-1.23,84098112.0,1.43,124107184.0,2.12
2,2022-11-21,-116847178.0,-3.28,-56579834.0,-1.59,-60267344.0,-1.69,49693712.0,1.39,67153488.0,1.88
3,2022-11-22,56595637.0,1.4,7499797.0,0.19,49095840.0,1.22,13015328.0,0.32,-69610976.0,-1.73
4,2022-11-23,-175377865.0,-4.32,-24764137.0,-0.61,-150613728.0,-3.71,9512592.0,0.23,165865280.0,4.08
5,2022-11-24,-11091023.0,-0.34,-14133119.0,-0.43,3042096.0,0.09,41239888.0,1.25,-30148880.0,-0.91
6,2022-11-25,-134811843.0,-4.45,-100916243.0,-3.33,-33895600.0,-1.12,-3512976.0,-0.12,138324816.0,4.57
7,2022-11-28,-264055871.0,-11.15,-137107871.0,-5.79,-126948000.0,-5.36,39876944.0,1.68,224178912.0,9.47
8,2022-11-29,-11386988.0,-0.43,-58841836.0,-2.24,47454848.0,1.81,284400.0,0.01,11102592.0,0.42
9,2022-11-30,-150163401.0,-5.59,-61284313.0,-2.28,-88879088.0,-3.31,-5301632.0,-0.2,155465040.0,5.79
10,2022-12-01,-5189597.0,-0.17,8211011.0,0.27,-13400608.0,-0.44,-33693776.0,-1.1,38883360.0,1.27
11,2022-12-02,-35639976.0,-1.48,-11254680.0,-0.47,-24385296.0,-1.02,23363472.0,0.97,12276480.0,0.51
12,2022-12-05,-42966347.0,-1.85,-32433403.0,-1.4,-10532944.0,-0.45,71209008.0,3.07,-28242640.0,-1.22
13,2022-12-06,95793350.0,3.5,42586726.0,1.56,53206624.0,1.94,46879232.0,1.71,-142672576.0,-5.21
14,2022-12-07,-167225822.0,-7.11,-92611790.0,-3.94,-74614032.0,-3.17,46904192.0,1.99,120321648.0,5.11
15,2022-12-08,-149454774.0,-6.81,-108198070.0,-4.93,-41256704.0,-1.88,-26909104.0,-1.23,176363872.0,8.04
16,2022-12-09,-7702732.0,-0.25,-75598108.0,-2.43,67895376.0,2.19,72197104.0,2.33,-64494368.0,-2.08
17,2022-12-12,-55193319.0,-1.85,6374089.0,0.21,-61567408.0,-2.07,-32740336.0,-1.1,87933664.0,2.95
18,2022-12-13,-252343028.0,-9.89,-117083444.0,-4.59,-135259584.0,-5.3,8932208.0,0.35,243410816.0,9.54
19,2022-12-14,26799979.0,0.77,-22893733.0,-0.66,49693712.0,1.42,-26519872.0,-0.76,-280096.0,-0.01
20,2022-12-15,36966936.0,1.15,-6035976.0,-0.19,43002912.0,1.34,34198736.0,1.07,-71165680.0,-2.22
21,2022-12-16,-103461817.0,-3.29,-40620841.0,-1.29,-62840976.0,-2.0,-17726928.0,-0.56,121188720.0,3.85
22,2022-12-19,-266756666.0,-11.74,-94331594.0,-4.15,-172425072.0,-7.59,-39736624.0,-1.75,306493264.0,13.49
23,2022-12-20,-68370338.0,-4.27,-39327154.0,-2.45,-29043184.0,-1.81,-28898160.0,-1.8,97268496.0,6.07
24,2022-12-21,-164285133.0,-8.01,-66033933.0,-3.22,-98251200.0,-4.79,17101984.0,0.83,147183168.0,7.18
25,2022-12-22,-212949960.0,-10.89,-111966984.0,-5.73,-100982976.0,-5.17,52722128.0,2.7,160227840.0,8.2
26,2022-12-23,-131034477.0,-8.15,-38609037.0,-2.4,-92425440.0,-5.75,-25080368.0,-1.56,156114848.0,9.71
27,2022-12-26,59351265.0,2.8,88398177.0,4.17,-29046912.0,-1.37,-28642752.0,-1.35,-30708512.0,-1.45
28,2022-12-27,-58329845.0,-2.99,-10755477.0,-0.55,-47574368.0,-2.44,41164352.0,2.11,17165472.0,0.88
29,2022-12-28,-40620484.0,-2.37,-5464228.0,-0.32,-35156256.0,-2.05,-13990320.0,-0.82,54610800.0,3.18
30,2022-12-29,-7078735.0,-0.47,18373537.0,1.22,-25452272.0,-1.69,-8006304.0,-0.53,15085056.0,1.0
31,2022-12-30,-47551926.0,-3.0,-23572134.0,-1.49,-23979792.0,-1.51,14657728.0,0.92,32894192.0,2.07
32,2023-01-03,60553003.0,2.72,-3768901.0,-0.17,64321904.0,2.89,12240528.0,0.55,-72793536.0,-3.27
33,2023-01-04,-118662320.0,-5.79,-47724672.0,-2.33,-70937648.0,-3.46,36602704.0,1.78,82059632.0,4.0
34,2023-01-05,22553405.0,1.38,-11927955.0,-0.73,34481360.0,2.11,4970672.0,0.3,-27524080.0,-1.69
35,2023-01-06,46082055.0,2.16,18343575.0,0.86,27738480.0,1.3,-17989856.0,-0.84,-28092192.0,-1.32
36,2023-01-09,-32165045.0,-1.71,-22140517.0,-1.18,-10024528.0,-0.53,12223344.0,0.65,19941712.0,1.06
37,2023-01-10,-30616780.0,-1.66,-12046076.0,-0.65,-18570704.0,-1.01,-26195824.0,-1.42,56812592.0,3.08
38,2023-01-11,-56395917.0,-2.0,-5512973.0,-0.2,-50882944.0,-1.8,-34008064.0,-1.21,90403984.0,3.2
39,2023-01-12,41188955.0,1.86,226459.0,0.01,40962496.0,1.85,-30759808.0,-1.39,-10429136.0,-0.47
40,2023-01-13,-183332293.0,-9.43,-61792981.0,-3.18,-121539312.0,-6.25,-19103072.0,-0.98,202435360.0,10.41
41,2023-01-16,-7915532.0,-0.34,-6193148.0,-0.27,-1722384.0,-0.07,-95532992.0,-4.13,103448512.0,4.47
