,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-173126851.0,-7.29,-157636739.0,-6.64,-15490112.0,-0.65,32801888.0,1.38,140324976.0,5.91
1,2022-11-18,-192017571.0,-7.74,-153733155.0,-6.2,-38284416.0,-1.54,84826384.0,3.42,107191184.0,4.32
2,2022-11-21,26769836.0,1.3,523756.0,0.03,26246080.0,1.28,55789504.0,2.72,-82559344.0,-4.02
3,2022-11-22,-146891455.0,-7.0,-75354319.0,-3.59,-71537136.0,-3.41,45775424.0,2.18,101116032.0,4.82
4,2022-11-23,-155850029.0,-8.22,-98324333.0,-5.19,-57525696.0,-3.03,32772112.0,1.73,123077904.0,6.49
5,2022-11-24,120618416.0,3.75,154649536.0,4.8,-34031120.0,-1.06,-22112880.0,-0.69,-98505536.0,-3.06
6,2022-11-25,-165353034.0,-7.68,-86720410.0,-4.03,-78632624.0,-3.65,-18257840.0,-0.85,183610864.0,8.53
7,2022-11-28,-150216734.0,-8.03,-93364126.0,-4.99,-56852608.0,-3.04,-32063712.0,-1.71,182280432.0,9.75
8,2022-11-29,-56709807.0,-2.93,-51402735.0,-2.65,-5307072.0,-0.27,-3685184.0,-0.19,60394992.0,3.12
9,2022-11-30,4046954.0,0.18,-34447606.0,-1.56,38494560.0,1.75,23292448.0,1.06,-27339408.0,-1.24
10,2022-12-01,-124662809.0,-5.97,-71402617.0,-3.42,-53260192.0,-2.55,57896208.0,2.77,66766592.0,3.2
11,2022-12-02,-46856306.0,-2.21,27351566.0,1.29,-74207872.0,-3.5,7737152.0,0.36,39119136.0,1.84
12,2022-12-05,-225424641.0,-10.46,-159544401.0,-7.4,-65880240.0,-3.06,41837200.0,1.94,183587440.0,8.52
13,2022-12-06,-32130844.0,-1.6,5384676.0,0.27,-37515520.0,-1.86,-9822032.0,-0.49,41952864.0,2.08
14,2022-12-07,-45928462.0,-2.52,-33826478.0,-1.85,-12101984.0,-0.66,7517488.0,0.41,38410976.0,2.11
15,2022-12-08,-151841054.0,-9.79,-58141541.0,-3.75,-93699513.0,-6.04,24411280.0,1.57,127429792.0,8.21
16,2022-12-09,-39382102.0,-2.2,-24232646.0,-1.35,-15149456.0,-0.85,7150144.0,0.4,32231952.0,1.8
17,2022-12-12,-174381078.0,-8.51,-121566070.0,-5.93,-52815008.0,-2.58,29483120.0,1.44,144897952.0,7.07
18,2022-12-13,-50374926.0,-3.63,-10198379.0,-0.73,-40176547.0,-2.9,-26791824.0,-1.93,77166752.0,5.56
19,2022-12-14,10786519.0,0.8,40626241.0,3.02,-29839722.0,-2.22,-19637712.0,-1.46,8851184.0,0.66
20,2022-12-15,23678600.0,1.12,12431176.0,0.59,11247424.0,0.53,31471712.0,1.48,-55150304.0,-2.6
21,2022-12-16,-266294016.0,-14.17,-165314032.0,-8.8,-100979984.0,-5.37,49028880.0,2.61,217265136.0,11.56
22,2022-12-19,-2204665.0,-0.11,-177929.0,-0.01,-2026736.0,-0.11,-2149248.0,-0.11,4353904.0,0.23
23,2022-12-20,-57692762.0,-3.94,-15360005.0,-1.05,-42332757.0,-2.89,-15630320.0,-1.07,73323072.0,5.01
24,2022-12-21,-12328440.0,-0.87,-9431481.0,-0.67,-2896959.0,-0.2,-33001984.0,-2.33,45330432.0,3.21
25,2022-12-22,-198779158.0,-12.8,-89379711.0,-5.75,-109399447.0,-7.04,-13044832.0,-0.84,211823984.0,13.64
26,2022-12-23,-56424191.0,-5.01,-13616010.0,-1.21,-42808181.0,-3.8,-34078640.0,-3.03,90502832.0,8.04
27,2022-12-26,-25610349.0,-1.96,5946637.0,0.46,-31556986.0,-2.42,22673968.0,1.74,2936384.0,0.23
28,2022-12-27,-45326903.0,-3.56,18111361.0,1.42,-63438264.0,-4.99,526384.0,0.04,44800496.0,3.52
29,2022-12-28,-80369602.0,-7.84,-38043843.0,-3.71,-42325759.0,-4.13,-38690352.0,-3.77,119059952.0,11.61
