,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-1894149760.0,-8.89,-1159703424.0,-5.44,-734446336.0,-3.45,86460672.0,0.41,1802188032.0,8.46
1,2022-11-18,62515232.0,0.29,-630313184.0,-2.97,692828416.0,3.26,-59160064.0,-0.28,-6159360.0,-0.03
2,2022-11-21,190520720.0,1.09,24361552.0,0.14,166159168.0,0.95,25534464.0,0.15,-211443968.0,-1.21
3,2022-11-22,-1260745664.0,-7.14,-655778976.0,-3.72,-604966688.0,-3.43,385203712.0,2.18,855035136.0,4.84
4,2022-11-23,834603648.0,3.45,458461568.0,1.89,376142080.0,1.55,-186134272.0,-0.77,-653345280.0,-2.7
5,2022-11-24,1105943376.0,3.99,676503376.0,2.44,429440000.0,1.55,-304368640.0,-1.1,-790076672.0,-2.85
6,2022-11-25,-1675328688.0,-9.12,-1060306272.0,-5.78,-615022416.0,-3.35,230108416.0,1.25,1439433472.0,7.84
7,2022-11-28,-505744336.0,-2.65,-170078928.0,-0.89,-335665408.0,-1.76,545921536.0,2.86,-56739328.0,-0.3
8,2022-11-29,-271300352.0,-1.38,-278057216.0,-1.41,6756864.0,0.03,62078208.0,0.32,208908800.0,1.06
9,2022-11-30,413181312.0,1.91,-11725696.0,-0.05,424907008.0,1.96,104485888.0,0.48,-522477824.0,-2.42
10,2022-12-01,511210496.0,1.81,485315584.0,1.72,25894912.0,0.09,-54012928.0,-0.19,-464604928.0,-1.65
11,2022-12-02,-233639856.0,-1.09,64378448.0,0.3,-298018304.0,-1.39,163529728.0,0.76,63403776.0,0.3
12,2022-12-05,-917246384.0,-4.14,-594249904.0,-2.68,-322996480.0,-1.46,224271360.0,1.01,684475648.0,3.09
13,2022-12-06,-28501840.0,-0.11,-91222352.0,-0.37,62720512.0,0.25,127705344.0,0.51,-117370624.0,-0.47
14,2022-12-07,824236032.0,2.31,465070080.0,1.3,359165952.0,1.01,-443142912.0,-1.24,-383919616.0,-1.08
15,2022-12-08,-644785392.0,-2.91,-354633200.0,-1.6,-290152192.0,-1.31,461465088.0,2.09,185566720.0,0.84
16,2022-12-09,-939321760.0,-4.14,-368306080.0,-1.62,-571015680.0,-2.52,314284544.0,1.38,627579648.0,2.76
17,2022-12-12,-1015013008.0,-5.91,-584138816.0,-3.4,-430874192.0,-2.51,364529920.0,2.12,643091936.0,3.74
