,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-189690085.0,-4.49,-116185253.0,-2.75,-73504832.0,-1.74,26270592.0,0.62,163419504.0,3.87
1,2022-11-18,45772064.0,0.88,14347920.0,0.27,31424144.0,0.6,37026608.0,0.71,-82798688.0,-1.58
2,2022-11-21,-13451408.0,-0.24,-4772016.0,-0.09,-8679392.0,-0.16,134123488.0,2.42,-120672064.0,-2.18
3,2022-11-22,-366097716.0,-8.22,-167256916.0,-3.76,-198840800.0,-4.47,51210368.0,1.15,314887360.0,7.07
4,2022-11-23,181527568.0,2.8,141051776.0,2.18,40475792.0,0.62,-3010000.0,-0.05,-178517568.0,-2.75
5,2022-11-24,-34880512.0,-0.6,97844288.0,1.69,-132724800.0,-2.3,7033104.0,0.12,27847392.0,0.48
6,2022-11-25,-258943008.0,-5.83,-86757952.0,-1.95,-172185056.0,-3.88,-31905856.0,-0.72,290848848.0,6.55
7,2022-11-28,-145011376.0,-3.06,-43115216.0,-0.91,-101896160.0,-2.15,140142752.0,2.96,4868624.0,0.1
8,2022-11-29,-120012880.0,-2.55,-119670496.0,-2.54,-342384.0,-0.01,-54217296.0,-1.15,174230176.0,3.7
9,2022-11-30,-83592576.0,-1.77,-71333856.0,-1.51,-12258720.0,-0.26,-190512.0,-0.0,83783104.0,1.77
10,2022-12-01,137743440.0,2.73,-22320624.0,-0.44,160064064.0,3.17,-1862736.0,-0.04,-135880704.0,-2.69
11,2022-12-02,141683984.0,1.86,188075184.0,2.46,-46391200.0,-0.61,-60321424.0,-0.79,-81362544.0,-1.07
12,2022-12-05,-310173536.0,-4.99,-210716000.0,-3.39,-99457536.0,-1.6,132838464.0,2.14,177335072.0,2.85
13,2022-12-06,-347599680.0,-6.26,-243839456.0,-4.39,-103760224.0,-1.87,52433872.0,0.94,295165808.0,5.32
14,2022-12-07,-151514352.0,-3.28,-11135808.0,-0.24,-140378544.0,-3.04,65870656.0,1.43,85643696.0,1.85
15,2022-12-08,-114410560.0,-2.31,-51369328.0,-1.04,-63041232.0,-1.28,21103040.0,0.43,93307536.0,1.89
16,2022-12-09,-247675024.0,-5.08,-80742544.0,-1.66,-166932480.0,-3.43,57822336.0,1.19,189852656.0,3.9
17,2022-12-12,-191511584.0,-4.47,-55493296.0,-1.29,-136018288.0,-3.17,-60365776.0,-1.41,251877344.0,5.87
18,2022-12-13,-279542523.0,-7.64,-184313099.0,-5.04,-95229424.0,-2.6,-15362224.0,-0.42,294904752.0,8.06
19,2022-12-14,-228826696.0,-7.37,-132886344.0,-4.28,-95940352.0,-3.09,-12165376.0,-0.39,240992064.0,7.76
20,2022-12-15,-26745145.0,-0.88,-89173289.0,-2.92,62428144.0,2.05,21889216.0,0.72,4855936.0,0.16
21,2022-12-16,-283501424.0,-7.93,-133873104.0,-3.74,-149628320.0,-4.19,-17512848.0,-0.49,301014272.0,8.42
22,2022-12-19,-327731245.0,-10.15,-195071709.0,-6.04,-132659536.0,-4.11,3134288.0,0.1,324596944.0,10.05
23,2022-12-20,-100765477.0,-3.96,-30693397.0,-1.21,-70072080.0,-2.75,70905696.0,2.78,29859760.0,1.17
24,2022-12-21,-186641376.0,-7.31,-61689152.0,-2.42,-124952224.0,-4.89,-44522544.0,-1.74,231163920.0,9.05
25,2022-12-22,-221057978.0,-6.85,-137870026.0,-4.27,-83187952.0,-2.58,-61646448.0,-1.91,282704416.0,8.76
26,2022-12-23,-220799085.0,-8.34,-116026973.0,-4.38,-104772112.0,-3.96,-63832016.0,-2.41,284631104.0,10.75
27,2022-12-26,226692064.0,4.73,204629344.0,4.27,22062720.0,0.46,-98067552.0,-2.04,-128624496.0,-2.68
28,2022-12-27,-415394400.0,-7.19,-152074944.0,-2.63,-263319456.0,-4.55,199564608.0,3.45,215829792.0,3.73
29,2022-12-28,-21367776.0,-0.41,-126746512.0,-2.41,105378736.0,2.0,12196832.0,0.23,9170944.0,0.17
30,2022-12-29,-269558560.0,-7.52,-187501664.0,-5.23,-82056896.0,-2.29,52157312.0,1.46,217401232.0,6.07
31,2022-12-30,-135079082.0,-4.2,-99587514.0,-3.1,-35491568.0,-1.1,7069264.0,0.22,128009824.0,3.98
32,2023-01-03,333474992.0,6.49,217090976.0,4.23,116384016.0,2.27,92317952.0,1.8,-425792944.0,-8.29
33,2023-01-04,-225732784.0,-4.83,-94843152.0,-2.03,-130889632.0,-2.8,-8827568.0,-0.19,234560368.0,5.02
34,2023-01-05,-23789360.0,-0.52,25720320.0,0.57,-49509680.0,-1.09,36726304.0,0.81,-12936960.0,-0.28
35,2023-01-06,-223873040.0,-4.07,-13733424.0,-0.25,-210139616.0,-3.82,-4134272.0,-0.08,228007296.0,4.15
36,2023-01-09,-129154048.0,-2.44,-27871344.0,-0.53,-101282704.0,-1.91,-152904176.0,-2.88,282058224.0,5.32
37,2023-01-10,-84916752.0,-2.03,-137024.0,-0.0,-84779728.0,-2.02,-82310368.0,-1.97,167227136.0,3.99
38,2023-01-11,45003616.0,0.96,36624704.0,0.78,8378912.0,0.18,5422736.0,0.12,-50426368.0,-1.08
39,2023-01-12,-157972146.0,-4.13,-42635938.0,-1.11,-115336208.0,-3.01,11080640.0,0.29,146891520.0,3.84
