,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-716459536.0,-5.85,-403968256.0,-3.3,-312491280.0,-2.55,-26188432.0,-0.21,739291440.0,6.03
1,2022-11-18,426059392.0,2.4,336928240.0,1.9,89131152.0,0.5,117893120.0,0.66,-546389760.0,-3.07
2,2022-11-21,159026240.0,0.86,-9145888.0,-0.05,168172128.0,0.91,225053696.0,1.22,-380625920.0,-2.06
3,2022-11-22,-1125641184.0,-6.77,-591547920.0,-3.56,-534093264.0,-3.21,185850368.0,1.12,933237504.0,5.61
4,2022-11-23,19013824.0,0.1,129608416.0,0.69,-110594592.0,-0.59,23161856.0,0.12,-44526336.0,-0.24
5,2022-11-24,-207461376.0,-1.31,46430208.0,0.29,-253891584.0,-1.61,27236864.0,0.17,179532800.0,1.13
6,2022-11-25,-924813280.0,-7.22,-426160160.0,-3.33,-498653120.0,-3.89,-29473536.0,-0.23,951987456.0,7.43
7,2022-11-28,-160789808.0,-1.2,87870688.0,0.66,-248660496.0,-1.86,18999552.0,0.14,139750912.0,1.04
8,2022-11-29,-216507216.0,-1.56,-134133696.0,-0.96,-82373520.0,-0.59,-40712704.0,-0.29,256486656.0,1.85
9,2022-11-30,-863005728.0,-6.41,-576365360.0,-4.28,-286640368.0,-2.13,136767488.0,1.02,725109984.0,5.38
10,2022-12-01,-503467152.0,-3.65,-312413472.0,-2.26,-191053680.0,-1.38,-105085184.0,-0.76,606899872.0,4.4
11,2022-12-02,36192160.0,0.25,295898688.0,2.01,-259706528.0,-1.76,-13242112.0,-0.09,-25315584.0,-0.17
12,2022-12-05,-543506128.0,-3.54,-435392976.0,-2.84,-108113152.0,-0.7,107163648.0,0.7,433044480.0,2.82
13,2022-12-06,-438700320.0,-3.28,-130824592.0,-0.98,-307875728.0,-2.3,11563776.0,0.09,428866816.0,3.2
14,2022-12-07,-957834096.0,-7.21,-540198000.0,-4.06,-417636096.0,-3.14,155636736.0,1.17,796299584.0,5.99
15,2022-12-08,-345323744.0,-2.44,-174449104.0,-1.23,-170874640.0,-1.21,107173120.0,0.76,236452096.0,1.67
16,2022-12-09,-510541664.0,-3.59,-234787424.0,-1.65,-275754240.0,-1.94,-225324288.0,-1.58,733911296.0,5.16
17,2022-12-12,-894532576.0,-8.24,-356982400.0,-3.29,-537550176.0,-4.95,81218720.0,0.75,812957120.0,7.49
18,2022-12-13,-732045856.0,-7.58,-343905712.0,-3.56,-388140144.0,-4.02,35262848.0,0.37,695333232.0,7.2
19,2022-12-14,-628167744.0,-7.0,-275775104.0,-3.07,-352392640.0,-3.93,93611168.0,1.04,532968048.0,5.94
20,2022-12-15,-115902528.0,-1.23,-37641824.0,-0.4,-78260704.0,-0.83,33664464.0,0.36,81960400.0,0.87
21,2022-12-16,-835761840.0,-9.21,-400804832.0,-4.42,-434957008.0,-4.79,102235888.0,1.13,728546448.0,8.03
22,2022-12-19,-894803728.0,-10.0,-454649376.0,-5.08,-440154352.0,-4.92,275719472.0,3.08,614735584.0,6.87
23,2022-12-20,-136807408.0,-1.98,8060400.0,0.12,-144867808.0,-2.1,26751376.0,0.39,108579392.0,1.57
24,2022-12-21,-575594356.0,-7.68,-209966292.0,-2.8,-365628064.0,-4.88,79394256.0,1.06,495579648.0,6.61
25,2022-12-22,-929256160.0,-9.95,-446692736.0,-4.78,-482563424.0,-5.16,72760176.0,0.78,854344080.0,9.14
26,2022-12-23,-570649792.0,-7.72,-357001600.0,-4.83,-213648192.0,-2.89,-92181472.0,-1.25,660044432.0,8.93
27,2022-12-26,153624992.0,1.52,1464224.0,0.01,152160768.0,1.51,47056608.0,0.47,-198602432.0,-1.97
28,2022-12-27,-55786832.0,-0.61,63645136.0,0.7,-119431968.0,-1.31,-120418080.0,-1.32,177186144.0,1.95
29,2022-12-28,-314471760.0,-3.62,-197475584.0,-2.28,-116996176.0,-1.35,-135094512.0,-1.56,448802832.0,5.17
30,2022-12-29,-416257984.0,-5.36,-121498560.0,-1.56,-294759424.0,-3.79,53242288.0,0.69,364152880.0,4.69
31,2022-12-30,183690592.0,1.91,487594208.0,5.08,-303903616.0,-3.17,-222190608.0,-2.32,39041536.0,0.41
32,2023-01-03,327652704.0,2.67,223647440.0,1.82,104005264.0,0.85,-99008720.0,-0.81,-228322816.0,-1.86
33,2023-01-04,-474548848.0,-4.49,-181605136.0,-1.72,-292943712.0,-2.77,16887664.0,0.16,459590544.0,4.35
34,2023-01-05,754628272.0,6.0,569632640.0,4.53,184995632.0,1.47,-402766912.0,-3.2,-350398768.0,-2.79
35,2023-01-06,309692000.0,1.72,612226960.0,3.39,-302534960.0,-1.68,-381511168.0,-2.11,69917184.0,0.39
36,2023-01-09,-206972944.0,-1.26,-156855456.0,-0.95,-50117488.0,-0.3,-235263488.0,-1.43,442275584.0,2.69
37,2023-01-10,-640933872.0,-5.23,-154947792.0,-1.26,-485986080.0,-3.97,-370140224.0,-3.02,1010849984.0,8.25
38,2023-01-11,-215930032.0,-1.82,-14564000.0,-0.12,-201366032.0,-1.7,-195394352.0,-1.65,410864656.0,3.46
39,2023-01-12,-47472128.0,-0.4,210462288.0,1.75,-257934416.0,-2.15,-17990192.0,-0.15,65620976.0,0.55
40,2023-01-13,-102370080.0,-0.78,160253952.0,1.22,-262624032.0,-2.0,-292744128.0,-2.23,394326784.0,3.0
41,2023-01-16,-169244688.0,-1.1,-11476064.0,-0.07,-157768624.0,-1.02,-270907648.0,-1.75,439951360.0,2.85
42,2023-01-17,-213518320.0,-1.41,4320000.0,0.03,-217838320.0,-1.44,-35600128.0,-0.24,248862464.0,1.64
43,2023-01-18,133735120.0,1.0,243330128.0,1.82,-109595008.0,-0.82,-344517120.0,-2.58,211708416.0,1.59
44,2023-01-19,-531877136.0,-3.82,-285834096.0,-2.05,-246043040.0,-1.77,54977024.0,0.39,477523200.0,3.43
45,2023-01-20,273380544.0,1.75,253579328.0,1.62,19801216.0,0.13,-244200192.0,-1.56,-27203072.0,-0.17
46,2023-01-30,-387460624.0,-1.85,-143443216.0,-0.68,-244017408.0,-1.17,-73977856.0,-0.35,461433600.0,2.2
47,2023-01-31,-567907328.0,-3.46,-228845328.0,-1.4,-339062000.0,-2.07,-87262464.0,-0.53,663794176.0,4.05
48,2023-02-01,-247138848.0,-1.32,-129554528.0,-0.69,-117584320.0,-0.63,-103353856.0,-0.55,348687616.0,1.86
49,2023-02-02,-844060096.0,-4.39,-496978256.0,-2.58,-347081840.0,-1.8,12035584.0,0.06,822621184.0,4.28
50,2023-02-03,-1210850688.0,-6.7,-630770560.0,-3.49,-580080128.0,-3.21,-158577408.0,-0.88,1365792256.0,7.56
51,2023-02-06,-74208512.0,-0.39,271575280.0,1.41,-345783792.0,-1.8,-138843392.0,-0.72,211858176.0,1.1
52,2023-02-07,-783264112.0,-4.4,-287139104.0,-1.61,-496125008.0,-2.79,153015808.0,0.86,628204800.0,3.53
53,2023-02-08,395894144.0,2.11,396640144.0,2.11,-746000.0,-0.0,53382656.0,0.28,-453825024.0,-2.42
54,2023-02-09,-375938192.0,-1.96,-9931808.0,-0.05,-366006384.0,-1.91,-80401408.0,-0.42,453353728.0,2.36
55,2023-02-10,-1190024560.0,-6.72,-631241264.0,-3.57,-558783296.0,-3.16,169929216.0,0.96,1018869248.0,5.76
