,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-288124240.0,-6.55,-275698160.0,-6.27,-12426080.0,-0.28,61549088.0,1.4,226575136.0,5.15
1,2022-11-18,-67746160.0,-1.59,-193845536.0,-4.55,126099376.0,2.96,16526896.0,0.39,51219264.0,1.2
2,2022-11-21,-173527776.0,-4.99,-84392544.0,-2.43,-89135232.0,-2.56,99819152.0,2.87,73708640.0,2.12
3,2022-11-22,111616800.0,2.17,303474144.0,5.89,-191857344.0,-3.73,-20750336.0,-0.4,-90866464.0,-1.77
4,2022-11-23,166367696.0,2.97,131664752.0,2.35,34702944.0,0.62,-48455104.0,-0.87,-117912576.0,-2.11
5,2022-11-24,-134744816.0,-2.8,-157557280.0,-3.27,22812464.0,0.47,68825088.0,1.43,65919728.0,1.37
6,2022-11-25,172292096.0,3.3,323799392.0,6.2,-151507296.0,-2.9,-93130240.0,-1.78,-79161872.0,-1.52
7,2022-11-28,-318950304.0,-5.9,-228699392.0,-4.23,-90250912.0,-1.67,72065568.0,1.33,246884736.0,4.57
8,2022-11-29,64997536.0,1.28,-94292688.0,-1.85,159290224.0,3.13,-102988032.0,-2.02,37990512.0,0.75
9,2022-11-30,29117536.0,0.54,-29405104.0,-0.54,58522640.0,1.08,-90842672.0,-1.68,61725120.0,1.14
10,2022-12-01,-162150896.0,-3.24,-148190224.0,-2.96,-13960672.0,-0.28,63126944.0,1.26,99023968.0,1.98
11,2022-12-02,-176203776.0,-3.63,-49834640.0,-1.03,-126369136.0,-2.6,-87660944.0,-1.81,263864704.0,5.44
12,2022-12-05,64674352.0,1.05,-28584176.0,-0.46,93258528.0,1.51,57718064.0,0.94,-122392416.0,-1.99
13,2022-12-06,-429953664.0,-8.63,-264123392.0,-5.3,-165830272.0,-3.33,48789312.0,0.98,381164336.0,7.65
14,2022-12-07,-589211136.0,-11.85,-613820944.0,-12.35,24609808.0,0.5,164437872.0,3.31,424773264.0,8.55
15,2022-12-08,-393783024.0,-9.47,-217840112.0,-5.24,-175942912.0,-4.23,99264176.0,2.39,294518848.0,7.08
16,2022-12-09,-347236192.0,-7.9,-253447920.0,-5.76,-93788272.0,-2.13,116779520.0,2.66,230456656.0,5.24
17,2022-12-12,-514834368.0,-10.41,-424950560.0,-8.59,-89883808.0,-1.82,12327360.0,0.25,502507024.0,10.16
18,2022-12-13,97961792.0,2.81,133969232.0,3.84,-36007440.0,-1.03,18042992.0,0.52,-116004816.0,-3.33
19,2022-12-14,61294320.0,1.45,-22553696.0,-0.53,83848016.0,1.98,51642432.0,1.22,-112936768.0,-2.67
20,2022-12-15,-73646400.0,-2.05,31714096.0,0.88,-105360496.0,-2.93,45370448.0,1.26,28275952.0,0.79
21,2022-12-16,-105534288.0,-3.05,-85120800.0,-2.46,-20413488.0,-0.59,24476432.0,0.71,81057856.0,2.34
22,2022-12-19,-571261184.0,-14.28,-277700032.0,-6.94,-293561152.0,-7.34,74243680.0,1.86,497017504.0,12.42
23,2022-12-20,-1356960.0,-0.05,16011184.0,0.55,-17368144.0,-0.6,-21216352.0,-0.73,22573312.0,0.77
24,2022-12-21,-52398432.0,-1.66,3669264.0,0.12,-56067696.0,-1.77,7208688.0,0.23,45189760.0,1.43
25,2022-12-22,45940736.0,1.35,99753264.0,2.94,-53812528.0,-1.59,-46968448.0,-1.38,1027712.0,0.03
26,2022-12-23,-403835465.0,-11.82,-230500809.0,-6.75,-173334656.0,-5.07,71189856.0,2.08,332645600.0,9.74
27,2022-12-26,-75611520.0,-2.02,-121405328.0,-3.24,45793808.0,1.22,-17187600.0,-0.46,92799104.0,2.47
28,2022-12-27,-38622544.0,-1.04,-100348336.0,-2.71,61725792.0,1.66,54007968.0,1.46,-15385440.0,-0.41
