,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-229651469.0,-4.9,-120990909.0,-2.58,-108660560.0,-2.32,-53684624.0,-1.15,283336096.0,6.04
1,2022-11-18,-320566816.0,-5.0,-154496512.0,-2.41,-166070304.0,-2.59,20768048.0,0.32,299798768.0,4.68
2,2022-11-21,-34490160.0,-0.53,38454720.0,0.59,-72944880.0,-1.12,3832480.0,0.06,30657680.0,0.47
3,2022-11-22,-456469424.0,-7.47,-192654048.0,-3.15,-263815376.0,-4.31,77509776.0,1.27,378959648.0,6.2
4,2022-11-23,-146140528.0,-2.52,-95913344.0,-1.66,-50227184.0,-0.87,55624256.0,0.96,90516272.0,1.56
5,2022-11-24,44573120.0,0.7,89346720.0,1.4,-44773600.0,-0.7,-52801408.0,-0.83,8228256.0,0.13
6,2022-11-25,-230018739.0,-4.2,-52375475.0,-0.96,-177643264.0,-3.24,19084528.0,0.35,210934208.0,3.85
7,2022-11-28,-106908632.0,-2.06,-18343432.0,-0.35,-88565200.0,-1.7,-133392.0,-0.0,107042016.0,2.06
8,2022-11-29,62547488.0,0.96,-24533776.0,-0.38,87081264.0,1.34,-27629648.0,-0.42,-34917840.0,-0.54
9,2022-11-30,-135773792.0,-2.22,-43608128.0,-0.71,-92165664.0,-1.51,-65880656.0,-1.08,201654432.0,3.29
10,2022-12-01,-190493568.0,-2.34,-113346224.0,-1.39,-77147344.0,-0.95,61404368.0,0.76,129089168.0,1.59
11,2022-12-02,194144976.0,2.1,214052352.0,2.31,-19907376.0,-0.21,-102011856.0,-1.1,-92133120.0,-0.99
12,2022-12-05,-452507376.0,-4.35,-230863376.0,-2.22,-221644000.0,-2.13,-77171088.0,-0.74,529678464.0,5.1
13,2022-12-06,-114591408.0,-1.31,21093920.0,0.24,-135685328.0,-1.55,-56392656.0,-0.65,170984064.0,1.96
14,2022-12-07,-87293312.0,-0.79,7120896.0,0.06,-94414208.0,-0.85,-20281232.0,-0.18,107574544.0,0.97
15,2022-12-08,-698828704.0,-7.12,-352226176.0,-3.59,-346602528.0,-3.53,38408608.0,0.39,660420096.0,6.73
16,2022-12-09,-345334992.0,-3.7,-152275328.0,-1.63,-193059664.0,-2.07,-95482656.0,-1.02,440817648.0,4.73
17,2022-12-12,-482502256.0,-5.73,-216197728.0,-2.57,-266304528.0,-3.16,-73111968.0,-0.87,555614240.0,6.6
18,2022-12-13,170668384.0,2.0,269491008.0,3.16,-98822624.0,-1.16,-103308912.0,-1.21,-67359488.0,-0.79
19,2022-12-14,-39976640.0,-0.41,-3322432.0,-0.03,-36654208.0,-0.37,-45225104.0,-0.46,85201728.0,0.87
20,2022-12-15,-608882592.0,-5.53,-77734032.0,-0.71,-531148560.0,-4.83,-228724544.0,-2.08,837607232.0,7.61
21,2022-12-16,-266081792.0,-3.19,-129918512.0,-1.56,-136163280.0,-1.63,48427872.0,0.58,217653936.0,2.61
