,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-119970313.0,-3.99,-100772633.0,-3.36,-19197680.0,-0.64,-49450016.0,-1.65,169420336.0,5.64
1,2022-11-18,-34638205.0,-0.96,27253123.0,0.75,-61891328.0,-1.71,-31506352.0,-0.87,66144576.0,1.83
2,2022-11-21,-15923470.0,-0.55,-16859598.0,-0.58,936128.0,0.03,-27641248.0,-0.95,43564704.0,1.49
3,2022-11-22,-295276155.0,-10.54,-149924123.0,-5.35,-145352032.0,-5.19,69330672.0,2.48,225945488.0,8.07
4,2022-11-23,-73504601.0,-2.73,-34403897.0,-1.28,-39100704.0,-1.45,-39134016.0,-1.45,112638608.0,4.18
5,2022-11-24,-224582431.0,-9.9,-129355199.0,-5.7,-95227232.0,-4.2,48764384.0,2.15,175818032.0,7.75
6,2022-11-25,28297898.0,1.3,56435866.0,2.59,-28137968.0,-1.29,-24745232.0,-1.13,-3552672.0,-0.16
7,2022-11-28,-163006873.0,-7.27,-33859433.0,-1.51,-129147440.0,-5.76,29297936.0,1.31,133708944.0,5.96
8,2022-11-29,19551168.0,0.53,121040528.0,3.25,-101489360.0,-2.73,-6084656.0,-0.16,-13466496.0,-0.36
9,2022-11-30,-235900128.0,-5.48,-68839712.0,-1.6,-167060416.0,-3.88,62215984.0,1.45,173684144.0,4.03
10,2022-12-01,-160576420.0,-4.01,-116592436.0,-2.91,-43983984.0,-1.1,28028848.0,0.7,132547584.0,3.31
11,2022-12-02,-139756447.0,-4.33,-75760815.0,-2.35,-63995632.0,-1.98,45277456.0,1.4,94478992.0,2.93
12,2022-12-05,-71411409.0,-2.04,-47295281.0,-1.35,-24116128.0,-0.69,25679680.0,0.73,45731744.0,1.31
13,2022-12-06,-101971306.0,-2.97,12069590.0,0.35,-114040896.0,-3.32,-25900048.0,-0.75,127871376.0,3.73
14,2022-12-07,-219391504.0,-5.73,-125827056.0,-3.29,-93564448.0,-2.44,51303040.0,1.34,168088480.0,4.39
15,2022-12-08,32325072.0,0.65,63750800.0,1.29,-31425728.0,-0.64,41475712.0,0.84,-73800800.0,-1.49
16,2022-12-09,-148412575.0,-3.82,-124905247.0,-3.22,-23507328.0,-0.61,-40796064.0,-1.05,189208640.0,4.87
17,2022-12-12,-65902460.0,-2.17,19269252.0,0.64,-85171712.0,-2.81,-25030064.0,-0.83,90932544.0,3.0
18,2022-12-13,-269241075.0,-7.54,-160237091.0,-4.49,-109003984.0,-3.05,92326256.0,2.59,176914832.0,4.96
19,2022-12-14,-219420032.0,-7.88,-83025536.0,-2.98,-136394496.0,-4.9,49930448.0,1.79,169489568.0,6.08
20,2022-12-15,47077842.0,2.03,91430002.0,3.94,-44352160.0,-1.91,-67514992.0,-2.91,20437152.0,0.88
21,2022-12-16,-167806064.0,-6.84,-48581088.0,-1.98,-119224976.0,-4.86,14062928.0,0.57,153743120.0,6.26
22,2022-12-19,-247541638.0,-8.1,-94789350.0,-3.1,-152752288.0,-5.0,-11974320.0,-0.39,259515952.0,8.49
23,2022-12-20,-124579769.0,-6.9,-75198985.0,-4.17,-49380784.0,-2.74,-12574160.0,-0.7,137153952.0,7.6
24,2022-12-21,-152459843.0,-7.3,-105514947.0,-5.05,-46944896.0,-2.25,30256080.0,1.45,122203760.0,5.85
25,2022-12-22,-58439669.0,-1.76,-21959109.0,-0.66,-36480560.0,-1.1,109728560.0,3.31,-51288896.0,-1.55
26,2022-12-23,-149316379.0,-7.18,-52085419.0,-2.5,-97230960.0,-4.68,8102192.0,0.39,141214160.0,6.79
27,2022-12-26,-56673268.0,-3.23,9279660.0,0.53,-65952928.0,-3.76,13481904.0,0.77,43191344.0,2.46
28,2022-12-27,-31351448.0,-1.37,13696808.0,0.6,-45048256.0,-1.97,-19382864.0,-0.85,50734304.0,2.22
29,2022-12-28,-25469449.0,-1.16,48801015.0,2.21,-74270464.0,-3.37,-26796720.0,-1.22,52266160.0,2.37
30,2022-12-29,-18867828.0,-0.75,73030588.0,2.92,-91898416.0,-3.67,-36872592.0,-1.47,55740416.0,2.23
31,2022-12-30,-120742412.0,-4.81,-21642828.0,-0.86,-99099584.0,-3.95,1058080.0,0.04,119684336.0,4.77
32,2023-01-03,111626307.0,4.36,107740787.0,4.21,3885520.0,0.15,-50096208.0,-1.96,-61530096.0,-2.4
33,2023-01-04,-13728549.0,-0.45,28455147.0,0.94,-42183696.0,-1.4,-43014720.0,-1.43,56743264.0,1.88
34,2023-01-05,70830432.0,1.92,109299920.0,2.97,-38469488.0,-1.04,-123007840.0,-3.34,52177376.0,1.42
35,2023-01-06,1468096.0,0.04,150203504.0,3.61,-148735408.0,-3.57,-121453488.0,-2.92,119985376.0,2.88
36,2023-01-09,-219321456.0,-6.11,-46445840.0,-1.29,-172875616.0,-4.82,48521376.0,1.35,170800080.0,4.76
