,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-48933858.0,-1.35,-172162354.0,-4.74,123228496.0,3.39,108517136.0,2.99,-59583280.0,-1.64
1,2022-11-18,88004592.0,1.9,60346240.0,1.31,27658352.0,0.6,-92545696.0,-2.0,4541104.0,0.1
2,2022-11-21,-119395712.0,-2.72,-34507760.0,-0.79,-84887952.0,-1.93,19402192.0,0.44,99993536.0,2.28
3,2022-11-22,-76436178.0,-1.84,-43024114.0,-1.04,-33412064.0,-0.8,139750208.0,3.36,-63314032.0,-1.52
4,2022-11-23,-58608761.0,-1.64,-10106761.0,-0.28,-48502000.0,-1.35,-48348816.0,-1.35,106957568.0,2.99
5,2022-11-24,28441967.0,1.03,4894015.0,0.18,23547952.0,0.86,-9387024.0,-0.34,-19054960.0,-0.69
6,2022-11-25,-26527456.0,-1.11,-38528816.0,-1.61,12001360.0,0.5,67104000.0,2.81,-40576528.0,-1.7
7,2022-11-28,45164459.0,1.49,-4922133.0,-0.16,50086592.0,1.65,7174944.0,0.24,-52339408.0,-1.73
8,2022-11-29,107660216.0,2.46,88951784.0,2.03,18708432.0,0.43,-68295248.0,-1.56,-39364976.0,-0.9
9,2022-11-30,-136338520.0,-4.18,-13864568.0,-0.43,-122473952.0,-3.75,22521968.0,0.69,113816560.0,3.49
10,2022-12-01,143172656.0,2.6,213289088.0,3.87,-70116432.0,-1.27,-177203456.0,-3.22,34030800.0,0.62
11,2022-12-02,134341100.0,2.83,81525164.0,1.72,52815936.0,1.11,-62681104.0,-1.32,-71660000.0,-1.51
12,2022-12-05,113703072.0,1.89,90170176.0,1.5,23532896.0,0.39,-172618320.0,-2.87,58915264.0,0.98
13,2022-12-06,420583456.0,6.03,356002560.0,5.11,64580896.0,0.93,-356221968.0,-5.11,-64361504.0,-0.92
14,2022-12-07,71906512.0,1.17,111624432.0,1.81,-39717920.0,-0.64,-12592880.0,-0.2,-59313632.0,-0.96
15,2022-12-08,-245180704.0,-4.66,-104112368.0,-1.98,-141068336.0,-2.68,40406336.0,0.77,204774368.0,3.89
16,2022-12-09,-57655296.0,-1.11,-91215056.0,-1.75,33559760.0,0.64,-49494256.0,-0.95,107149552.0,2.06
17,2022-12-12,-259790186.0,-5.6,-90004058.0,-1.94,-169786128.0,-3.66,76621824.0,1.65,183168352.0,3.95
18,2022-12-13,98116112.0,2.14,53330672.0,1.16,44785440.0,0.98,-40227584.0,-0.88,-57888528.0,-1.26
19,2022-12-14,155309216.0,2.71,145821600.0,2.55,9487616.0,0.17,-47085872.0,-0.82,-108223376.0,-1.89
20,2022-12-15,-386699776.0,-6.77,-112186624.0,-1.97,-274513152.0,-4.81,82795552.0,1.45,303904224.0,5.32
