,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-1319697792.0,-13.97,-913064016.0,-9.66,-406633776.0,-4.3,321709616.0,3.41,997988192.0,10.56
1,2022-11-18,-1423563568.0,-14.57,-868089632.0,-8.88,-555473936.0,-5.68,452195408.0,4.63,971368160.0,9.94
2,2022-11-21,337659808.0,3.98,232642368.0,2.74,105017440.0,1.24,40866576.0,0.48,-378526384.0,-4.46
3,2022-11-22,-853909616.0,-11.02,-547883888.0,-7.07,-306025728.0,-3.95,303606944.0,3.92,550302656.0,7.11
4,2022-11-23,86153792.0,1.22,74687520.0,1.06,11466272.0,0.16,-91135792.0,-1.29,4982000.0,0.07
5,2022-11-24,14355728.0,0.19,62684224.0,0.82,-48328496.0,-0.63,91412304.0,1.19,-105768032.0,-1.38
6,2022-11-25,-1239710352.0,-17.19,-710760304.0,-9.86,-528950048.0,-7.34,251082224.0,3.48,988628112.0,13.71
7,2022-11-28,-843535104.0,-10.65,-471445248.0,-5.95,-372089856.0,-4.7,44985040.0,0.57,798550064.0,10.08
8,2022-11-29,-104514752.0,-1.37,25634928.0,0.34,-130149680.0,-1.71,-145599232.0,-1.91,250113968.0,3.28
9,2022-11-30,712742112.0,5.72,652683568.0,5.24,60058544.0,0.48,-177838096.0,-1.43,-534904016.0,-4.3
10,2022-12-01,-182802576.0,-1.76,-153200320.0,-1.47,-29602256.0,-0.28,-72719120.0,-0.7,255521696.0,2.45
11,2022-12-02,-575418112.0,-7.78,-301358704.0,-4.07,-274059408.0,-3.7,-71463104.0,-0.97,646881216.0,8.74
12,2022-12-05,-874834032.0,-11.13,-622331968.0,-7.92,-252502064.0,-3.21,363936112.0,4.63,510897920.0,6.5
13,2022-12-06,298643632.0,3.11,146811952.0,1.53,151831680.0,1.58,-167806992.0,-1.75,-130836624.0,-1.36
14,2022-12-07,271517872.0,2.18,211268064.0,1.7,60249808.0,0.48,-222445696.0,-1.79,-49072272.0,-0.39
15,2022-12-08,-466538448.0,-5.42,-114525344.0,-1.33,-352013104.0,-4.09,59306800.0,0.69,407231632.0,4.73
16,2022-12-09,6827856.0,0.07,-138225152.0,-1.39,145053008.0,1.45,9076832.0,0.09,-15904688.0,-0.16
17,2022-12-12,-1108116336.0,-12.49,-768115488.0,-8.66,-340000848.0,-3.83,222740192.0,2.51,885376144.0,9.98
18,2022-12-13,-889671216.0,-14.62,-644098944.0,-10.58,-245572272.0,-4.03,88277856.0,1.45,801393344.0,13.17
19,2022-12-14,-481478912.0,-9.27,-272033968.0,-5.24,-209444944.0,-4.03,-161463344.0,-3.11,642942272.0,12.37
20,2022-12-15,258711552.0,3.48,309249664.0,4.16,-50538112.0,-0.68,-364448784.0,-4.9,105737232.0,1.42
21,2022-12-16,-1590127504.0,-17.72,-1119916384.0,-12.48,-470211120.0,-5.24,151369904.0,1.69,1438757600.0,16.03
22,2022-12-19,794878192.0,6.73,614214864.0,5.2,180663328.0,1.53,-528134704.0,-4.47,-266743472.0,-2.26
23,2022-12-20,-1063779040.0,-14.94,-552614496.0,-7.76,-511164544.0,-7.18,326675760.0,4.59,737103296.0,10.35
24,2022-12-21,-428875600.0,-7.5,-267981040.0,-4.68,-160894560.0,-2.81,-51519744.0,-0.9,480395344.0,8.4
25,2022-12-22,-969325280.0,-13.84,-489837584.0,-6.99,-479487696.0,-6.85,-106808464.0,-1.53,1076133744.0,15.37
26,2022-12-23,-480346592.0,-10.28,-272045776.0,-5.82,-208300816.0,-4.46,-159155536.0,-3.4,639502144.0,13.68
27,2022-12-26,191511184.0,3.85,39600736.0,0.8,151910448.0,3.05,-26533984.0,-0.53,-164977200.0,-3.31
28,2022-12-27,-167191408.0,-3.34,-93731840.0,-1.87,-73459568.0,-1.47,109965776.0,2.2,57225648.0,1.14
29,2022-12-28,-645943616.0,-9.87,-428357616.0,-6.55,-217586000.0,-3.33,44825104.0,0.69,601118528.0,9.19
30,2022-12-29,-182050288.0,-3.59,-168932688.0,-3.33,-13117600.0,-0.26,-89723744.0,-1.77,271774016.0,5.36
31,2022-12-30,-1133371248.0,-17.41,-706192192.0,-10.85,-427179056.0,-6.56,245791520.0,3.77,887579728.0,13.63
32,2023-01-03,518662448.0,7.11,310974128.0,4.26,207688320.0,2.85,-214546224.0,-2.94,-304116224.0,-4.17
